nbar,fro_exact_PT,fro_PT_dep,fro_exact_dep,rel_exact_PT,rel_PT_dep,rel_exact_dep,C_chi,identity_error_coupling_ratio
0.01,0.07762350416228211,0.0027543975864449967,0.07767235740272108,0.991106016592979,0.03516847183692715,0.9917297805038158,0.019449520754604,0.019434800899155936
1.0,0.16236924577748557,0.007035352271598872,0.1625215928913294,0.9924310126207035,0.04300138086873091,0.9933621864999557,0.04074412179337672,0.040717100149777107
2.0,0.24567578031639306,0.014241686521279844,0.24608822537667058,0.9905535092165517,0.05742182865013371,0.9922164688346743,0.06176291340743357,0.06172434982072245
3.0,0.32643075968379726,0.02434486188584953,0.32733730793782434,0.9875920516379589,0.07365357394621251,0.9903347461406787,0.08224199943096576,0.08219288609730996
4.0,0.4044235084230547,0.037110712391265205,0.4061226158925403,0.9838928242339203,0.09028397920374996,0.9880264604148329,0.102139767459767,0.10208086920623048
