nbar,p_err_PT,p_err_dep,weight1_PT,weight1_dep,weight2_PT,weight2_dep,p_XX_PT,p_XX_dep,ratio_XX_PT_over_dep,TVD_PT_dep
0.01,0.002433170291077591,0.002433170291077591,0.001589122868122947,0.0009732681164310585,0.0008440474229543041,0.0014599021746465879,0.00035263547003016454,0.00016221135273850976,2.173925955716706,0.0010119523778767277
1.0,0.004555486079518389,0.004555486079518278,0.0026211551335100433,0.0018221944318073111,0.0019343309460081864,0.002733291647710967,0.0014429278518201458,0.0003036990719678852,4.751176361753021,0.002661780342610793
2.0,0.007475954463738388,0.00747595446373861,0.003602456588647343,0.0029903817854954333,0.00387349787509092,0.004485572678243149,0.0033820896964236458,0.0004983969642492388,6.785935587545688,0.00499815504998722
3.0,0.01109708293178202,0.011097082931781799,0.004522762190545211,0.004438833172712708,0.006574320741237066,0.006658249759069063,0.006082915913364857,0.0007398055287854514,8.222317455982333,0.007895057824423696
4.0,0.015350997591446092,0.015350997591446314,0.005390715594883501,0.006140399036578537,0.009960281996562736,0.009210598554867805,0.009468928188377308,0.001023399839429756,9.252422976393515,0.011298189552154479
