nbar,F_avg_exact,infidelity_r,p_dep_total,p_dep_each_nonidentity,alpha_dep
0.01,0.9980534637671379,0.0019465362328621172,0.0024331702910776465,0.00016221135273850976,0.9974046183561839
1.0,0.9963556111363854,0.0036443888636146227,0.004555486079518278,0.0003036990719678852,0.9951408148485138
2.0,0.9940192364290091,0.005980763570990866,0.007475954463738582,0.0004983969642492388,0.9920256485720121
3.0,0.9911223336545746,0.008877666345425417,0.011097082931781771,0.0007398055287854514,0.9881631115394328
4.0,0.9877192019268429,0.012280798073157073,0.015350997591446341,0.001023399839429756,0.9836256025691239
