pulse_type,scattering_model,noise_case,nbar,detuning_offset_hz,gate_time_s,F_avg,infidelity,p_err,p_weight1,p_weight2,offdiag_ratio,error_offdiag_ratio,exact_pauli_distance,alpha_final_abs,alpha_max_abs,alpha2_integral,entangling_angle_error,integrated_omega2,integrated_scattering_exposure,choi_min_eigenvalue,tp_error,hp_error,I_standard,delta_I,G_I
standard,constant_rate,none,0.01,0.0,0.0001,0.9997512560564747,0.0002487439435251,0.0003109888692578,0.0001199332752101,0.0001910555940477,0.7068382461444739,8.481220746651902e-05,0.0194245317159051,2.13600777145116e-14,0.4999934202464176,1.2499671014485726e-05,-1.033545274109482e-05,98696.0440108936,0.0,-1.760320697164515e-07,2.486351068423239e-15,2.1554775182600723e-15,0.0002487439435251,0.0,1.0
smooth_detuning,constant_rate,none,0.01,0.0,0.0002258,0.999938669154323,6.133084567705449e-05,7.670907119905479e-05,4.8258992011542074e-08,7.666081220713377e-05,0.7070001085989722,4.974531935739374e-07,0.0121818369260714,0.0001406027903212,0.1353276117452526,2.386717117429156e-06,-8.666475753904557e-05,312029.54776439944,0.0,-8.266163596727243e-07,1.5666510409071744e-15,2.8938708373514043e-15,0.0002487439435251,-0.00018741309784804552,4.05577227542065
standard,constant_rate,all_noise,0.01,0.0,0.0001,0.9980535057816894,0.0019464942183106,0.0024331720075985,0.0015891155032621,0.0008440565043363,0.7067235853582399,0.0007565497480577,0.0194494203023313,2.13600777145116e-14,0.4999934202464176,1.2499671014485726e-05,-1.033545274109482e-05,98696.0440108936,0.0004,1.498470474372767e-07,2.5267493377633518e-15,2.71133721129316e-15,0.0019464942183106,0.0,1.0
smooth_detuning,constant_rate,all_noise,0.01,0.0,0.0002258,0.9979280018483097,0.0020719981516904,0.002590060350972,0.0014016600512359,0.0011884002997361,0.7069969488041731,0.000499757049894,0.0122179476434165,0.0001406027903212,0.1353276117452526,2.386717117429156e-06,-8.666475753904557e-05,312029.54776439944,0.0009032,2.435283050025114e-07,2.0095800804729996e-15,4.111286434719595e-15,0.0019464942183106,0.0001255039333798,0.9394285495489414
