pulse_type,gate_time_s,alpha_final_abs,alpha_max_abs,alpha2_integral,xx_angle_rad,entangling_angle_error,integrated_omega2
standard,0.0001,3.5457886027331e-14,0.4999995887664133,1.2499979438328744e-05,0.7853975174332334,-6.459642148959333e-07,98696.04401089359
smooth_detuning,0.0002258,0.00014052856122202852,0.13533287374806435,2.387006373693607e-06,0.7854201386086438,2.1975211195512934e-05,312029.51724793983
