run_signature,pulse_type,noise_case,scattering_model,nbar,gate_time_s,F_avg,infidelity,p_err,p_weight1,p_weight2,offdiag_ratio,error_offdiag_ratio,exact_pauli_distance,alpha_final_abs,alpha_max_abs,alpha2_integral,entangling_angle_error,integrated_omega2,choi_min_eigenvalue,tp_error,hp_error,standard_infidelity,delta_infidelity,improvement_factor
207042fe2123afec08cc75ae45e5b3b3ec90890daac43e62005bef2485be32a0,smooth_detuning,motional_dephasing_only,constant_rate,0.01,0.0002258,0.9998673971137381,0.0001326028862619344,0.0001657742658202066,8.656605122816414e-05,7.920821459217396e-05,0.7069982967814724,6.121734651459394e-05,0.012182091259118219,0.00014060279032121129,0.13532761174525268,2.386717117429156e-06,-8.666475753904557e-05,312029.54776439944,-8.872766754028519e-07,1.3571868047358673e-15,2.9495852137767686e-15,0.0007318565280229894,-0.000599253641761055,5.519159866379768
207042fe2123afec08cc75ae45e5b3b3ec90890daac43e62005bef2485be32a0,smooth_detuning,motional_dephasing_only,constant_rate,1.0,0.0002258,0.9989666987354227,0.0010333012645773465,0.0012916449374326122,0.000249403657318021,0.0010422412801145244,0.7059658165706753,0.00017650740456946098,0.03376237992774155,0.00014060279032121129,0.13532761174525268,2.386717117429156e-06,-8.666475753904557e-05,312029.54776439944,-5.474148231892178e-07,2.4808267888380106e-15,2.7222310896572406e-15,0.0024400376773392463,-0.0014067364127618998,2.3614000688727503
207042fe2123afec08cc75ae45e5b3b3ec90890daac43e62005bef2485be32a0,smooth_detuning,motional_dephasing_only,constant_rate,2.0,0.0002258,0.9973649137768765,0.002635086223123473,0.003293890989455095,0.0004071199680005617,0.00288677102145461,0.7039849689948162,0.00028842230204035023,0.05509702418694783,0.00014060279032121129,0.13532761174525268,2.386717117429156e-06,-8.666475753904557e-05,312029.54776439944,-4.939703502857392e-07,3.2009517367884374e-15,1.7936622635902602e-15,0.004787391610606262,-0.002152305387482789,1.8167874616761404
207042fe2123afec08cc75ae45e5b3b3ec90890daac43e62005bef2485be32a0,smooth_detuning,motional_dephasing_only,constant_rate,3.0,0.0002258,0.9951356765860794,0.004864323413920624,0.006080461007408888,0.0005582576067901322,0.005522203400618805,0.701138882846718,0.0003960572973724337,0.0759047273528638,0.00014060279032121129,0.13532761174525268,2.386717117429156e-06,-8.666475753904557e-05,312029.54776439944,-3.815721961300507e-07,2.918669826240761e-15,1.5690119130498249e-15,0.007695842647228113,-0.002831519233307489,1.5820992957014954
207042fe2123afec08cc75ae45e5b3b3ec90890daac43e62005bef2485be32a0,smooth_detuning,motional_dephasing_only,constant_rate,4.0,0.0002258,0.9923364304671249,0.007663569532875059,0.009579495147081785,0.0007029244795204278,0.008876570667561355,0.6974956099007815,0.0004995844621926921,0.09614040348159361,0.00014060279032121129,0.13532761174525268,2.386717117429156e-06,-8.666475753904557e-05,312029.54776439944,-3.9521603304489716e-07,4.129325398460548e-15,2.101718799823435e-15,0.011110883278540151,-0.0034473137456650926,1.4498313391529705
207042fe2123afec08cc75ae45e5b3b3ec90890daac43e62005bef2485be32a0,standard,motional_dephasing_only,constant_rate,0.01,0.0001,0.999268143471977,0.0007318565280229894,0.0009148546658399592,0.0005627353753413492,0.00035211929049871083,0.7067244193493689,0.000398200748821205,0.019417553768098526,2.13600777145116e-14,0.49999342024641763,1.2499671014485726e-05,-1.033545274109482e-05,98696.04401089359,-1.6237434394905295e-07,2.30944195288833e-15,2.5905789254451974e-15,0.0007318565280229894,0.0,1.0
207042fe2123afec08cc75ae45e5b3b3ec90890daac43e62005bef2485be32a0,standard,motional_dephasing_only,constant_rate,1.0,0.0001,0.9975599623226608,0.0024400376773392463,0.003050071639993601,0.0016071493090931345,0.0014429223309004476,0.7054986470035512,0.0011389642810076353,0.040710771710475435,2.13600777145116e-14,0.49999342024641763,1.2499671014485726e-05,-1.033545274109482e-05,98696.04401089359,-2.052042598780907e-07,2.395758473112611e-15,1.5672507444247074e-15,0.0024400376773392463,0.0,1.0
207042fe2123afec08cc75ae45e5b3b3ec90890daac43e62005bef2485be32a0,standard,motional_dephasing_only,constant_rate,2.0,0.0001,0.9952126083893937,0.004787391610606262,0.0059842766562852034,0.0026004593120338873,0.0033838173442514124,0.7033553076171605,0.0018463308313802684,0.061729381412287024,2.13600777145116e-14,0.49999342024641763,1.2499671014485726e-05,-1.033545274109482e-05,98696.04401089359,-4.802428862416584e-07,3.3035622480082276e-15,1.0435179705190245e-15,0.004787391610606262,0.0,1.0
207042fe2123afec08cc75ae45e5b3b3ec90890daac43e62005bef2485be32a0,standard,motional_dephasing_only,constant_rate,3.0,0.0001,0.9923041573527719,0.007695842647228113,0.009619829485782994,0.0035322494840285272,0.006087580001754278,0.7003752297277696,0.002513342278534311,0.08220835842211056,2.13600777145116e-14,0.49999342024641763,1.2499671014485726e-05,-1.033545274109482e-05,98696.04401089359,-6.447455356954196e-07,3.954635888769903e-15,9.275006587285456e-16,0.007695842647228113,0.0,1.0
207042fe2123afec08cc75ae45e5b3b3ec90890daac43e62005bef2485be32a0,standard,motional_dephasing_only,constant_rate,4.0,0.0001,0.9888891167214598,0.011110883278540151,0.013888632930070477,0.004411183510890534,0.009477449419179954,0.6966292265679989,0.0031464040077920914,0.10210577332238593,2.13600777145116e-14,0.49999342024641763,1.2499671014485726e-05,-1.033545274109482e-05,98696.04401089359,-2.2069219533209281e-07,2.912243121533182e-15,9.729937407079744e-16,0.011110883278540151,0.0,1.0
