nbar,chi_trace,chi_norm,offdiag_ratio,error_offdiag_ratio,identity_error_coupling_ratio,pauli_error_probability,pauli_weight_1_probability,pauli_weight_2_probability,chi_distance_from_baseline,min_diag_probability
0.01,1.0,0.9977560005419079,0.019449520754603995,0.6293379201915024,0.019434800899155936,0.002433170291077369,0.0015891228681230896,0.0008440474229542884,0.0,4.278953702009363e-08
1.0,1.0,0.9962740551931601,0.04074412179337672,0.572680877367109,0.0407171001497771,0.004555486079518278,0.0026211551335100776,0.0019343309460081674,0.021381358104738006,4.866925626663361e-08
2.0,1.0000000000000002,0.9944308273467242,0.06176291340743357,0.4722931103887815,0.061724349820722446,0.007475954463738277,0.0036024565886474277,0.0038734978750909737,0.042542958883378175,5.1981323829057864e-08
3.0,0.9999999999999998,0.9922872800466277,0.08224199943096577,0.3866017305962374,0.08219288609730996,0.011097082931782354,0.004522762190545147,0.006574320741237054,0.0632399967737606,4.3272021250928536e-08
4.0,1.0,0.9898776903480755,0.102139767459767,0.3221424137650958,0.10208086920623048,0.015350997591446314,0.0053907155948834965,0.009960281996562875,0.08344733851011704,5.398556091919249e-08
