noise_source,n_bar,rank,output,input,output_index,input_index,value,real_value,imag_value,abs_value,frobenius_norm,max_abs_norm,finite_difference_method,strength,step
motional_heating,0.01,1,YY,YY,10,10,-9.747458986764101e-05,-9.747458986764101e-05,0.0,9.747458986764101e-05,0.00030831349085612224,9.747458986764101e-05,forward,0.0,1.0
motional_heating,2.0,1,YY,ZZ,10,15,9.358709472773912e-05,9.358709472773912e-05,0.0,9.358709472773912e-05,0.0002960280207055407,9.358709472773912e-05,forward,0.0,1.0
motional_dephasing,0.01,1,ZY,ZY,14,14,-4.930242339851176e-05,-4.930242339851176e-05,0.0,4.930242339851176e-05,0.0001842790240563033,4.930242339851176e-05,forward,0.0,1.0
motional_dephasing,2.0,1,YY,ZZ,10,15,0.00023134204337400713,0.00023134204337400713,0.0,0.00023134204337400713,0.0007534922899086832,0.00023134204337400713,forward,0.0,1.0
spin_dephasing,0.01,1,XX,XX,5,5,-0.0001999800013335884,-0.0001999800013335884,0.0,0.0001999800013335884,0.0004333406415075782,0.0001999800013335884,forward,0.0,1.0
spin_dephasing,2.0,1,XX,XX,5,5,-0.00019998000133192306,-0.00019998000133192306,0.0,0.00019998000133192306,0.0004290303233161819,0.00019998000133192306,forward,0.0,1.0
photon_scattering,0.01,1,XX,XX,5,5,-0.00032494719322362364,-0.00032494719322362364,0.0,0.00032494719322362364,0.0007490734670691986,0.00032494719322362364,forward,0.0,1.0
photon_scattering,2.0,1,XX,XX,5,5,-0.00032494719322062604,-0.00032494719322062604,0.0,0.00032494719322062604,0.0007442730524045031,0.00032494719322062604,forward,0.0,1.0
