condition_id,nbar,F_avg,infidelity,motional_heating_s^-1,motional_dephasing_s^-1,spin_dephasing_s^-1,photon_scattering_s^-1,is_all_noise_zero
rates_70251d48c79bc447,1.0,0.998128025993462,0.001871974006538,0.0,9.0,0.0,0.0,False
rates_70251d48c79bc447,2.0,0.9960908837477912,0.0039091162522086,0.0,9.0,0.0,0.0,False
rates_70251d48c79bc447,3.0,0.9934725028927254,0.0065274971072746,0.0,9.0,0.0,0.0,False
rates_70251d48c79bc447,4.0,0.9903271976598064,0.0096728023401937,0.0,9.0,0.0,0.0,False
rates_7283b228c09abbcb,0.01,0.9997512358559154,0.0002487641440845,0.0,0.0,0.0,0.0,True
rates_7283b228c09abbcb,1.0,0.9986981211971412,0.0013018788028587,0.0,0.0,0.0,0.0,True
rates_7283b228c09abbcb,2.0,0.9969741070254264,0.0030258929745734,0.0,0.0,0.0,0.0,True
rates_7283b228c09abbcb,3.0,0.9946495746839944,0.0053504253160057,0.0,0.0,0.0,0.0,True
rates_7283b228c09abbcb,4.0,0.9917785629991532,0.0082214370008468,0.0,0.0,0.0,0.0,True
rates_7affb8fbc133d6bd,0.01,0.9993145272761368,0.0006854727238632,5.0,9.0,0.0,0.0,False
rates_7affb8fbc133d6bd,1.0,0.9979371286902914,0.0020628713097086,5.0,9.0,0.0,0.0,False
rates_7affb8fbc133d6bd,2.0,0.9959041364170588,0.0040958635829413,5.0,9.0,0.0,0.0,False
rates_7affb8fbc133d6bd,3.0,0.9932898374425316,0.0067101625574684,5.0,9.0,0.0,0.0,False
rates_7affb8fbc133d6bd,4.0,0.9901486092639572,0.0098513907360429,5.0,9.0,0.0,0.0,False
rates_7f1e3dd0f07550fa,0.01,0.9987865373138376,0.0012134626861624,0.0,36.0,0.0,0.0,False
rates_7f1e3dd0f07550fa,1.0,0.9964299742270328,0.0035700257729672,0.0,36.0,0.0,0.0,False
rates_7f1e3dd0f07550fa,2.0,0.9934706263304172,0.0065293736695828,0.0,36.0,0.0,0.0,False
rates_7f1e3dd0f07550fa,3.0,0.9899932265837268,0.0100067734162732,0.0,36.0,0.0,0.0,False
rates_7f1e3dd0f07550fa,4.0,0.9860518592180524,0.0139481407819477,0.0,36.0,0.0,0.0,False
rates_8142d8384202664f,0.01,0.9974390023970368,0.0025609976029631,10.0,72.0,0.0,0.0,False
rates_8142d8384202664f,1.0,0.99381602405492,0.0061839759450801,10.0,72.0,0.0,0.0,False
rates_8142d8384202664f,2.0,0.989676100188344,0.0103238998116559,10.0,72.0,0.0,0.0,False
rates_8142d8384202664f,3.0,0.9851137097823972,0.0148862902176027,10.0,72.0,0.0,0.0,False
rates_8142d8384202664f,4.0,0.98017917743646,0.0198208225635401,10.0,72.0,0.0,0.0,False
rates_935232b07d52685d,0.01,0.999073228791015,0.0009267712089849,5.0,18.0,0.0,0.0,False
rates_935232b07d52685d,1.0,0.9973693483754044,0.0026306516245956,5.0,18.0,0.0,0.0,False
rates_935232b07d52685d,2.0,0.995026269356276,0.004973730643724,5.0,18.0,0.0,0.0,False
rates_935232b07d52685d,3.0,0.992122067292432,0.0078779327075679,5.0,18.0,0.0,0.0,False
rates_935232b07d52685d,4.0,0.988711225803772,0.0112887741962278,5.0,18.0,0.0,0.0,False
rates_95304e3098130ea3,0.01,0.9989717483760064,0.0010282516239936,20.0,0.0,0.0,0.0,False
rates_95304e3098130ea3,1.0,0.9979342195129828,0.0020657804870172,20.0,0.0,0.0,0.0,False
rates_95304e3098130ea3,2.0,0.9962259667249416,0.0037740332750584,20.0,0.0,0.0,0.0,False
rates_95304e3098130ea3,3.0,0.9939173452341868,0.0060826547658132,20.0,0.0,0.0,0.0,False
rates_95304e3098130ea3,4.0,0.9910620104211478,0.0089379895788521,20.0,0.0,0.0,0.0,False
