nbar,A_before,A_after,A_factor,h_XX_before_rad_per_gate,h_XX_after_rad_per_gate,theta_XX_before_rad,theta_XX_after_rad,infidelity_before,infidelity_after,infidelity_reduction,gamma_XX_before_per_gate,gamma_XX_after_per_gate
0.01,0.125,0.126107690858566,1.008861526868528,0.013736791942063033,0.0001026530365931216,0.7716613714553853,0.7852955103608552,0.00024880007831962203,0.00010312961887048999,0.00014567045944913204,2.3778189988624223e-06,2.4645521865571186e-06
1.0,0.125,0.12736014687876748,1.0188811750301399,0.028839158345167336,0.0002146905528873681,0.7565590050522809,0.7851834728445609,0.001301914458034137,0.000697497079683096,0.000604417378351041,0.00046003520037893976,0.0004952140455009036
2.0,0.125,0.1286405152856998,1.0291241222855985,0.04382438447363302,0.00031971551723260173,0.7415737789238153,0.7850784478802156,0.0030259594272497026,0.001702252627343448,0.0013237067999062545,0.0013355302580706258,0.0014951963345487325
