n_bar,chi_IX_IX_fit,chi_XI_XI_fit
0.01,0.0005489608622183,0.0005489657832441
0.03001001001001001,0.0005596791726381181,0.0005596839909781602
0.05002002002002002,0.000570384584867223,0.0005703893011914037
0.07003003003003003,0.0005810771143622787,0.0005810817293385419
0.09004004004004003,0.0005917567765654845,0.0005917612908598235
0.11005005005005004,0.0006024235869045737,0.0006024280011810328
0.13006006006006005,0.0006130775607928144,0.0006130818757134926
0.15007007007007006,0.0006237187136290097,0.0006237229298540612
0.17008008008008008,0.0006343470607974968,0.0006343511789851346
0.1900900900900901,0.0006449626176681475,0.0006449666384746449
0.2101001001001001,0.0006555653995963691,0.0006555693236760616
0.2301101101101101,0.0006661554219231022,0.0006661592499283911
0.2501201201201201,0.0006767326999748234,0.0006767364325561759
0.2701301301301301,0.0006872972490635427,0.0006873008868694965
0.2901401401401401,0.0006978490844868057,0.0006978526281639693
0.31015015015015013,0.0007083882215276922,0.0007083916717207478
0.33016016016016014,0.0007189146754548166,0.0007189180328065226
0.35017017017017016,0.0007294284615223279,0.0007294317266735208
0.3701801801801802,0.00073992959496991,0.0007399327685595065
0.3901901901901902,0.000750418091022781,0.0007504211736877807
0.4102002002002002,0.0007608939648916941,0.0007608969572671813
0.43021021021021016,0.000771357231772937,0.0007713601344920824
0.4502202202202202,0.0007818079068483317,0.000781810720542396
0.4702302302302302,0.0007922460052852354,0.0007922487305835704
0.4902402402402402,0.0008026715422365393,0.0008026741797665903
0.5102502502502502,0.00081308453284067,0.0008130870832279781
0.5302602602602602,0.0008234849922215876,0.0008234874560897926
0.5502702702702702,0.0008338729354887881,0.0008338753134596295
0.5702802802802802,0.0008442483777373013,0.0008442506704306212
0.5902902902902902,0.000854611334047692,0.0008546135420814371
0.6103003003003002,0.0008649618194860593,0.0008649639434762835
0.6303103103103103,0.0008752998491040374,0.0008753018896649035
0.6503203203203203,0.0008856254379387946,0.0008856273956825769
0.6703303303303303,0.0008959386010130344,0.0008959404765501205
0.6903403403403403,0.0009062393533349943,0.0009062411472738878
0.7103503503503503,0.0009165277098984469,0.0009165294228457693
0.7303603603603603,0.0009268036856826994,0.0009268053182431924
0.7503703703703704,0.0009370672956525934,0.0009370688484291211
0.7703803803803804,0.0009473185547585055,0.0009473200283520565
0.7903903903903904,0.0009575574779363461,0.0009575588729460363
0.8104004004004004,0.0009677840801075616,0.000967785397130635
0.8304104104104103,0.0009779983761791316,0.0009779996158109643
0.8504204204204203,0.0009882003810435713,0.0009882015438776727
0.8704304304304303,0.0009983901095789302,0.0009983911962069454
0.8904404404404404,0.0010085675766487924,0.001008568587660504
0.9104504504504504,0.0010187327971022766,0.001018733733085608
0.9304604604604604,0.0010288857857740365,0.0010288866473150522
0.9504704704704704,0.00103902655748426,0.0010390273451671703
