n_bar,chi_XX_XX_fit,chi_XX_XX_ci95_lower,chi_XX_XX_ci95_upper,abs_chi_II_XX_fit,abs_chi_II_XX_ci95_lower,abs_chi_II_XX_ci95_upper,chi_IX_IX_fit,chi_IX_IX_ci95_lower,chi_IX_IX_ci95_upper,chi_XI_XI_fit,chi_XI_XI_ci95_lower,chi_XI_XI_ci95_upper
0.01,0.0003526292178285,0.0003526292178285,0.0003526292178285,0.0137116490417486,0.0137116490417486,0.0137116490417486,0.0005489608622183,0.0005489608622183,0.0005489608622183,0.0005489657832441,0.0005489657832441,0.0005489657832441
0.03001001001001001,0.0003659842196573953,0.0003659314364146202,0.000366035736593594,0.014019886605459404,0.014019501936005638,0.014020275613247694,0.0005596791726381181,0.000559673671855453,0.0005596862475618313,0.0005596839909781602,0.000559678156485881,0.0005596905545297838
0.05002002002002002,0.0003797105892417263,0.00037960565655665554,0.0003798132222539128,0.014327951054043308,0.014327185958131358,0.014328724887906819,0.000570384584867223,0.0005703736408058938,0.0005703986712552476,0.0005703893011914037,0.0005703776918720458,0.0005704023610898204
0.07003003003003003,0.00039380761070080533,0.0003936511589633355,0.0003939609604393979,0.014635842186052522,0.014634700885106376,0.014636996667227078,0.0005810771143622787,0.000581060784255662,0.0005810981483751942,0.0005810817293385419,0.0005810644045714344,0.0005811012327094664
0.09004004004004003,0.0004082745688422821,0.00040806722503913546,0.0004084782374658608,0.014943559800613446,0.014942046494530679,0.014945090777223129,0.0005917567765654845,0.0005917351173768565,0.0005917846948102279,0.0005917612908598235,0.0005917383097389845,0.0005917871823107827
0.11005005005005004,0.0004231107491621433,0.0004228531368842764,0.0004233641623600035,0.015251103697426672,0.015249222564623665,0.015253007038444458,0.0006024235869045737,0.0006023966553276355,0.0006024583262691528,0.0006024280011810328,0.0006023994225157326,0.0006024602246045086
0.13006006006006005,0.0004383154378447126,0.0004380080045415901,0.0004386181226477497,0.015558473676766993,0.015556228874224117,0.015560745271971134,0.0006130775607928144,0.0006130454132522177,0.0006131190584261998,0.0006130818757134926,0.0006130477580288135,0.000613120375249809
0.15007007007007006,0.0004538879217626506,0.0004535310942935837,0.00045423941289653006,0.015865669539483387,0.015863065202790204,0.01586830338053841,0.0006237187136290097,0.0006236814062808806,0.000623766906828813,0.0006237229298540612,0.0006236833313914594,0.0006237676498909001
0.17008008008008008,0.0004698274884769553,0.00046942178706230474,0.00047022732283143756,0.01617269108699902,0.016169731330399496,0.016175680402648576,0.0006343470607974968,0.0006343046495299623,0.0006344018872075047,0.0006343511789851346,0.0006343061577030018,0.0006344020641570504
0.1900900900900901,0.0004861334262369615,0.0004856793685432137,0.0004865811428614216,0.016479538121311258,0.016476227037748946,0.01648287779917212,0.0006449626176681475,0.0006449151581018602,0.0006450240151945992,0.0006449666384746449,0.0006449162520488696,0.000645023630626502
0.2101001001001001,0.0005028050239803411,0.0005023031251253691,0.0005033001508827603,0.016786210444991675,0.016782552106154904,0.016789895400769275,0.0006555653995963691,0.0006555129470850316,0.0006556333064075031,0.0006555693236760616,0.0006555136295005907,0.0006556323670138475
0.2301101101101101,0.0005198415713331028,0.0005192923438914281,0.0005203836359551228,0.017092707861186014,0.017088706317553104,0.017096733038613976,0.0006661554219231022,0.0006660980315539932,0.0006662297764487044,0.0006661592499283911,0.0006660983063267544,0.0006662282020767663
0.2501201201201201,0.000537242358609593,0.0005366463126176456,0.0005378309015549256,0.01739903017361422,0.017394689454498694,0.017403390544393757,0.0006767326999748234,0.0006766704265693218,0.0006768134409057734,0.0006767364325561759,0.0006766702987592958,0.0006768111536253632
0.2701301301301301,0.000555006676812495,0.0005543643197738752,0.0005556410681009246,0.017705177186570432,0.017700501321499276,0.017709867750309857,0.0006872972490635427,0.0006872301764964045,0.000687384314947286,0.0006873008868694965,0.0006872296199947121,0.0006873812955679462
0.2901401401401401,0.0005731338176328282,0.0005724456545235687,0.0005738129279817212,0.018011148704922982,0.01800614176756568,0.018016164489077155,0.0006978490844868057,0.0006977773384127201,0.0006979424141689782,0.0006978526281639693,0.0006977764350821489,0.0006979386436470129
0.31015015015015013,0.0005916230734499501,0.0005908896067237758,0.0005923463349271023,0.018316944534114393,0.018311610505127206,0.018322280593924174,0.0007083882215276922,0.0007083118693750419,0.0007084877178895013,0.0007083916717207478,0.0007083106672834446,0.0007084832135896289
0.33016016016016014,0.0006104737373315552,0.0006096954669251449,0.0006112405849721012,0.018622564480161384,0.018616907319095533,0.018628215898593106,0.0007189146754548166,0.0007188337842578541,0.000719020185383242,0.0007189180328065226,0.000718832298555452,0.0007190151424816851
0.35017017017017016,0.0006296851030336746,0.0006288628039769527,0.0006304949748337521,0.01892800834965487,0.018922031995002055,0.018933970237339805,0.0007294284615223279,0.0007293430979220892,0.0007295399086840595,0.0007294317266735208,0.0007293411995877143,0.0007295343603436732
0.3701801801801802,0.0006492564650006766,0.0006483906994994793,0.0006501088019110893,0.019233275949759952,0.019226984318997865,0.019239543444933768,0.00073992959496991,0.0007398398252151299,0.0007400469045237431,0.0007399327685595065,0.0007398374238631169,0.0007400408638711005
0.3901901901901902,0.0006691871183652667,0.0006682784155069011,0.0006700813642851483,0.01953836708821593,0.019531761532843733,0.019544935356658168,0.000750418091022781,0.0007503239809708072,0.0007505411885347441,0.0007504211736877807,0.0007503210661077967,0.0007505346685855695
0.4102002002002002,0.0006894763589484872,0.0006885252571985141,0.0006904119607189644,0.019843281573336282,0.019836360030781413,0.0198501458083098,0.0007608939648916941,0.0007607955800094019,0.0007610227760653701,0.0007608969572671813,0.0007607921412704594,0.0007610157894769156
0.43021021021021016,0.0007101234832597178,0.0007091305058327844,0.0007110998906575737,0.020148019214008703,0.02014078475981222,0.02015517463619916,0.000771357231772937,0.0007712546371376435,0.0007714916826087865,0.0007713601344920824,0.0007712506642858446,0.0007714842391459064
0.4502202202202202,0.000731127788496675,0.0007300934558483233,0.0007321444497908635,0.02045257981969507,0.02044503551640854,0.020460021677150372,0.0007818079068483317,0.0007817011328599063,0.0007819479240751759,0.000781810720542396,0.0007816966500747262,0.0007819400361248031
0.4702302302302302,0.0007524885725454123,0.0007514133367254982,0.0007535449119407476,0.02075696320043145,0.020749112097640188,0.020764686768501215,0.0007922460052852354,0.000792135043316763,0.0007923915160364286,0.0007922487305835704,0.0007921301135439122,0.0007923831958776629
0.4902402402402402,0.0007742051339803209,0.0007730895794109671,0.0007753006071057444,0.0210611691668281,0.02105301430117443,0.021069169748103144,0.0008026715422365393,0.000802556447802723,0.0008028224740490649,0.0008026741797665903,0.000802551071967059,0.0008028137338534909
0.5102502502502502,0.0007962767720641277,0.0007951213594512866,0.0007974108374815627,0.02136519753006948,0.021356741925275965,0.021373470454321263,0.00081308453284067,0.0008129653611668676,0.0008132408136542362,0.0008130870832279781,0.0008129595404362058,0.0008132316654862407
0.5302602602602602,0.0008187027867478982,0.000817508039099165,0.0008198749059458585,0.021669048101914244,0.021660294768806956,0.021677588726034317,0.0008234849922215876,0.0008233617982444109,0.0008236465503777255,0.0008234874560897926,0.0008233555315856921,0.000823637006194814
0.5502702702702702,0.0008414824786710339,0.0008402489108494254,0.0008426921160582352,0.021972720694695226,0.02196367263122698,0.021981525354866038,0.0008338729354887881,0.0008337457738567002,0.0008340396997299459,0.0008338753134596295,0.0008337390602634437,0.0008340297713830603
0.5702802802802802,0.0008646151491612737,0.0008633432637799839,0.0008658617720602415,0.022276215121319467,0.02226687531259308,0.022285308410731328,0.0008442483777373013,0.0008441173028112158,0.000844420277205942,0.0008442506704306212,0.0008441101413034289,0.0008444099764397772
0.5902902902902902,0.0008881001002346939,0.0008867903972007877,0.0008893831788753741,0.02257953119526819,0.022569903291947406,0.022588910557892323,0.000854611334047692,0.000854476399901572,0.0008547882982853891,0.0008546135420814371,0.0008544687895256589,0.0008547776367387106
0.6103003003003002,0.000911936634595707,0.0009105896111160432,0.0009132556421090761,0.022882668730596818,0.022872769252365283,0.022892331622656362,0.0008649618194860593,0.0008648230799075157,0.0008651437784325933,0.0008649639434762835,0.0008648152117332514,0.0008651327676385541
0.6303103103103103,0.0009361240556370633,0.0009347402062242159,0.0009374784680487374,0.023185627541934963,0.023175460288279385,0.023195571431878552,0.0008752998491040374,0.0008751573575949276,0.0008754867330964916,0.0008753018896649035,0.0008751492678694558,0.0008754753844829493
