element,pauli,degree,n_bar_anchor,value_at_anchor,R_squared,RMSE,max_abs_residual,equation,a1,a2,a3,a4
"chi_{IX,IX}",IX,4,0.01,0.0005489608622183,0.9999997840211808,8.403855801868209e-07,4.117300704347803e-06,y(n) = 5.48960862e-04 + 5.35969980e-04(n-0.01)^1 - 1.61259297e-05(n-0.01)^2 + 3.21982183e-07(n-0.01)^3 - 3.75949094e-09(n-0.01)^4,0.0005359699803072233,-1.6125929685446403e-05,3.21982182809857e-07,-3.759490938876203e-09
"chi_{XI,XI}",XI,4,0.01,0.0005489657832441,0.9999997830066939,8.423584776007903e-07,4.119326064660209e-06,y(n) = 5.48965783e-04 + 5.35964832e-04(n-0.01)^1 - 1.61250907e-05(n-0.01)^2 + 3.21941491e-07(n-0.01)^3 - 3.75891584e-09(n-0.01)^4,0.0005359648318161634,-1.6125090711164992e-05,3.2194149079935213e-07,-3.758915842473985e-09
