target,chosen_degree,equation,R_squared,RMSE,AICc,BIC,CV_RMSE_5fold,bootstrap_samples,bootstrap_seed
chi_XX_XX,4,y(n) = 3.52629218e-04 + 6.58124566e-04(n-0.01)^1 + 4.64640112e-04(n-0.01)^2 - 1.49132880e-05(n-0.01)^3 + 1.78896022e-07(n-0.01)^4,0.9999999616382773,6.598372335495785e-06,-1923.9210681497757,-1914.8695873205597,3.581057699626793e-05,1000,20260805
abs_chi_II_XX,4,y(n) = 1.37278481e-02 + 1.54211734e-02(n-0.01)^1 - 2.19776584e-04(n-0.01)^2 - 3.89523830e-06(n-0.01)^3 + 1.41435541e-07(n-0.01)^4,0.9999995053436771,4.362110061868542e-05,-1617.9487538272901,-1608.8972729980742,0.00027673212390598293,1000,20260805
chi_IX_IX,4,y(n) = 5.48960862e-04 + 5.35969980e-04(n-0.01)^1 - 1.61259297e-05(n-0.01)^2 + 3.21982183e-07(n-0.01)^3 - 3.75949094e-09(n-0.01)^4,0.9999997840211808,8.403855801868209e-07,-2257.757298486747,-2248.705817657531,5.1194798983751835e-06,1000,20260805
chi_XI_XI,4,y(n) = 5.48965783e-04 + 5.35964832e-04(n-0.01)^1 - 1.61250907e-05(n-0.01)^2 + 3.21941491e-07(n-0.01)^3 - 3.75891584e-09(n-0.01)^4,0.9999997830066939,8.423584776007903e-07,-2257.377431416615,-2248.325950587399,5.2016590529144566e-06,1000,20260805
