n_bar,chi_XX_XX_fit,chi_II_XX_abs_fit
0.01,0.0003526292178285,0.0137278481013
0.03001001001001001,0.00036598421965739516,0.014036337906519914
0.05002002002002002,0.000379710589241726,0.014344651527496402
0.07003003003003003,0.0003938076107008049,0.014652788777793451
0.09004004004004003,0.0004082745688422815,0.014960749471519244
0.11005005005005004,0.00042311074916214257,0.01526853342332617
0.13006006006006005,0.0004383154378447117,0.015576140448410807
0.15007007007007006,0.0004538879217626496,0.015883570362513946
0.17008008008008008,0.00046982748847695417,0.01619082298192058
0.1900900900900901,0.00048613342623696014,0.016497898123459885
0.2101001001001001,0.0005028050239803397,0.016804795604505256
0.2301101101101101,0.0005198415713331013,0.01711151524297428
0.2501201201201201,0.0005372423586095913,0.017418056857328747
0.2701301301301301,0.0005550066768124931,0.01772442026657465
0.2901401401401401,0.0005731338176328261,0.018030605290262174
0.31015015015015013,0.000591623073449948,0.01833661174848571
0.33016016016016014,0.000610473737331553,0.018642439461883858
0.35017017017017016,0.0006296851030336721,0.018948088251639406
0.3701801801801802,0.0006492564650006741,0.019253557939479343
0.3901901901901902,0.0006691871183652641,0.01955884834767487
0.4102002002002002,0.0006894763589484845,0.019863959299041372
0.43021021021021016,0.0007101234832597149,0.02016889061693845
0.4502202202202202,0.000731127788496672,0.020473642125269902
0.4702302302302302,0.0007524885725454092,0.02077821364848372
0.4902402402402402,0.0007742051339803175,0.021082605011572105
0.5102502502502502,0.0007962767720641244,0.021386816040071446
0.5302602602602602,0.0008187027867478946,0.021690846560062347
0.5502702702702702,0.0008414824786710302,0.02199469639816961
0.5702802802802802,0.00086461514916127,0.022298365381562223
0.5902902902902902,0.00088810010023469,0.0226018533379534
0.6103003003003002,0.0009119366345957029,0.022905160095600525
0.6303103103103103,0.0009361240556370591,0.02320828548330521
0.6503203203203203,0.0009606616674398458,0.023511229330413264
0.6703303303303303,0.0009855487747734868,0.02381399146681467
0.6903403403403403,0.0010107846830957436,0.024116571722943642
0.7103503503503503,0.0010363686985527143,0.024418969929778586
0.7303603603603603,0.0010623001279788345,0.024721185918842092
0.7503703703703704,0.0010885782788968763,0.02502321952220099
0.7703803803803804,0.0011152024595179493,0.025325070572466257
