condition_id,nbar,pauli,pauli_weight,mode_class,h_rad_per_gate,gamma_per_gate
rates_043985184c08dfb1,3.0,ZY,2,correlated,-7.705500573411114e-09,4.6777231252244096e-09
rates_043985184c08dfb1,3.0,ZZ,2,correlated,8.958278834188204e-16,2.412702635595787e-08
rates_043985184c08dfb1,4.0,IX,1,local,6.062059334313784e-10,0.0074359689893702076
rates_043985184c08dfb1,4.0,IY,1,local,-3.434809398681256e-09,7.134582795262226e-05
rates_043985184c08dfb1,4.0,IZ,1,local,-2.5007519335618815e-10,9.537526218247406e-05
rates_043985184c08dfb1,4.0,XI,1,local,-1.6339575189498602e-09,0.007435981659845175
rates_043985184c08dfb1,4.0,XX,2,correlated,0.07200532646490469,0.004783841628509552
rates_043985184c08dfb1,4.0,XY,2,correlated,3.884208995428246e-09,9.531977398350724e-05
rates_043985184c08dfb1,4.0,XZ,2,correlated,1.6033119881736893e-09,7.128878206476787e-05
rates_043985184c08dfb1,4.0,YI,1,local,4.3788923851358374e-10,7.135717923240554e-05
rates_043985184c08dfb1,4.0,YX,2,correlated,-5.47097600829527e-09,9.532256518397656e-05
rates_043985184c08dfb1,4.0,YY,2,correlated,6.420039035715573e-09,9.560138600985029e-09
rates_043985184c08dfb1,4.0,YZ,2,correlated,-4.9048078097411575e-09,1.5013090209821614e-09
rates_043985184c08dfb1,4.0,ZI,1,local,7.711514917085081e-10,9.537470887929664e-05
rates_043985184c08dfb1,4.0,ZX,2,correlated,4.778330618879759e-09,7.127519288793564e-05
rates_043985184c08dfb1,4.0,ZY,2,correlated,-1.420931523873278e-09,0.0
rates_043985184c08dfb1,4.0,ZZ,2,correlated,-1.1069755240922615e-16,0.0
rates_0e752ad71c6095d9,0.01,IX,1,local,-2.613920118353698e-09,0.0010352092801683697
rates_0e752ad71c6095d9,0.01,IY,1,local,-4.8863634755715085e-09,4.743423421844223e-09
rates_0e752ad71c6095d9,0.01,IZ,1,local,-2.859978508022608e-11,5.428294230344778e-09
rates_0e752ad71c6095d9,0.01,XI,1,local,7.79220978759526e-09,0.0010352062737534935
rates_0e752ad71c6095d9,0.01,XX,2,correlated,0.013767692269720364,2.983145322779223e-06
rates_0e752ad71c6095d9,0.01,XY,2,correlated,1.3266206843830202e-09,3.739197201453397e-09
rates_0e752ad71c6095d9,0.01,XZ,2,correlated,3.003561495563629e-09,5.4460008607884575e-09
rates_0e752ad71c6095d9,0.01,YI,1,local,2.2997547433604163e-09,3.4943331019474165e-09
rates_0e752ad71c6095d9,0.01,YX,2,correlated,2.421768434605451e-09,3.783142042202477e-09
rates_0e752ad71c6095d9,0.01,YY,2,correlated,6.164786329228736e-09,6.910633900582299e-09
rates_0e752ad71c6095d9,0.01,YZ,2,correlated,1.6427301020696545e-09,8.210381157516255e-09
rates_0e752ad71c6095d9,0.01,ZI,1,local,5.967604329016704e-13,6.217301415471209e-09
rates_0e752ad71c6095d9,0.01,ZX,2,correlated,3.1419336591154522e-09,4.368547346349921e-09
rates_0e752ad71c6095d9,0.01,ZY,2,correlated,2.06477584414302e-09,9.280221498310254e-09
rates_0e752ad71c6095d9,0.01,ZZ,2,correlated,-3.6309738994631387e-14,1.0347472548938308e-08
rates_0e752ad71c6095d9,1.0,IX,1,local,1.3408624034954835e-08,0.0011251164574845793
rates_0e752ad71c6095d9,1.0,IY,1,local,1.3947733161738978e-09,4.513663886512973e-09
rates_0e752ad71c6095d9,1.0,IZ,1,local,1.7274576843795466e-10,6.157158078824375e-09
rates_0e752ad71c6095d9,1.0,XI,1,local,7.0099643431378674e-09,0.0011251012095201034
rates_0e752ad71c6095d9,1.0,XX,2,correlated,0.028871004286295143,0.000461402312079322
rates_0e752ad71c6095d9,1.0,XY,2,correlated,1.2547866378516315e-09,2.044127588862201e-09
rates_0e752ad71c6095d9,1.0,XZ,2,correlated,3.269423682917928e-09,1.922941361131854e-09
rates_0e752ad71c6095d9,1.0,YI,1,local,3.259053646743513e-09,1.9933129984679086e-09
