condition_id,nbar,motional_heating_s^-1,motional_dephasing_s^-1,spin_dephasing_s^-1,photon_scattering_s^-1,average_infidelity,abs_chi_II_XX,chi_XX_XX,generator_frobenius_norm,hamiltonian_fit_frobenius_norm,pauli_dissipator_fit_frobenius_norm,unmodeled_generator_frobenius_norm,generator_reconstruction_error,generator_imaginary_frobenius_norm,gamma_nnls_residual,cptp_projection_iterations,cptp_min_choi_eigenvalue,cptp_tp_frobenius_error,cptp_relative_final_step
rates_043985184c08dfb1,0.01,0.0,72.0,6.666666666666667,0.0,0.00270395931431775,0.013685333166877266,0.0008350726745537167,0.07918270025325615,0.07754087700980457,0.014148947291957174,0.007557757767803338,4.368418587242259e-15,2.651546875382156e-15,0.007557757764942686,1.0,1.2096145682676876e-08,1.570293662929035e-16,5.700925106404745e-16
rates_043985184c08dfb1,1.0,0.0,72.0,6.666666666666667,0.0,0.00633526483969451,0.028556630131418573,0.0019239970881816228,0.1669219613872473,0.16225668535499113,0.03272188677401853,0.021563565960327366,3.964416373664956e-15,2.1383836574928734e-15,0.021563565958524846,1.0,3.34257219728721e-08,1.8959793706489714e-18,7.858726699502768e-16
rates_043985184c08dfb1,2.0,0.0,72.0,6.666666666666667,0.0,0.010482914684388157,0.0430496113657342,0.003863827537377103,0.2537973446245624,0.24587624943667455,0.05233000938137733,0.03492180149388057,3.6207091199601426e-15,2.2806177380400356e-15,0.03492180149193483,1.0,3.598388565343797e-08,2.2232921152531364e-16,4.151282847828317e-16
rates_043985184c08dfb1,3.0,0.0,72.0,6.666666666666667,0.0,0.015052454860735765,0.05698585855774193,0.006550582211562914,0.33886121046737383,0.32756106713613053,0.07259928502312138,0.04753957372741822,3.913860151305175e-15,1.9879832063559582e-15,0.04753957372339947,5.0,-4.314021275181915e-12,2.4877520502648664e-16,9.315465535929198e-12
rates_043985184c08dfb1,4.0,0.0,72.0,6.666666666666667,0.0,0.019993491729118774,0.07034847475735395,0.009896854168030716,0.42213275942811157,0.4073236369990883,0.09351207798249331,0.059489600735111746,4.541745514988583e-15,2.0378814497062507e-15,0.05948960073397437,1.0,4.589024467478133e-08,1.1315319674303912e-16,1.0545804607270057e-15
rates_0e752ad71c6095d9,0.01,40.0,0.0,0.0,0.0,0.001805810258152718,0.013776027387121085,0.0001953250862755629,0.07897624313180573,0.07788182852170558,0.010152910750690409,0.008281676679166527,4.878519279425809e-15,2.2167103084249296e-15,0.008281676676967185,21.0,-8.62480273806092e-12,1.1105025154522876e-16,3.5710286698374895e-12
rates_0e752ad71c6095d9,1.0,40.0,0.0,0.0,0.0,0.0028278105907955545,0.028785349634229768,0.0012945996423413255,0.16406003793190632,0.16331906328407614,0.012710780421170005,0.009000870808719287,5.5283608882964916e-15,2.0772137894420136e-15,0.009000870807142432,24.0,-7.334174892425979e-12,1.0644385490449078e-17,2.594203498125297e-12
rates_0e752ad71c6095d9,2.0,40.0,0.0,0.0,0.0,0.0045203628798841326,0.04359612453831455,0.0032496856031800562,0.24889035101860807,0.24809895564940462,0.01732653398439213,0.009649158301552226,6.075241534358099e-15,1.86990703806235e-15,0.009649158295130626,34.0,-8.794101129167597e-12,2.2323634515511513e-17,2.872024530474544e-12
rates_0e752ad71c6095d9,3.0,40.0,0.0,0.0,0.0,0.006813243463309782,0.05799559547564907,0.005977353999227926,0.332327778397157,0.3312944269875464,0.0241153789313998,0.010208008639204572,6.674075527140165e-15,2.515486281994423e-15,0.010208008624327232,30.0,-8.089639942418381e-12,1.1152561634152915e-16,2.9455390643754687e-12
rates_0e752ad71c6095d9,4.0,40.0,0.0,0.0,0.0,0.009652902825817301,0.07193788622559932,0.00940401826602682,0.41429298669551345,0.4128426994100894,0.03293907012423557,0.010705233684046711,5.0008365044657756e-15,1.9884770001686293e-15,0.010705233680839263,23.0,-7.997435875102587e-12,2.485460481684001e-16,2.7015598994233594e-12
rates_10ba39339e235ff4,0.01,0.0,36.0,0.0,8.0,0.0023308315667344816,0.013686579890937208,0.0005126778951558621,0.07858708655869773,0.07761759988220972,0.011604982589875858,0.004094232699557057,6.186780600545583e-15,2.8002962712650915e-15,0.004094232687711176,1.0,2.630348083850195e-07,1.5702400300162815e-16,1.2297737710703184e-15
rates_10ba39339e235ff4,1.0,0.0,36.0,0.0,8.0,0.004684036224903832,0.02861148807717455,0.0015977299186684811,0.16459529395758876,0.1626830940616335,0.022193548539025054,0.011544180471766141,4.860467740238448e-15,2.6617124252253712e-15,0.011544180465927497,1.0,2.782265281042131e-07,1.5705136615442704e-16,3.5218691459512944e-16
rates_10ba39339e235ff4,2.0,0.0,36.0,0.0,8.0,0.007639180088174414,0.043241292305847084,0.0035285986743399302,0.24994738495393437,0.2468680309080091,0.034350639612216266,0.018705724234686312,5.326556880787847e-15,2.139548064569025e-15,0.01870572422569241,1.0,3.18872637392786e-07,3.141789300397814e-16,5.06852704113349e-16
