pair_id,source_x,source_y,multiplier_x,multiplier_y,strength_x_s^-1,strength_y_s^-1,condition_id,x_only_condition_id,y_only_condition_id,zero_condition_id,nbar,pauli,pauli_weight,mode_class,grid_h_rad_per_gate,grid_gamma_per_gate,x_only_h_rad_per_gate,x_only_gamma_per_gate,y_only_h_rad_per_gate,y_only_gamma_per_gate,zero_h_rad_per_gate,zero_gamma_per_gate,interaction_gamma_per_gate,interaction_h_rad_per_gate
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,0.0,0.0,0.0,0.0,rates_7283b228c09abbcb,rates_7283b228c09abbcb,rates_7283b228c09abbcb,rates_7283b228c09abbcb,0.01,ZI,1,local,1.3512532420043294e-10,2.4683907325293853e-09,1.3512532420043294e-10,2.4683907325293853e-09,1.3512532420043294e-10,2.4683907325293853e-09,1.3512532420043294e-10,2.4683907325293853e-09,0.0,0.0
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,0.0,0.0,0.0,0.0,rates_7283b228c09abbcb,rates_7283b228c09abbcb,rates_7283b228c09abbcb,rates_7283b228c09abbcb,0.01,ZX,2,correlated,-1.902926413529346e-09,2.0728728623644623e-09,-1.902926413529346e-09,2.0728728623644623e-09,-1.902926413529346e-09,2.0728728623644623e-09,-1.902926413529346e-09,2.0728728623644623e-09,0.0,0.0
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,0.0,0.0,0.0,0.0,rates_7283b228c09abbcb,rates_7283b228c09abbcb,rates_7283b228c09abbcb,rates_7283b228c09abbcb,0.01,ZY,2,correlated,-5.381032890619856e-09,3.2122464424964876e-09,-5.381032890619856e-09,3.2122464424964876e-09,-5.381032890619856e-09,3.2122464424964876e-09,-5.381032890619856e-09,3.2122464424964876e-09,0.0,0.0
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,0.0,0.0,0.0,0.0,rates_7283b228c09abbcb,rates_7283b228c09abbcb,rates_7283b228c09abbcb,rates_7283b228c09abbcb,0.01,ZZ,2,correlated,2.6700504001365136e-15,3.3467925419553403e-09,2.6700504001365136e-15,3.3467925419553403e-09,2.6700504001365136e-15,3.3467925419553403e-09,2.6700504001365136e-15,3.3467925419553403e-09,0.0,0.0
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,0.5,0.0,9.0,0.0,rates_70251d48c79bc447,rates_70251d48c79bc447,rates_7283b228c09abbcb,rates_7283b228c09abbcb,0.01,IX,1,local,-1.0726295909304268e-08,0.0001709009013726165,-1.0726295909304268e-08,0.0001709009013726165,-9.014333959039476e-10,5.9973929743028704e-05,-9.014333959039476e-10,5.9973929743028704e-05,0.0,0.0
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,0.5,0.0,9.0,0.0,rates_70251d48c79bc447,rates_70251d48c79bc447,rates_7283b228c09abbcb,rates_7283b228c09abbcb,0.01,IY,1,local,-8.921870256522521e-11,3.4154833922484505e-09,-8.921870256522521e-11,3.4154833922484505e-09,4.599572995398083e-09,2.014386934603056e-09,4.599572995398083e-09,2.014386934603056e-09,0.0,0.0
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,0.5,0.0,9.0,0.0,rates_70251d48c79bc447,rates_70251d48c79bc447,rates_7283b228c09abbcb,rates_7283b228c09abbcb,0.01,IZ,1,local,-5.513084907177458e-12,2.967176647605497e-09,-5.513084907177458e-12,2.967176647605497e-09,-9.26597703723571e-12,2.478207105242617e-09,-9.26597703723571e-12,2.478207105242617e-09,0.0,0.0
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,0.5,0.0,9.0,0.0,rates_70251d48c79bc447,rates_70251d48c79bc447,rates_7283b228c09abbcb,rates_7283b228c09abbcb,0.01,XI,1,local,-7.229960933752379e-09,0.00017088831505647527,-7.229960933752379e-09,0.00017088831505647527,-5.750812206368293e-09,5.997171704631684e-05,-5.750812206368293e-09,5.997171704631684e-05,0.0,0.0
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,0.5,0.0,9.0,0.0,rates_70251d48c79bc447,rates_70251d48c79bc447,rates_7283b228c09abbcb,rates_7283b228c09abbcb,0.01,XX,2,correlated,0.013732600166141933,8.304374466877258e-05,0.013732600166141933,8.304374466877258e-05,0.013736789238169168,2.382847178729613e-06,0.013736789238169168,2.382847178729613e-06,0.0,0.0
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,0.5,0.0,9.0,0.0,rates_70251d48c79bc447,rates_70251d48c79bc447,rates_7283b228c09abbcb,rates_7283b228c09abbcb,0.01,XY,2,correlated,-3.0423978592882373e-09,3.5108749579861143e-09,-3.0423978592882373e-09,3.5108749579861143e-09,-1.741786819161499e-09,4.457403101680936e-09,-1.741786819161499e-09,4.457403101680936e-09,0.0,0.0
