noise_source,s,error_rate,nbar,F_avg,infidelity,trace_R_post
motional_dephasing,0.0,0.0,0.1,0.9996840051035438,0.0003159948964561732,15.993680102070876
motional_dephasing,0.5,9.0,0.1,0.9994116902889567,0.0005883097110432889,15.988233805779135
motional_dephasing,1.0,18.0,0.1,0.9991398512788733,0.0008601487211267189,15.982797025577465
motional_dephasing,2.0,36.0,0.1,0.9985975659930609,0.0014024340069390684,15.971951319861217
motional_dephasing,4.0,72.0,0.1,0.9975185609370442,0.002481439062955837,15.950371218740884
motional_heating,0.0,0.0,0.1,0.9996840051035438,0.0003159948964561732,15.993680102070876
motional_heating,0.5,5.0,0.1,0.9994893088570089,0.000510691142991071,15.989786177140179
motional_heating,1.0,10.0,0.1,0.9992947260276926,0.000705273972307352,15.985894520553853
motional_heating,2.0,20.0,0.1,0.9989059450721681,0.0010940549278318779,15.978118901443363
motional_heating,4.0,40.0,0.1,0.9981298192452716,0.0018701807547284455,15.962596384905432
photon_scattering,0.0,0.0,0.1,0.9996840051035438,0.0003159948964561732,15.993680102070876
photon_scattering,0.5,2.0,0.1,0.9994041678055284,0.0005958321944715683,15.988083356110568
photon_scattering,1.0,4.0,0.1,0.9991244618871796,0.0008755381128203732,15.982489237743595
photon_scattering,2.0,8.0,0.1,0.9985653745693022,0.0014346254306978334,15.971307491386044
photon_scattering,4.0,16.0,0.1,0.9974485845494605,0.002551415450539496,15.948971690989213
spin_dephasing,0.0,0.0,0.1,0.9996840051035438,0.0003159948964561732,15.993680102070876
spin_dephasing,0.5,1.6666666666666667,0.1,0.9995507372133179,0.00044926278668211417,15.991014744266357
spin_dephasing,1.0,3.3333333333333335,0.1,0.999417493330691,0.0005825066693090353,15.98834986661382
spin_dephasing,2.0,6.666666666666667,0.1,0.9991511036803002,0.0008488963196997545,15.983022073606005
spin_dephasing,4.0,13.333333333333334,0.1,0.9986186316929558,0.0013813683070441618,15.972372633859118
