nbar,nominal_infidelity,all_noise_zero_infidelity,total_noise_penalty,noise_penalty_fraction
0.01,0.0019465015300067,0.0002487641440845,0.0016977373859222,0.8721993585673453
1.0,0.0036443273817197,0.0013018788028587,0.002342448578861,0.6427656830752774
2.0,0.0059807109118852,0.0030258929745734,0.0029548179373118004,0.4940579775290296
3.0,0.0088776454136556,0.0053504253160057,0.0035272200976498996,0.3973148209123477
4.0,0.0122807652586385,0.0082214370008468,0.0040593282577917,0.33054359173067815
