noise_source,multiplier,varied_strength_s^-1,nbar,F_avg,infidelity,nominal_infidelity,delta_infidelity_vs_nominal
motional_dephasing,0.0,0.0,0.01,0.9985357870584786,0.0014642129415214367,0.00194650153000675,-0.0004822885884853134
motional_dephasing,0.0,0.0,1.0,0.997491529244941,0.002508470755059,0.003644327381719714,-0.001135856626660714
motional_dephasing,0.0,0.0,2.0,0.995777203401451,0.004222796598548961,0.005980710911885234,-0.001757914313336273
motional_dephasing,0.0,0.0,3.0,0.9934629917068598,0.00653700829314019,0.008877645413655655,-0.0023406371205154652
motional_dephasing,0.0,0.0,4.0,0.9906028022221666,0.009397197777833433,0.012280765258638526,-0.0028835674808050937
motional_dephasing,0.5,9.0,0.01,0.9982944565299885,0.0017055434700115057,0.00194650153000675,-0.00024095805999524433
motional_dephasing,0.5,9.0,1.0,0.9969225708241964,0.003077429175803559,0.003644327381719714,-0.0005668982059161554
motional_dephasing,0.5,9.0,2.0,0.9948957798164134,0.005104220183586583,0.005980710911885234,-0.0008764907282986512
motional_dephasing,0.5,9.0,3.0,0.992288328527762,0.0077116714722379465,0.008877645413655655,-0.0011659739414177084
motional_dephasing,0.5,9.0,4.0,0.9891543822200728,0.010845617779927208,0.012280765258638526,-0.0014351474787113183
motional_dephasing,1.0,18.0,0.01,0.9980534984699932,0.00194650153000675,0.00194650153000675,0.0
motional_dephasing,1.0,18.0,1.0,0.9963556726182803,0.003644327381719714,0.003644327381719714,0.0
motional_dephasing,1.0,18.0,2.0,0.9940192890881148,0.005980710911885234,0.005980710911885234,0.0
motional_dephasing,1.0,18.0,3.0,0.9911223545863443,0.008877645413655655,0.008877645413655655,0.0
motional_dephasing,1.0,18.0,4.0,0.9877192347413615,0.012280765258638526,0.012280765258638526,0.0
motional_dephasing,2.0,36.0,0.01,0.9975727172251985,0.0024272827748015313,0.00194650153000675,0.00048078124479478124
motional_dephasing,2.0,36.0,1.0,0.9952279010900422,0.004772098909957778,0.003644327381719714,0.001127771528238064
motional_dephasing,2.0,36.0,2.0,0.9922808563194545,0.007719143680545493,0.005980710911885234,0.0017384327686602585
motional_dephasing,2.0,36.0,3.0,0.9888161519604168,0.011183848039583166,0.008877645413655655,0.0023062026259275115
motional_dephasing,2.0,36.0,4.0,0.9848876981014222,0.015112301898577818,0.012280765258638526,0.0028315366399392916
motional_dephasing,4.0,72.0,0.01,0.9966155615941374,0.0033844384058625554,0.00194650153000675,0.0014379368758558053
motional_dephasing,4.0,72.0,1.0,0.9929963811595599,0.007003618840440096,0.003644327381719714,0.0033592914587203815
motional_dephasing,4.0,72.0,2.0,0.9888607882752977,0.011139211724702336,0.005980710911885234,0.005158500812817102
motional_dephasing,4.0,72.0,3.0,0.984303140085171,0.015696859914829053,0.008877645413655655,0.0068192145011733984
motional_dephasing,4.0,72.0,4.0,0.9793737701040742,0.020626229895925774,0.012280765258638526,0.008345464637287248
motional_heating,0.0,0.0,0.01,0.9984427695085113,0.0015572304914887036,0.00194650153000675,-0.00038927103851804645
motional_heating,0.0,0.0,1.0,0.9967363619865788,0.0032636380134212217,0.003644327381719714,-0.0003806893682984924
motional_heating,0.0,0.0,2.0,0.9943914460166174,0.005608553983382558,0.005980710911885234,-0.000372156928502676
motional_heating,0.0,0.0,3.0,0.991485993454399,0.008514006545600972,0.008877645413655655,-0.00036363886805468315
motional_heating,0.0,0.0,4.0,0.988074509552925,0.011925490447075027,0.012280765258638526,-0.0003552748115634996
motional_heating,0.5,5.0,0.01,0.9982480575311744,0.0017519424688255958,0.00194650153000675,-0.0001945590611811543
motional_heating,0.5,5.0,1.0,0.9965459310884552,0.003454068911544761,0.003644327381719714,-0.00019025847017495323
motional_heating,0.5,5.0,2.0,0.9942053170946586,0.005794682905341353,0.005980710911885234,-0.0001860280065438813
motional_heating,0.5,5.0,3.0,0.9913041190519465,0.008695880948053514,0.008877645413655655,-0.0001817644656021411
motional_heating,0.5,5.0,4.0,0.9878968288875992,0.012103171112400779,0.012280765258638526,-0.00017759414623774727
motional_heating,1.0,10.0,0.01,0.9980534984699932,0.00194650153000675,0.00194650153000675,0.0
motional_heating,1.0,10.0,1.0,0.9963556726182803,0.003644327381719714,0.003644327381719714,0.0
motional_heating,1.0,10.0,2.0,0.9940192890881148,0.005980710911885234,0.005980710911885234,0.0
motional_heating,1.0,10.0,3.0,0.9911223545863443,0.008877645413655655,0.008877645413655655,0.0
motional_heating,1.0,10.0,4.0,0.9877192347413615,0.012280765258638526,0.012280765258638526,0.0
motional_heating,2.0,20.0,0.01,0.997664751359921,0.0023352486400789463,0.00194650153000675,0.0003887471100721962
motional_heating,2.0,20.0,1.0,0.9959753878644027,0.00402461213559735,0.003644327381719714,0.0003802847538776355
motional_heating,2.0,20.0,2.0,0.993647574539364,0.006352425460635969,0.005980710911885234,0.0003717145487507345
motional_heating,2.0,20.0,3.0,0.9907591572256418,0.009240842774358216,0.008877645413655655,0.0003631973607025607
motional_heating,2.0,20.0,4.0,0.9873643874516743,0.012635612548325681,0.012280765258638526,0.0003548472896871546
motional_heating,4.0,40.0,0.01,0.9968886578938492,0.0031113421061508273,0.00194650153000675,0.0011648405761440772
motional_heating,4.0,40.0,1.0,0.9952163194360143,0.004783680563985704,0.003644327381719714,0.0011393531822659897
motional_heating,4.0,40.0,2.0,0.9929054959242896,0.007094504075710439,0.005980710911885234,0.0011137931638252052
motional_heating,4.0,40.0,3.0,0.9900340133346471,0.009965986665352866,0.008877645413655655,0.0010883412516972113
motional_heating,4.0,40.0,4.0,0.986655896836894,0.01334410316310597,0.012280765258638526,0.001063337904467443
photon_scattering,0.0,0.0,0.01,0.9986122467799987,0.0013877532200012865,0.00194650153000675,-0.0005587483100054635
photon_scattering,0.0,0.0,1.0,0.9969131635967123,0.0030868364032876627,0.003644327381719714,-0.0005574909784320514
photon_scattering,0.0,0.0,2.0,0.9945751591763183,0.005424840823681665,0.005980710911885234,-0.0005558700882035694
photon_scattering,0.0,0.0,3.0,0.9916761954517919,0.008323804548208136,0.008877645413655655,-0.0005538408654475191
photon_scattering,0.0,0.0,4.0,0.9882706636983201,0.011729336301679938,0.012280765258638526,-0.0005514289569585884
photon_scattering,0.5,2.0,0.01,0.9983328124293329,0.0016671875706670836,0.00194650153000675,-0.0002793139593396665
photon_scattering,0.5,2.0,1.0,0.9966343827983518,0.0033656172016481856,0.003644327381719714,-0.0002787101800715286
photon_scattering,0.5,2.0,2.0,0.9942971685060293,0.0057028314939706615,0.005980710911885234,-0.0002778794179145727
photon_scattering,0.5,2.0,3.0,0.99139924053074,0.008600759469259978,0.008877645413655655,-0.00027688594439567726
photon_scattering,0.5,2.0,4.0,0.9879948960005243,0.012005103999475741,0.012280765258638526,-0.00027566125916278494
photon_scattering,1.0,4.0,0.01,0.9980534984699932,0.00194650153000675,0.00194650153000675,0.0
photon_scattering,1.0,4.0,1.0,0.9963556726182803,0.003644327381719714,0.003644327381719714,0.0
