run_signature,pulse_type,noise_case,scattering_model,nbar,pauli,probability
9cdd438a851e2b3af67dbc694074f21f7f28c10061c1b7627c0c23618aec172c,standard,spin_dephasing_only,constant_rate,2.0,XX,0.0032453943560195155
9cdd438a851e2b3af67dbc694074f21f7f28c10061c1b7627c0c23618aec172c,standard,spin_dephasing_only,constant_rate,2.0,XY,4.9552570500183135e-05
9cdd438a851e2b3af67dbc694074f21f7f28c10061c1b7627c0c23618aec172c,standard,spin_dephasing_only,constant_rate,2.0,XZ,3.3769936300226046e-05
9cdd438a851e2b3af67dbc694074f21f7f28c10061c1b7627c0c23618aec172c,standard,spin_dephasing_only,constant_rate,2.0,YI,3.37688457404937e-05
9cdd438a851e2b3af67dbc694074f21f7f28c10061c1b7627c0c23618aec172c,standard,spin_dephasing_only,constant_rate,2.0,YX,4.955007224551164e-05
9cdd438a851e2b3af67dbc694074f21f7f28c10061c1b7627c0c23618aec172c,standard,spin_dephasing_only,constant_rate,2.0,YY,1.2880519786179212e-08
9cdd438a851e2b3af67dbc694074f21f7f28c10061c1b7627c0c23618aec172c,standard,spin_dephasing_only,constant_rate,2.0,YZ,1.2757972038447373e-08
9cdd438a851e2b3af67dbc694074f21f7f28c10061c1b7627c0c23618aec172c,standard,spin_dephasing_only,constant_rate,2.0,ZI,4.9534423050126564e-05
9cdd438a851e2b3af67dbc694074f21f7f28c10061c1b7627c0c23618aec172c,standard,spin_dephasing_only,constant_rate,2.0,ZX,3.375778241879594e-05
9cdd438a851e2b3af67dbc694074f21f7f28c10061c1b7627c0c23618aec172c,standard,spin_dephasing_only,constant_rate,2.0,ZY,-8.952509820269068e-11
9cdd438a851e2b3af67dbc694074f21f7f28c10061c1b7627c0c23618aec172c,standard,spin_dephasing_only,constant_rate,2.0,ZZ,2.219554262605783e-09
9cdd438a851e2b3af67dbc694074f21f7f28c10061c1b7627c0c23618aec172c,standard,spin_dephasing_only,constant_rate,3.0,IX,0.000355567077834844
9cdd438a851e2b3af67dbc694074f21f7f28c10061c1b7627c0c23618aec172c,standard,spin_dephasing_only,constant_rate,3.0,IY,3.499440506855888e-05
9cdd438a851e2b3af67dbc694074f21f7f28c10061c1b7627c0c23618aec172c,standard,spin_dephasing_only,constant_rate,3.0,IZ,4.8320757739035713e-05
9cdd438a851e2b3af67dbc694074f21f7f28c10061c1b7627c0c23618aec172c,standard,spin_dephasing_only,constant_rate,3.0,XI,0.0003555635904995318
9cdd438a851e2b3af67dbc694074f21f7f28c10061c1b7627c0c23618aec172c,standard,spin_dephasing_only,constant_rate,3.0,XX,0.005974701686457246
