nbar,trace_normalized,raw_chi_trace,D_off_chi,D_II_P_chi,D_P_II_chi,D_IE_chi,D_EE_chi,IE_fraction,EE_fraction
0.01,True,15.999999999999996,0.019405876040570515,0.013711641390237462,0.01371164139023747,0.019391189216470105,0.000754854736384862,0.9984869256711215,0.00151307432887957
1.0,True,16.0,0.040592311444371434,0.028684062691249013,0.028684062691249027,0.040565390481924465,0.0014781215937260258,0.9986740328672447,0.0013259671327546865
2.0,True,15.999999999999998,0.061418945079098244,0.04340263584847897,0.043402635848478976,0.06138059625965966,0.0021700731411509336,0.9987516279462955,0.0012483720537054307
3.0,True,16.000000000000007,0.08160768992094933,0.05767089041899971,0.0576708904189997,0.08155895538468197,0.002819902621237521,0.9988059952523433,0.0011940047476554244
4.0,True,16.0,0.10110587710576367,0.07145142553224168,0.07145142553224167,0.10104757503858741,0.0034330692021624534,0.998847045115777,0.0011529548842231633
