pair_id,source_i,source_j,varied_source,fixed_source,varied_multiplier,varied_strength_s^-1,fixed_multiplier,fixed_strength_s^-1,condition_id,varied_single_condition_id,fixed_single_condition_id,zero_condition_id,nbar,pair_infidelity,varied_only_infidelity,fixed_only_infidelity,zero_infidelity,additive_prediction,interaction_infidelity,pair_noise_penalty,relative_interaction_to_pair_noise
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,motional_dephasing,photon_scattering,1.0,18.0,1.0,4.0,rates_1956bc5693502c6b,rates_65e4c1ad12cf1435,rates_660d67d330352843,rates_7283b228c09abbcb,3.0,0.008250161598049033,0.007695838986599868,0.005906435989762593,0.0053504253160057,0.008251849660356761,-1.688062307728111e-06,0.002899736282043333,-0.0005821433894459527
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,motional_dephasing,photon_scattering,1.0,18.0,1.0,4.0,rates_1956bc5693502c6b,rates_65e4c1ad12cf1435,rates_660d67d330352843,rates_7283b228c09abbcb,4.0,0.011662766184938222,0.011110896620583288,0.008775455665467446,0.0082214370008468,0.011664915285203935,-2.1491002657123004e-06,0.0034413291840914226,-0.0006244971494291106
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,motional_dephasing,photon_scattering,2.0,36.0,1.0,4.0,rates_53af069691f7b638,rates_7f1e3dd0f07550fa,rates_660d67d330352843,rates_7283b228c09abbcb,0.01,0.0017723557690676461,0.0012134626861624032,0.0008083429031502387,0.0002487641440845,0.0017730414452281418,-6.856761604957014e-07,0.001523591624983146,-0.0004500393341971057
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,motional_dephasing,photon_scattering,2.0,36.0,1.0,4.0,rates_53af069691f7b638,rates_7f1e3dd0f07550fa,rates_660d67d330352843,rates_7283b228c09abbcb,1.0,0.004127234769576327,0.003570025772967278,0.0018607331791671289,0.0013018788028587,0.004128880149275707,-1.6453796993802158e-06,0.002825355966717627,-0.00058236191076898
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,motional_dephasing,photon_scattering,2.0,36.0,1.0,4.0,rates_53af069691f7b638,rates_7f1e3dd0f07550fa,rates_660d67d330352843,rates_7283b228c09abbcb,2.0,0.007084465183287092,0.006529373669582839,0.003583542645914095,0.0030258929745734,0.007087023340923534,-2.5581576364418213e-06,0.004058572208713692,-0.000630309750544661
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,motional_dephasing,photon_scattering,2.0,36.0,1.0,4.0,rates_53af069691f7b638,rates_7f1e3dd0f07550fa,rates_660d67d330352843,rates_7283b228c09abbcb,3.0,0.010559402910801041,0.010006773416273207,0.005906435989762593,0.0053504253160057,0.0105627840900301,-3.381179229058895e-06,0.0052089775947953415,-0.0006491061187203551
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,motional_dephasing,photon_scattering,2.0,36.0,1.0,4.0,rates_53af069691f7b638,rates_7f1e3dd0f07550fa,rates_660d67d330352843,rates_7283b228c09abbcb,4.0,0.014497996924203393,0.013948140781947727,0.008775455665467446,0.0082214370008468,0.014502159446568373,-4.1625223649796594e-06,0.006276559923356594,-0.0006631853142180495
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,motional_dephasing,photon_scattering,4.0,72.0,1.0,4.0,rates_7d4c45df6c6c0625,rates_e627b957213b2032,rates_660d67d330352843,rates_7283b228c09abbcb,0.01,0.002730468061827196,0.0021722770595740126,0.0008083429031502387,0.0002487641440845,0.0027318558186397515,-1.3877568125555961e-06,0.002481703917742696,-0.0005591951572602866
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,motional_dephasing,photon_scattering,4.0,72.0,1.0,4.0,rates_7d4c45df6c6c0625,rates_e627b957213b2032,rates_660d67d330352843,rates_7283b228c09abbcb,1.0,0.006361589216711705,0.005805982307085733,0.0018607331791671289,0.0013018788028587,0.006364836683394162,-3.2474666824570605e-06,0.005059710413853005,-0.0006418285666242491
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,motional_dephasing,photon_scattering,4.0,72.0,1.0,4.0,rates_7d4c45df6c6c0625,rates_e627b957213b2032,rates_660d67d330352843,rates_7283b228c09abbcb,2.0,0.010509015648853426,0.009956403138607017,0.003583542645914095,0.0030258929745734,0.010514052809947712,-5.0371610942866185e-06,0.007483122674280026,-0.0006731362445252522
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,motional_dephasing,photon_scattering,4.0,72.0,1.0,4.0,rates_7d4c45df6c6c0625,rates_e627b957213b2032,rates_660d67d330352843,rates_7283b228c09abbcb,3.0,0.015078353617093532,0.014528978792705538,0.005906435989762593,0.0053504253160057,0.015084989466462431,-6.6358493688994935e-06,0.009727928301087832,-0.0006821441486320819
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,motional_dephasing,photon_scattering,4.0,72.0,1.0,4.0,rates_7d4c45df6c6c0625,rates_e627b957213b2032,rates_660d67d330352843,rates_7283b228c09abbcb,4.0,0.020019176411918194,0.019473294914213235,0.008775455665467446,0.0082214370008468,0.02002731357883388,-8.137166915687943e-06,0.011797739411071394,-0.0006897225504109503
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,photon_scattering,motional_dephasing,0.0,0.0,1.0,18.0,rates_65e4c1ad12cf1435,rates_7283b228c09abbcb,rates_65e4c1ad12cf1435,rates_7283b228c09abbcb,0.01,0.0007318486089153975,0.0002487641440845,0.0007318486089153975,0.0002487641440845,0.0007318486089153975,0.0,0.0004830844648308975,0.0
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,photon_scattering,motional_dephasing,0.0,0.0,1.0,18.0,rates_65e4c1ad12cf1435,rates_7283b228c09abbcb,rates_65e4c1ad12cf1435,rates_7283b228c09abbcb,1.0,0.002440037037965803,0.0013018788028587,0.002440037037965803,0.0013018788028587,0.002440037037965803,0.0,0.0011381582351071033,0.0
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,photon_scattering,motional_dephasing,0.0,0.0,1.0,18.0,rates_65e4c1ad12cf1435,rates_7283b228c09abbcb,rates_65e4c1ad12cf1435,rates_7283b228c09abbcb,2.0,0.0047873986741631125,0.0030258929745734,0.0047873986741631125,0.0030258929745734,0.0047873986741631125,0.0,0.0017615056995897126,0.0
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,photon_scattering,motional_dephasing,0.0,0.0,1.0,18.0,rates_65e4c1ad12cf1435,rates_7283b228c09abbcb,rates_65e4c1ad12cf1435,rates_7283b228c09abbcb,3.0,0.007695838986599868,0.0053504253160057,0.007695838986599868,0.0053504253160057,0.007695838986599868,0.0,0.002345413670594168,0.0
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,photon_scattering,motional_dephasing,0.0,0.0,1.0,18.0,rates_65e4c1ad12cf1435,rates_7283b228c09abbcb,rates_65e4c1ad12cf1435,rates_7283b228c09abbcb,4.0,0.011110896620583288,0.0082214370008468,0.011110896620583288,0.0082214370008468,0.011110896620583288,0.0,0.0028894596197364883,0.0
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,photon_scattering,motional_dephasing,0.5,2.0,1.0,18.0,rates_5a034204f6fe4b1a,rates_cba05db5d91a70e1,rates_65e4c1ad12cf1435,rates_7283b228c09abbcb,0.01,0.0010115555207932392,0.0005286263298017735,0.0007318486089153975,0.0002487641440845,0.001011710794632671,-1.5527383943176286e-07,0.0007627913767087391,-0.0002035600351196051
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,photon_scattering,motional_dephasing,0.5,2.0,1.0,18.0,rates_5a034204f6fe4b1a,rates_cba05db5d91a70e1,rates_65e4c1ad12cf1435,rates_7283b228c09abbcb,1.0,0.0027191168440279245,0.0015813673514564197,0.002440037037965803,0.0013018788028587,0.002719525586563523,-4.08742535598465e-07,0.0014172380411692246,-0.0002884078212162944
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,photon_scattering,motional_dephasing,0.5,2.0,1.0,18.0,rates_5a034204f6fe4b1a,rates_cba05db5d91a70e1,rates_65e4c1ad12cf1435,rates_7283b228c09abbcb,2.0,0.005065636697074161,0.0033047811572902708,0.0047873986741631125,0.0030258929745734,0.005066286856879983,-6.501598058226976e-07,0.0020397437225007607,-0.0003187458300033842
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,photon_scattering,motional_dephasing,0.5,2.0,1.0,18.0,rates_5a034204f6fe4b1a,rates_cba05db5d91a70e1,rates_65e4c1ad12cf1435,rates_7283b228c09abbcb,3.0,0.007973040325967795,0.005628473139051571,0.007695838986599868,0.0053504253160057,0.007973886809645739,-8.464836779437102e-07,0.0026226150099620954,-0.00032276322476929026
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,photon_scattering,motional_dephasing,0.5,2.0,1.0,18.0,rates_5a034204f6fe4b1a,rates_cba05db5d91a70e1,rates_65e4c1ad12cf1435,rates_7283b228c09abbcb,4.0,0.011386909742858053,0.008498517210057344,0.011110896620583288,0.0082214370008468,0.011387976829793832,-1.0670869357784496e-06,0.0031654727420112536,-0.0003371019189697562
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,photon_scattering,motional_dephasing,1.0,4.0,1.0,18.0,rates_1956bc5693502c6b,rates_660d67d330352843,rates_65e4c1ad12cf1435,rates_7283b228c09abbcb,0.01,0.0012911060060766255,0.0008083429031502387,0.0007318486089153975,0.0002487641440845,0.0012914273679811362,-3.2136190451065826e-07,0.0010423418619921255,-0.0003083075872022168
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,photon_scattering,motional_dephasing,1.0,4.0,1.0,18.0,rates_1956bc5693502c6b,rates_660d67d330352843,rates_65e4c1ad12cf1435,rates_7283b228c09abbcb,1.0,0.0029980500009620936,0.0018607331791671289,0.002440037037965803,0.0013018788028587,0.002998891414274232,-8.414133121385434e-07,0.0016961711981033937,-0.0004960662656454642
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,photon_scattering,motional_dephasing,1.0,4.0,1.0,18.0,rates_1956bc5693502c6b,rates_660d67d330352843,rates_65e4c1ad12cf1435,rates_7283b228c09abbcb,2.0,0.005343763972258886,0.003583542645914095,0.0047873986741631125,0.0030258929745734,0.005345048345503808,-1.2843732449217826e-06,0.002317870997685486,-0.0005541176563338925
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,photon_scattering,motional_dephasing,1.0,4.0,1.0,18.0,rates_1956bc5693502c6b,rates_660d67d330352843,rates_65e4c1ad12cf1435,rates_7283b228c09abbcb,3.0,0.008250161598049033,0.005906435989762593,0.007695838986599868,0.0053504253160057,0.008251849660356761,-1.688062307728111e-06,0.002899736282043333,-0.0005821433894459527
