condition_id,nbar,F_avg,infidelity,motional_heating_s^-1,motional_dephasing_s^-1,spin_dephasing_s^-1,photon_scattering_s^-1,is_all_noise_zero
rates_6a8c834ff6e2e567,4.0,0.9802665160826294,0.01973348391737062,0.0,72.0,3.3333333333333335,0.0,False
rates_6c688fb66a893df8,0.01,0.9991349367008375,0.0008650632991624718,0.0,18.0,1.6666666666666667,0.0,False
rates_6c688fb66a893df8,1.0,0.9974270556371196,0.0025729443628803583,0.0,18.0,1.6666666666666667,0.0,False
rates_6c688fb66a893df8,2.0,0.9950800819260259,0.004919918073974072,0.0,18.0,1.6666666666666667,0.0,False
rates_6c688fb66a893df8,3.0,0.9921721184437609,0.007827881556239147,0.0,18.0,1.6666666666666667,0.0,False
rates_6c688fb66a893df8,4.0,0.98875764668893,0.011242353311070041,0.0,18.0,1.6666666666666667,0.0,False
rates_6d2ebea4f1e4f35a,0.01,0.9991196695921015,0.0008803304078984775,10.0,9.0,0.0,0.0,False
rates_6d2ebea4f1e4f35a,1.0,0.9977463667878432,0.0022536332121567693,10.0,9.0,0.0,0.0,False
rates_6d2ebea4f1e4f35a,2.0,0.9957174599605499,0.004282540039450056,10.0,9.0,0.0,0.0,False
rates_6d2ebea4f1e4f35a,3.0,0.9931073159631854,0.006892684036814645,10.0,9.0,0.0,0.0,False
rates_6d2ebea4f1e4f35a,4.0,0.9899701539550364,0.010029846044963597,10.0,9.0,0.0,0.0,False
rates_6f4d35c55359373b,0.01,0.9981501196552355,0.0018498803447645207,0.0,18.0,0.0,8.0,False
rates_6f4d35c55359373b,1.0,0.9964443742988236,0.0035556257011764014,0.0,18.0,0.0,8.0,False
rates_6f4d35c55359373b,2.0,0.9941003197229623,0.005899680277037689,0.0,18.0,0.0,8.0,False
rates_6f4d35c55359373b,3.0,0.9911959578558449,0.008804042144155089,0.0,18.0,0.0,8.0,False
rates_6f4d35c55359373b,4.0,0.9877857413498606,0.012214258650139365,0.0,18.0,0.0,8.0,False
rates_70251d48c79bc447,0.01,0.9995094909961214,0.000490509003878592,0.0,9.0,0.0,0.0,False
rates_70251d48c79bc447,1.0,0.998128025993462,0.0018719740065380464,0.0,9.0,0.0,0.0,False
rates_70251d48c79bc447,2.0,0.9960908837477913,0.003909116252208689,0.0,9.0,0.0,0.0,False
rates_70251d48c79bc447,3.0,0.9934725028927254,0.006527497107274627,0.0,9.0,0.0,0.0,False
rates_70251d48c79bc447,4.0,0.9903271976598063,0.009672802340193742,0.0,9.0,0.0,0.0,False
rates_7283b228c09abbcb,0.01,0.9997512358559154,0.0002487641440845,0.0,0.0,0.0,0.0,True
rates_7283b228c09abbcb,1.0,0.9986981211971412,0.0013018788028587,0.0,0.0,0.0,0.0,True
rates_7283b228c09abbcb,2.0,0.9969741070254264,0.0030258929745734,0.0,0.0,0.0,0.0,True
rates_7283b228c09abbcb,3.0,0.9946495746839944,0.0053504253160057,0.0,0.0,0.0,0.0,True
rates_7283b228c09abbcb,4.0,0.9917785629991532,0.0082214370008468,0.0,0.0,0.0,0.0,True
rates_734e958b365fba1a,0.01,0.9984127202367393,0.0015872797632606739,20.0,0.0,0.0,4.0,False
rates_734e958b365fba1a,1.0,0.997375952428628,0.0026240475713720235,20.0,0.0,0.0,4.0,False
rates_734e958b365fba1a,2.0,0.9956688829590495,0.004331117040950461,20.0,0.0,0.0,4.0,False
rates_734e958b365fba1a,3.0,0.9933619013818091,0.0066380986181908685,20.0,0.0,0.0,4.0,False
rates_734e958b365fba1a,4.0,0.9905085199237522,0.009491480076247782,20.0,0.0,0.0,4.0,False
rates_737a9e85290e171b,0.01,0.9988285554074462,0.0011714445925538053,10.0,0.0,6.666666666666667,0.0,False
rates_737a9e85290e171b,1.0,0.9977839643051309,0.0022160356948690563,10.0,0.0,6.666666666666667,0.0,False
rates_737a9e85290e171b,2.0,0.9960689755549218,0.003931024445078202,10.0,0.0,6.666666666666667,0.0,False
rates_737a9e85290e171b,3.0,0.9937539325455447,0.0062460674544553285,10.0,0.0,6.666666666666667,0.0,False
rates_737a9e85290e171b,4.0,0.9908926382128638,0.009107361787136226,10.0,0.0,6.666666666666667,0.0,False
rates_7d4c45df6c6c0625,0.01,0.9972695319381728,0.002730468061827196,0.0,72.0,0.0,4.0,False
rates_7d4c45df6c6c0625,1.0,0.9936384107832883,0.006361589216711705,0.0,72.0,0.0,4.0,False
rates_7d4c45df6c6c0625,2.0,0.9894909843511466,0.010509015648853426,0.0,72.0,0.0,4.0,False
rates_7d4c45df6c6c0625,3.0,0.9849216463829065,0.015078353617093532,0.0,72.0,0.0,4.0,False
rates_7d4c45df6c6c0625,4.0,0.9799808235880818,0.020019176411918194,0.0,72.0,0.0,4.0,False
rates_7f1e3dd0f07550fa,0.01,0.9987865373138376,0.0012134626861624032,0.0,36.0,0.0,0.0,False
rates_7f1e3dd0f07550fa,1.0,0.9964299742270327,0.003570025772967278,0.0,36.0,0.0,0.0,False
rates_7f1e3dd0f07550fa,2.0,0.9934706263304172,0.006529373669582839,0.0,36.0,0.0,0.0,False
rates_7f1e3dd0f07550fa,3.0,0.9899932265837268,0.010006773416273207,0.0,36.0,0.0,0.0,False
rates_7f1e3dd0f07550fa,4.0,0.9860518592180523,0.013948140781947727,0.0,36.0,0.0,0.0,False
rates_8142d8384202664f,0.01,0.9974390023970369,0.002560997602963133,10.0,72.0,0.0,0.0,False
rates_8142d8384202664f,1.0,0.9938160240549199,0.0061839759450801335,10.0,72.0,0.0,0.0,False
rates_8142d8384202664f,2.0,0.9896761001883441,0.010323899811655934,10.0,72.0,0.0,0.0,False
rates_8142d8384202664f,3.0,0.9851137097823972,0.014886290217602793,10.0,72.0,0.0,0.0,False
rates_8142d8384202664f,4.0,0.9801791774364599,0.01982082256354012,10.0,72.0,0.0,0.0,False
rates_87cf81c0f802ee14,0.01,0.9994846957848967,0.0005153042151032627,0.0,0.0,3.3333333333333335,0.0,False
rates_87cf81c0f802ee14,1.0,0.9984319255561083,0.0015680744438917316,0.0,0.0,3.3333333333333335,0.0,False
rates_87cf81c0f802ee14,2.0,0.9967084992932431,0.003291500706756878,0.0,0.0,3.3333333333333335,0.0,False
rates_87cf81c0f802ee14,3.0,0.9943847545916513,0.005615245408348679,0.0,0.0,3.3333333333333335,0.0,False
rates_87cf81c0f802ee14,4.0,0.9915146818681109,0.00848531813188913,0.0,0.0,3.3333333333333335,0.0,False
rates_935232b07d52685d,0.01,0.999073228791015,0.0009267712089849889,5.0,18.0,0.0,0.0,False
rates_935232b07d52685d,1.0,0.9973693483754044,0.002630651624595637,5.0,18.0,0.0,0.0,False
rates_935232b07d52685d,2.0,0.9950262693562759,0.004973730643724084,5.0,18.0,0.0,0.0,False
rates_935232b07d52685d,3.0,0.992122067292432,0.00787793270756798,5.0,18.0,0.0,0.0,False
rates_935232b07d52685d,4.0,0.9887112258037721,0.011288774196227869,5.0,18.0,0.0,0.0,False
rates_9411963805d3030e,0.01,0.9982963249425975,0.0017036750574025428,10.0,0.0,13.333333333333334,0.0,False
rates_9411963805d3030e,1.0,0.9972523979623411,0.0027476020376588917,10.0,0.0,13.333333333333334,0.0,False
rates_9411963805d3030e,2.0,0.9955385392800448,0.004461460719955235,10.0,0.0,13.333333333333334,0.0,False
rates_9411963805d3030e,3.0,0.9932250556813369,0.006774944318663101,10.0,0.0,13.333333333333334,0.0,False
rates_9411963805d3030e,4.0,0.9903657080512712,0.00963429194872878,10.0,0.0,13.333333333333334,0.0,False
rates_95304e3098130ea3,0.01,0.9989717483760063,0.00102825162399367,20.0,0.0,0.0,0.0,False
rates_95304e3098130ea3,1.0,0.9979342195129828,0.0020657804870172214,20.0,0.0,0.0,0.0,False
rates_95304e3098130ea3,2.0,0.9962259667249416,0.0037740332750584304,20.0,0.0,0.0,0.0,False
rates_95304e3098130ea3,3.0,0.9939173452341867,0.006082654765813267,20.0,0.0,0.0,0.0,False
