pair_id,source_i,source_j,varied_source,fixed_source,varied_multiplier,varied_strength_s^-1,fixed_multiplier,fixed_strength_s^-1,condition_id,varied_single_condition_id,fixed_single_condition_id,zero_condition_id
motional_heating__photon_scattering,motional_heating,photon_scattering,photon_scattering,motional_heating,0.5,2.0,1.0,10.0,rates_0ddd426d8d9d7e11,rates_cba05db5d91a70e1,rates_a8953962d6e58e19,rates_7283b228c09abbcb
motional_heating__photon_scattering,motional_heating,photon_scattering,photon_scattering,motional_heating,1.0,4.0,1.0,10.0,rates_c7ff262f79a0349b,rates_660d67d330352843,rates_a8953962d6e58e19,rates_7283b228c09abbcb
motional_heating__photon_scattering,motional_heating,photon_scattering,photon_scattering,motional_heating,2.0,8.0,1.0,10.0,rates_a2a634c42104bf42,rates_a6b00ad014b8547a,rates_a8953962d6e58e19,rates_7283b228c09abbcb
motional_heating__photon_scattering,motional_heating,photon_scattering,photon_scattering,motional_heating,4.0,16.0,1.0,10.0,rates_df1e41669f921008,rates_57b91a072f7de420,rates_a8953962d6e58e19,rates_7283b228c09abbcb
motional_dephasing__spin_dephasing,motional_dephasing,spin_dephasing,motional_dephasing,spin_dephasing,0.0,0.0,1.0,3.3333333333333335,rates_87cf81c0f802ee14,rates_7283b228c09abbcb,rates_87cf81c0f802ee14,rates_7283b228c09abbcb
motional_dephasing__spin_dephasing,motional_dephasing,spin_dephasing,motional_dephasing,spin_dephasing,0.5,9.0,1.0,3.3333333333333335,rates_f178564d2b994859,rates_70251d48c79bc447,rates_87cf81c0f802ee14,rates_7283b228c09abbcb
motional_dephasing__spin_dephasing,motional_dephasing,spin_dephasing,motional_dephasing,spin_dephasing,1.0,18.0,1.0,3.3333333333333335,rates_c78d3b44752e1de2,rates_65e4c1ad12cf1435,rates_87cf81c0f802ee14,rates_7283b228c09abbcb
motional_dephasing__spin_dephasing,motional_dephasing,spin_dephasing,motional_dephasing,spin_dephasing,2.0,36.0,1.0,3.3333333333333335,rates_360eade92eac1e2f,rates_7f1e3dd0f07550fa,rates_87cf81c0f802ee14,rates_7283b228c09abbcb
motional_dephasing__spin_dephasing,motional_dephasing,spin_dephasing,motional_dephasing,spin_dephasing,4.0,72.0,1.0,3.3333333333333335,rates_6a8c834ff6e2e567,rates_e627b957213b2032,rates_87cf81c0f802ee14,rates_7283b228c09abbcb
motional_dephasing__spin_dephasing,motional_dephasing,spin_dephasing,spin_dephasing,motional_dephasing,0.0,0.0,1.0,18.0,rates_65e4c1ad12cf1435,rates_7283b228c09abbcb,rates_65e4c1ad12cf1435,rates_7283b228c09abbcb
motional_dephasing__spin_dephasing,motional_dephasing,spin_dephasing,spin_dephasing,motional_dephasing,0.5,1.6666666666666667,1.0,18.0,rates_6c688fb66a893df8,rates_a6ce76b38e46ff5e,rates_65e4c1ad12cf1435,rates_7283b228c09abbcb
motional_dephasing__spin_dephasing,motional_dephasing,spin_dephasing,spin_dephasing,motional_dephasing,1.0,3.3333333333333335,1.0,18.0,rates_c78d3b44752e1de2,rates_87cf81c0f802ee14,rates_65e4c1ad12cf1435,rates_7283b228c09abbcb
motional_dephasing__spin_dephasing,motional_dephasing,spin_dephasing,spin_dephasing,motional_dephasing,2.0,6.666666666666667,1.0,18.0,rates_405ddd5e4fdb9f22,rates_b641ff121079f20c,rates_65e4c1ad12cf1435,rates_7283b228c09abbcb
motional_dephasing__spin_dephasing,motional_dephasing,spin_dephasing,spin_dephasing,motional_dephasing,4.0,13.333333333333334,1.0,18.0,rates_e3c1dfd931a34ad1,rates_14c3539000a4de2d,rates_65e4c1ad12cf1435,rates_7283b228c09abbcb
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,motional_dephasing,photon_scattering,0.0,0.0,1.0,4.0,rates_660d67d330352843,rates_7283b228c09abbcb,rates_660d67d330352843,rates_7283b228c09abbcb
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,motional_dephasing,photon_scattering,0.5,9.0,1.0,4.0,rates_dc58ae7c10144f92,rates_70251d48c79bc447,rates_660d67d330352843,rates_7283b228c09abbcb
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,motional_dephasing,photon_scattering,1.0,18.0,1.0,4.0,rates_1956bc5693502c6b,rates_65e4c1ad12cf1435,rates_660d67d330352843,rates_7283b228c09abbcb
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,motional_dephasing,photon_scattering,2.0,36.0,1.0,4.0,rates_53af069691f7b638,rates_7f1e3dd0f07550fa,rates_660d67d330352843,rates_7283b228c09abbcb
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,motional_dephasing,photon_scattering,4.0,72.0,1.0,4.0,rates_7d4c45df6c6c0625,rates_e627b957213b2032,rates_660d67d330352843,rates_7283b228c09abbcb
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,photon_scattering,motional_dephasing,0.0,0.0,1.0,18.0,rates_65e4c1ad12cf1435,rates_7283b228c09abbcb,rates_65e4c1ad12cf1435,rates_7283b228c09abbcb
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,photon_scattering,motional_dephasing,0.5,2.0,1.0,18.0,rates_5a034204f6fe4b1a,rates_cba05db5d91a70e1,rates_65e4c1ad12cf1435,rates_7283b228c09abbcb
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,photon_scattering,motional_dephasing,1.0,4.0,1.0,18.0,rates_1956bc5693502c6b,rates_660d67d330352843,rates_65e4c1ad12cf1435,rates_7283b228c09abbcb
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,photon_scattering,motional_dephasing,2.0,8.0,1.0,18.0,rates_6f4d35c55359373b,rates_a6b00ad014b8547a,rates_65e4c1ad12cf1435,rates_7283b228c09abbcb
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,photon_scattering,motional_dephasing,4.0,16.0,1.0,18.0,rates_de7c92c5d91f74df,rates_57b91a072f7de420,rates_65e4c1ad12cf1435,rates_7283b228c09abbcb
spin_dephasing__photon_scattering,spin_dephasing,photon_scattering,spin_dephasing,photon_scattering,0.0,0.0,1.0,4.0,rates_660d67d330352843,rates_7283b228c09abbcb,rates_660d67d330352843,rates_7283b228c09abbcb
spin_dephasing__photon_scattering,spin_dephasing,photon_scattering,spin_dephasing,photon_scattering,0.5,1.6666666666666667,1.0,4.0,rates_b2f8899f35c84854,rates_a6ce76b38e46ff5e,rates_660d67d330352843,rates_7283b228c09abbcb
spin_dephasing__photon_scattering,spin_dephasing,photon_scattering,spin_dephasing,photon_scattering,1.0,3.3333333333333335,1.0,4.0,rates_c6c2edc9437efa76,rates_87cf81c0f802ee14,rates_660d67d330352843,rates_7283b228c09abbcb
spin_dephasing__photon_scattering,spin_dephasing,photon_scattering,spin_dephasing,photon_scattering,2.0,6.666666666666667,1.0,4.0,rates_b105ec6b15e0fd0e,rates_b641ff121079f20c,rates_660d67d330352843,rates_7283b228c09abbcb
spin_dephasing__photon_scattering,spin_dephasing,photon_scattering,spin_dephasing,photon_scattering,4.0,13.333333333333334,1.0,4.0,rates_25f65c81072ccd16,rates_14c3539000a4de2d,rates_660d67d330352843,rates_7283b228c09abbcb
spin_dephasing__photon_scattering,spin_dephasing,photon_scattering,photon_scattering,spin_dephasing,0.0,0.0,1.0,3.3333333333333335,rates_87cf81c0f802ee14,rates_7283b228c09abbcb,rates_87cf81c0f802ee14,rates_7283b228c09abbcb
spin_dephasing__photon_scattering,spin_dephasing,photon_scattering,photon_scattering,spin_dephasing,0.5,2.0,1.0,3.3333333333333335,rates_63ff4977174f181f,rates_cba05db5d91a70e1,rates_87cf81c0f802ee14,rates_7283b228c09abbcb
spin_dephasing__photon_scattering,spin_dephasing,photon_scattering,photon_scattering,spin_dephasing,1.0,4.0,1.0,3.3333333333333335,rates_c6c2edc9437efa76,rates_660d67d330352843,rates_87cf81c0f802ee14,rates_7283b228c09abbcb
spin_dephasing__photon_scattering,spin_dephasing,photon_scattering,photon_scattering,spin_dephasing,2.0,8.0,1.0,3.3333333333333335,rates_4771f69755fa05c2,rates_a6b00ad014b8547a,rates_87cf81c0f802ee14,rates_7283b228c09abbcb
spin_dephasing__photon_scattering,spin_dephasing,photon_scattering,photon_scattering,spin_dephasing,4.0,16.0,1.0,3.3333333333333335,rates_fea8b8a55496db85,rates_57b91a072f7de420,rates_87cf81c0f802ee14,rates_7283b228c09abbcb
