condition_id,motional_heating_s^-1,motional_dephasing_s^-1,spin_dephasing_s^-1,photon_scattering_s^-1,is_all_noise_zero
rates_7283b228c09abbcb,0.0,0.0,0.0,0.0,True
rates_0ddd426d8d9d7e11,10.0,0.0,0.0,2.0,False
rates_0e752ad71c6095d9,40.0,0.0,0.0,0.0,False
rates_14c3539000a4de2d,0.0,0.0,13.333333333333334,0.0,False
rates_15e2db7947d1c0fd,40.0,18.0,0.0,0.0,False
rates_16ce2bd9b8d23759,10.0,0.0,3.3333333333333335,0.0,False
rates_1956bc5693502c6b,0.0,18.0,0.0,4.0,False
rates_1a9c026201883970,5.0,0.0,0.0,4.0,False
rates_2524745c632f6db4,10.0,18.0,0.0,0.0,False
rates_25f65c81072ccd16,0.0,0.0,13.333333333333334,4.0,False
rates_360eade92eac1e2f,0.0,36.0,3.3333333333333335,0.0,False
rates_3fa0e6fcd1bc3bb5,20.0,18.0,0.0,0.0,False
rates_405ddd5e4fdb9f22,0.0,18.0,6.666666666666667,0.0,False
rates_4771f69755fa05c2,0.0,0.0,3.3333333333333335,8.0,False
rates_504018cf22914d71,20.0,0.0,3.3333333333333335,0.0,False
rates_53af069691f7b638,0.0,36.0,0.0,4.0,False
rates_57b91a072f7de420,0.0,0.0,0.0,16.0,False
rates_590721c3770d8a77,10.0,36.0,0.0,0.0,False
rates_5a034204f6fe4b1a,0.0,18.0,0.0,2.0,False
rates_5ee16b592439d3eb,40.0,0.0,0.0,4.0,False
rates_62f303442749859c,5.0,0.0,3.3333333333333335,0.0,False
rates_63ff4977174f181f,0.0,0.0,3.3333333333333335,2.0,False
rates_65e4c1ad12cf1435,0.0,18.0,0.0,0.0,False
rates_660d67d330352843,0.0,0.0,0.0,4.0,False
rates_6a8c834ff6e2e567,0.0,72.0,3.3333333333333335,0.0,False
rates_6c688fb66a893df8,0.0,18.0,1.6666666666666667,0.0,False
rates_6d2ebea4f1e4f35a,10.0,9.0,0.0,0.0,False
rates_6f4d35c55359373b,0.0,18.0,0.0,8.0,False
rates_70251d48c79bc447,0.0,9.0,0.0,0.0,False
rates_734e958b365fba1a,20.0,0.0,0.0,4.0,False
rates_737a9e85290e171b,10.0,0.0,6.666666666666667,0.0,False
rates_7d4c45df6c6c0625,0.0,72.0,0.0,4.0,False
rates_7f1e3dd0f07550fa,0.0,36.0,0.0,0.0,False
rates_8142d8384202664f,10.0,72.0,0.0,0.0,False
rates_87cf81c0f802ee14,0.0,0.0,3.3333333333333335,0.0,False
rates_935232b07d52685d,5.0,18.0,0.0,0.0,False
rates_9411963805d3030e,10.0,0.0,13.333333333333334,0.0,False
rates_95304e3098130ea3,20.0,0.0,0.0,0.0,False
rates_a2a634c42104bf42,10.0,0.0,0.0,8.0,False
rates_a6b00ad014b8547a,0.0,0.0,0.0,8.0,False
rates_a6ce76b38e46ff5e,0.0,0.0,1.6666666666666667,0.0,False
rates_a8953962d6e58e19,10.0,0.0,0.0,0.0,False
rates_b105ec6b15e0fd0e,0.0,0.0,6.666666666666667,4.0,False
rates_b2f8899f35c84854,0.0,0.0,1.6666666666666667,4.0,False
rates_b641ff121079f20c,0.0,0.0,6.666666666666667,0.0,False
rates_c359844b45a07d98,10.0,0.0,1.6666666666666667,0.0,False
rates_c6c2edc9437efa76,0.0,0.0,3.3333333333333335,4.0,False
rates_c78d3b44752e1de2,0.0,18.0,3.3333333333333335,0.0,False
rates_c7ff262f79a0349b,10.0,0.0,0.0,4.0,False
rates_cba05db5d91a70e1,0.0,0.0,0.0,2.0,False
rates_cf9789eef004e0c0,40.0,0.0,3.3333333333333335,0.0,False
rates_d40c9e1dbffac54a,5.0,0.0,0.0,0.0,False
rates_dc58ae7c10144f92,0.0,9.0,0.0,4.0,False
rates_de7c92c5d91f74df,0.0,18.0,0.0,16.0,False
rates_df1e41669f921008,10.0,0.0,0.0,16.0,False
rates_e3c1dfd931a34ad1,0.0,18.0,13.333333333333334,0.0,False
rates_e627b957213b2032,0.0,72.0,0.0,0.0,False
rates_f178564d2b994859,0.0,9.0,3.3333333333333335,0.0,False
rates_fea8b8a55496db85,0.0,0.0,3.3333333333333335,16.0,False
