noise_case,nbar,smooth_detuning_noise_only,standard_noise_only,smooth_detuning_none,standard_none,standard_individual_error,smooth_detuning_individual_error,smooth_error_reduction,standard_over_smooth_error
spin_dephasing_only,0.01,0.0006631542420123,0.0005152820756839,6.133084567705449e-05,0.0002487439435251426,0.00026653813215875733,0.0006018233963352455,-0.00033528526417648814,0.4428842975893253
spin_dephasing_only,1.0,0.0014336104230674,0.0015680467937887,0.0008323920451687172,0.0013018777788029734,0.00026616901498572655,0.0006012183778986828,-0.0003350493629129562,0.4427160325937031
spin_dephasing_only,2.0,0.0029101694001525,0.0032914900302044,0.0023100818243056986,0.003025883605316082,0.00026560642488831793,0.0006000875758468012,-0.0003344811509584833,0.4426127711667966
spin_dephasing_only,3.0,0.005020960749132,0.0056152419972977,0.004422415619613984,0.005350407441981675,0.0002648345553160252,0.0005985451295180159,-0.0003337105742019907,0.4424638047414832
spin_dephasing_only,4.0,0.0077087870701666,0.0084853019475026,0.007112290848679592,0.008221429135635061,0.00026387281186753854,0.0005964962214870077,-0.0003326234096194692,0.4423713049006899
photon_scattering_only,0.01,0.0013245126519624,0.000808321449669,6.133084567705449e-05,0.0002487439435251426,0.0005595775061438574,0.0012631818062853455,-0.0007036043001414881,0.44299047323157226
photon_scattering_only,1.0,0.0020943533788138,0.0018607139307794,0.0008323920451687172,0.0013018777788029734,0.0005588361519764265,0.0012619613336450827,-0.0007031251816686562,0.442831437919155
photon_scattering_only,2.0,0.0035697021924858,0.0035835354488196,0.0023100818243056986,0.003025883605316082,0.0005576518435035181,0.0012596203681801013,-0.0007019685246765833,0.44271421579917214
photon_scattering_only,3.0,0.0056787289519306,0.00590643249859,0.004422415619613984,0.005350407441981675,0.0005560250566083247,0.0012563133323166163,-0.0007002882757082916,0.44258469786595817
photon_scattering_only,4.0,0.0083643572262428,0.0087754520872934,0.007112290848679592,0.008221429135635061,0.0005540229516583384,0.0012520663775632077,-0.0006980434259048693,0.4424868853491514
