n_bar,A_factor_before,feedback_iteration_before,source_path_before,h_XX_rad_per_gate_before,gamma_XX_per_gate_before,gamma_col_per_gate_before,average_infidelity_before,abs_chi_II_XX_before,chi_XX_XX_before,generator_frobenius_norm_before,three_component_residual_norm_before,three_component_residual_fraction_before,three_component_channel_error_fraction_before,gamma_nnls_residual_before,taxonomy_H_XX_before,taxonomy_S_XX_before,taxonomy_S_IX_before,taxonomy_S_XI_before,taxonomy_C_IX_XI_before,collective_x_coefficient_mean_before,collective_x_coefficient_spread_before,collective_x_relative_spread_before,taxonomy_reconstruction_residual_fraction_before,generator_imaginary_fraction_before,cptp_min_choi_eigenvalue_before,cptp_tp_frobenius_error_before,A_factor_after,feedback_iteration_after,source_path_after,h_XX_rad_per_gate_after,gamma_XX_per_gate_after,gamma_col_per_gate_after,average_infidelity_after,abs_chi_II_XX_after,chi_XX_XX_after,generator_frobenius_norm_after,three_component_residual_norm_after,three_component_residual_fraction_after,three_component_channel_error_fraction_after,gamma_nnls_residual_after,taxonomy_H_XX_after,taxonomy_S_XX_after,taxonomy_S_IX_after,taxonomy_S_XI_after,taxonomy_C_IX_XI_after,collective_x_coefficient_mean_after,collective_x_coefficient_spread_after,collective_x_relative_spread_after,taxonomy_reconstruction_residual_fraction_after,generator_imaginary_fraction_after,cptp_min_choi_eigenvalue_after,cptp_tp_frobenius_error_after,abs_h_XX_reduction_factor,infidelity_remaining_fraction,infidelity_reduction_percent,gamma_XX_change,gamma_col_change,h_XX_converged
0.01,1.0,0,/Users/hirainoa/Desktop/量子/project/Moon_shot__高橋PJ/MS_gate_Hirai/results/chi_error_element_fit/exact_full_chi/error_chi_nbar_0p01.npz,0.013736454527062738,0.0005451035851350679,0.0006610334976141145,0.0019465315074352675,0.013711649041748679,0.00035262921782851307,0.07841806566176525,0.0029703665246543194,0.0378785997791144,0.0007435833985831005,0.0029703665117872544,0.013736454527062738,0.00016385958402851994,0.0005506083970633527,0.0005506132670455058,0.0005256228298408313,0.00054228149798323,2.49904372046745e-05,0.04608388318173327,2.3671273380828363e-14,4.033449994086849e-14,1.471214406831124e-07,1.1102465431573902e-16,1.008861306302284,1,/Users/hirainoa/Desktop/量子/project/Moon_shot__高橋PJ/MS_gate_Hirai/results/chi_error_element_fit/advanced_publication_validation/hxx_drive_amplitude_calibration/qpt_cache/hxx_feedback_i01__nbar_0p01__8b59d515dcc0.npz,0.00010240752258301466,0.0005509046981256494,0.0006723914878497593,0.0018186938580432967,0.0005449105702099859,0.00017023659221491837,0.010718136114087414,0.0029641548891700164,0.2765550705475806,0.0007420561349442962,0.0029641548564842105,0.00010240752258301466,0.00016966068731928558,0.0005619644497969691,0.0005619732141826728,0.0005369808103765883,0.0005536394914520767,2.499240380608454e-05,0.045142017850884994,2.1536045582477106e-14,1.344093535704051e-13,1.3626701078422166e-07,1.5984899481137158e-19,134.1352098028497,0.9343254147679282,6.567458523207181,5.801112990581458e-06,1.1357990235644818e-05,True
1.0,1.0,0,/Users/hirainoa/Desktop/量子/project/Moon_shot__高橋PJ/MS_gate_Hirai/results/chi_error_element_fit/exact_full_chi/error_chi_nbar_1p0.npz,0.028806249152621775,0.000997130045610365,0.0011808506795691902,0.003644381102133565,0.02868403776590424,0.0014429192343300454,0.16398926094679475,0.0029323285856288663,0.017881223250223933,0.0007351151182274224,0.002932328560458509,0.028806249152621775,0.0006158845071325365,0.0010704267089584728,0.001070432393802542,0.0010454384744246683,0.0010620991923952277,2.499391937787381e-05,0.023532566032281745,1.6832666290136918e-14,1.31632412458722e-14,1.4299013545465973e-07,1.112012231595197e-16,1.018859015844479,1,/Users/hirainoa/Desktop/量子/project/Moon_shot__高橋PJ/MS_gate_Hirai/results/chi_error_element_fit/advanced_publication_validation/hxx_drive_amplitude_calibration/qpt_cache/hxx_feedback_i01__nbar_1__63d66c0a2924.npz,0.00021239152680047014,0.001044203553990764,0.001233175983918455,0.00310427034306251,0.0011120574530841215,0.0006641354659403099,0.019250943862571517,0.0029216652123007533,0.15176737479252517,0.0007325809649355794,0.0029216652043498968,0.00021239152680047012,0.0006629579512871254,0.0011227492756131698,0.0011227605642994975,0.0010977637145476947,0.001114424518153454,2.499684975180278e-05,0.022430276204997098,6.922515640867637e-14,8.297039954844228e-14,1.6177698880944257e-07,6.164716792327978e-19,135.6280525243534,0.8517963012279772,14.820369877202278,4.707350838039888e-05,5.232530434926474e-05,True
2.0,1.0,0,/Users/hirainoa/Desktop/量子/project/Moon_shot__高橋PJ/MS_gate_Hirai/results/chi_error_element_fit/exact_full_chi/error_chi_nbar_2p0.npz,0.04373984982941139,0.0018659506734485742,0.0016771428792448327,0.005980754940607991,0.04340262103982573,0.0033820799163091384,0.24898177811500233,0.00293107116899379,0.01177223165158679,0.0007360441259781382,0.002931071106574367,0.043739849829411384,0.0014847043173359352,0.0015667198068837073,0.0015667253304979935,0.0015417298564655302,0.0015583916646157436,2.4995474032463334e-05,0.01603927600487168,6.8057547244631065e-15,1.0452555606620835e-14,1.5412728681129048e-07,8.68056909101299e-19,1.0290654705324465,1,/Users/hirainoa/Desktop/量子/project/Moon_shot__高橋PJ/MS_gate_Hirai/results/chi_error_element_fit/advanced_publication_validation/hxx_drive_amplitude_calibration/qpt_cache/hxx_feedback_i01__nbar_2__e8a561b22f1b.npz,0.0003122283035677998,0.002042952102492488,0.0017995023627632215,0.004796333651116581,0.0016800886153330982,0.0016602136144871797,0.02997616361627782,0.0029150461565281335,0.09724547122985375,0.0007323991757676227,0.002915046128109115,0.0003122283035677998,0.0016617056597720934,0.0016890857671033436,0.001689078510530674,0.0016640892533761535,0.0016807511770033905,2.499651372719013e-05,0.014872227411886386,6.671153574056961e-14,7.776733355571763e-14,9.087301658356232e-08,1.110227623041525e-16,140.08931711059103,0.8019612404699189,19.80387595300811,0.00017700142904391366,0.0001223594835183888,True
4.0,1.0,0,/Users/hirainoa/Desktop/量子/project/Moon_shot__高橋PJ/MS_gate_Hirai/results/chi_error_element_fit/exact_full_chi/error_chi_nbar_4p0.npz,0.07271083717396727,0.004674363732632595,0.0025866178108855642,0.012280799535252119,0.07145140322756383,0.009468937945186431,0.41440540562138,0.002939083906426943,0.007092291429017281,0.0007410389168845906,0.0029390838830191364,0.07271083717396727,0.004293116587068234,0.002476187922356632,0.002476208657209728,0.002451203998654574,0.002467866859406978,2.500465855515433e-05,0.01013209382015158,4.553412983260522e-15,3.950278023471892e-15,1.5512932101125928e-07,1.626281570152284e-16,1.0497730585171714,1,/Users/hirainoa/Desktop/量子/project/Moon_shot__高橋PJ/MS_gate_Hirai/results/chi_error_element_fit/advanced_publication_validation/hxx_drive_amplitude_calibration/qpt_cache/hxx_feedback_i01__nbar_4__5ed3111f3464.npz,0.0004342896977718048,0.005571828804121936,0.0029299752997104895,0.009365601982744122,0.0027933861404051356,0.005153212695087035,0.05853497439401695,0.0029116278014608243,0.04974167720415765,0.0007355117328494649,0.002911627637196296,0.00043428969777180467,0.005190581509978385,0.0028195600679976084,0.0028195516674939156,0.0027945613669892073,0.002811224367493577,2.49987010084011e-05,0.00889246027370251,4.1760685969473847e-14,3.5031293227014994e-14,-1.5599437349288614e-12,1.1102399732614773e-16,167.42473410495865,0.7626215179117692,23.737848208823074,0.0008974650714893406,0.0003433574888249253,True
6.0,1.0,0,/Users/hirainoa/Desktop/量子/project/Moon_shot__高橋PJ/MS_gate_Hirai/results/chi_error_element_fit/exact_full_chi/error_chi_nbar_6p0.npz,0.10046366052281396,0.008655386545347914,0.0034004879829495774,0.02037337310609484,0.09746491149327317,0.01799542756622293,0.5736846945209112,0.002950538185339052,0.005143135617036238,0.000747385497775573,0.0029505380664236244,0.10046366052281396,0.008274138222742304,0.003290068395030236,0.003290067830297809,0.003265073714969807,0.0032817366467659506,2.499468006042895e-05,0.007616296720536801,3.0903989980435434e-15,3.37968636633884e-15,-4.0319657484478814e-12,2.633095058208422e-17,1.0708297263207953,1,/Users/hirainoa/Desktop/量子/project/Moon_shot__高橋PJ/MS_gate_Hirai/results/chi_error_element_fit/advanced_publication_validation/hxx_drive_amplitude_calibration/qpt_cache/hxx_feedback_i01__nbar_6__8986baf69875.npz,0.0003630916832756438,0.01117557585385458,0.004064316007378356,0.01551204162342561,0.003879630220356203,0.010630144016111209,0.09777125611294583,0.0029108396897727855,0.02977193712649216,0.000740675151639573,0.002910839072730628,0.00036309168327564387,0.010794318409985593,0.0039538731301953225,0.003953901479871904,0.003928901061318209,0.003945558557128478,2.5000418553695024e-05,0.006336344573704661,1.5941919127536008e-14,2.907939228140094e-14,-9.665374161976793e-13,1.5701164323861977e-16,276.6895116309954,0.7613879912102072,23.861200878979282,0.0025201893085066655,0.0006638280244287784,True
8.0,1.0,0,/Users/hirainoa/Desktop/量子/project/Moon_shot__高橋PJ/MS_gate_Hirai/results/chi_error_element_fit/exact_full_chi/error_chi_nbar_8p0.npz,0.12702258700782088,0.013534430603872591,0.004128181190377943,0.029829725415502217,0.12136267062043528,0.028403655362666824,0.7269695428672259,0.002963229060588695,0.0040761392133451466,0.0007543267285690847,0.002963228851533202,0.12702258700782085,0.013153182779083748,0.004017772725850315,0.004017751971149106,0.0039927666989226385,0.004009430465307354,2.5006026927676395e-05,0.006236802743942708,2.5698231146535676e-15,3.884053982440168e-15,1.1798312786024668e-07,6.055671724752035e-18,1.0922148698381928,1,/Users/hirainoa/Desktop/量子/project/Moon_shot__高橋PJ/MS_gate_Hirai/results/chi_error_element_fit/advanced_publication_validation/hxx_drive_amplitude_calibration/qpt_cache/hxx_feedback_i01__nbar_8__cf67d91e79ac.npz,-2.8289643645586722e-05,0.01887562461455499,0.005203776609563849,0.023189370929134246,0.0049616789895891205,0.018030830169300675,0.14842106527409762,0.002911311233389994,0.019615215859106725,0.0007475382194160311,0.002911311081932322,-2.828964364558672e-05,0.01849437490507801,0.005093367531161211,0.005093344913723287,0.005068361886527249,0.005085024777137248,2.500564463396235e-05,0.004917506940455844,3.1823966717287686e-15,1.5424776891030758e-16,-1.6367931788860062e-12,1.1104940424551248e-16,4490.073773963456,0.7773913640211705,22.260863597882953,0.0053411940106824,0.001075595419185906,True
10.0,1.0,0,/Users/hirainoa/Desktop/量子/project/Moon_shot__高橋PJ/MS_gate_Hirai/results/chi_error_element_fit/exact_full_chi/error_chi_nbar_10p0.npz,0.15244343382085776,0.019079633995426972,0.004778333831086497,0.04028153338803797,0.14317141111796264,0.040213607993079145,0.8745249677358871,0.0029768927962947975,0.0034040112130839023,0.0007616223564553659,0.0029768921371320298,0.15244343382085773,0.018698381302295897,0.0046678984866919005,0.004667922494495085,0.004642918920731797,0.004659579967306261,2.500357376328862e-05,0.005366057442671894,1.919975907908229e-15,2.610536558553805e-15,-3.4156654978645835e-12,1.5961012728032718e-16,1.1139318355183767,1,/Users/hirainoa/Desktop/量子/project/Moon_shot__高橋PJ/MS_gate_Hirai/results/chi_error_element_fit/advanced_publication_validation/hxx_drive_amplitude_calibration/qpt_cache/hxx_feedback_i01__nbar_10__f0a965360107.npz,-0.0008726151436520993,0.02869599704384709,0.006350174723225138,0.03233552410240872,0.0061106296317023955,0.027274272681551012,0.21094526533784616,0.0029122718894292014,0.013805817754501192,0.0007558942886830385,0.0029122714960812847,-0.0008726151436520992,0.028314748839064846,0.0062397247619153376,0.006239787760766669,0.006214759851776086,0.006231424124819365,2.5027908990583707e-05,0.0040164027498784975,2.8194612898795047e-15,9.917922505905842e-15,4.181256537049831e-08,2.2204800582352498e-16,174.69721323291066,0.8027381626939528,19.726183730604717,0.009616363048420118,0.0015718408921386404,True
