pair_id,source_i,source_j,epsilon_multiplier,condition_id,single_i_condition_id,single_j_condition_id,zero_condition_id,nbar,pair_infidelity,single_i_infidelity,single_j_infidelity,zero_infidelity,interaction_infidelity,kappa_multiplier,kappa_physical_s2
motional_dephasing__spin_dephasing,motional_dephasing,spin_dephasing,0.5,rates_d3709cb034eafd9f,rates_70251d48c79bc447,rates_a6ce76b38e46ff5e,rates_7283b228c09abbcb,0.01,0.0006237384391758471,0.0004905090038785,0.0003820584352766,0.0002487641440845,-6.485589475288978e-08,-2.5942357901155913e-07,-4.323726316859319e-09
motional_dephasing__spin_dephasing,motional_dephasing,spin_dephasing,0.25,rates_8009cb4450589c6b,rates_5d0830fbd54877b3,rates_19b7663e2fbbc419,rates_7283b228c09abbcb,0.01,0.00043629936188227525,0.0003696741231623557,0.0003154006888763661,0.0002487641440845,-1.1306071946552438e-08,-1.80897151144839e-07,-3.0149525190806502e-09
motional_dephasing__spin_dephasing,motional_dephasing,spin_dephasing,0.125,rates_8e3afbc2a44b8b1b,rates_d020294e2819f325,rates_51cf49f8b796b1a4,rates_7283b228c09abbcb,0.01,0.00034256518322128837,0.00030924625284356466,0.0002820905293446918,0.0002487641440845,-7.454882468120334e-09,-4.771124779597014e-07,-7.951874632661688e-09
motional_dephasing__spin_dephasing,motional_dephasing,spin_dephasing,0.5,rates_d3709cb034eafd9f,rates_70251d48c79bc447,rates_a6ce76b38e46ff5e,rates_7283b228c09abbcb,1.0,0.0020049822020332675,0.001871974006538,0.0014349793142726,0.0013018788028587,-9.231591863254757e-08,-3.6926367453019027e-07,-6.154394575503171e-09
motional_dephasing__spin_dephasing,motional_dephasing,spin_dephasing,0.25,rates_8009cb4450589c6b,rates_5d0830fbd54877b3,rates_19b7663e2fbbc419,rates_7283b228c09abbcb,1.0,0.001653730771674633,0.0015871999345968835,0.0013684329143138774,0.0013018788028587,-2.327437742793287e-08,-3.723900388469259e-07,-6.206500647448765e-09
motional_dephasing__spin_dephasing,motional_dephasing,spin_dephasing,0.125,rates_8e3afbc2a44b8b1b,rates_d020294e2819f325,rates_51cf49f8b796b1a4,rates_7283b228c09abbcb,1.0,0.0014778745576997654,0.0014445910988623023,0.001335164193711158,0.0013018788028587,-1.932014995036091e-09,-1.2364895968230982e-07,-2.060815994705164e-09
motional_dephasing__spin_dephasing,motional_dephasing,spin_dephasing,0.5,rates_d3709cb034eafd9f,rates_70251d48c79bc447,rates_a6ce76b38e46ff5e,rates_7283b228c09abbcb,2.0,0.004041784519850822,0.0039091162522086,0.0031587185580059,0.0030258929745734,-1.5731579027867051e-07,-6.292631611146821e-07,-1.0487719351911368e-08
motional_dephasing__spin_dephasing,motional_dephasing,spin_dephasing,0.25,rates_8009cb4450589c6b,rates_5d0830fbd54877b3,rates_19b7663e2fbbc419,rates_7283b228c09abbcb,2.0,0.0035345172512233347,0.0034681344127676095,0.003092293721657091,0.0030258929745734,-1.7908627965995683e-08,-2.865380474559309e-07,-4.775634124265515e-09
motional_dephasing__spin_dephasing,motional_dephasing,spin_dephasing,0.125,rates_8e3afbc2a44b8b1b,rates_d020294e2819f325,rates_51cf49f8b796b1a4,rates_7283b228c09abbcb,2.0,0.0032803750021985767,0.0032471605703363604,0.003059105209132107,0.0030258929745734,2.1973035092826e-09,1.406274245940864e-07,2.34379040990144e-09
motional_dephasing__spin_dephasing,motional_dephasing,spin_dephasing,0.5,rates_d3709cb034eafd9f,rates_70251d48c79bc447,rates_a6ce76b38e46ff5e,rates_7283b228c09abbcb,3.0,0.006659748470807303,0.0065274971072746,0.0054828599167102,0.0053504253160057,-1.832371717969128e-07,-7.329486871876512e-07,-1.2215811453127519e-08
motional_dephasing__spin_dephasing,motional_dephasing,spin_dephasing,0.25,rates_8009cb4450589c6b,rates_5d0830fbd54877b3,rates_19b7663e2fbbc419,rates_7283b228c09abbcb,3.0,0.00600621219913966,0.005940070522135299,0.005416654853887204,0.0053504253160057,-8.786087714318658e-08,-1.4057740342909852e-06,-2.3429567238183087e-08
motional_dephasing__spin_dephasing,motional_dephasing,spin_dephasing,0.125,rates_8e3afbc2a44b8b1b,rates_d020294e2819f325,rates_51cf49f8b796b1a4,rates_7283b228c09abbcb,3.0,0.005678612043224285,0.005645518794657689,0.005383548549920958,0.0053504253160057,-2.998534866238689e-08,-1.919062314392761e-06,-3.198437190654602e-08
motional_dephasing__spin_dephasing,motional_dephasing,spin_dephasing,0.5,rates_d3709cb034eafd9f,rates_70251d48c79bc447,rates_a6ce76b38e46ff5e,rates_7283b228c09abbcb,4.0,0.009804516345862546,0.0096728023401937,0.0083533707467529,0.0082214370008468,-2.1974023725439273e-07,-8.789609490175709e-07,-1.4649349150292849e-08
motional_dephasing__spin_dephasing,motional_dephasing,spin_dephasing,0.25,rates_8009cb4450589c6b,rates_5d0830fbd54877b3,rates_19b7663e2fbbc419,rates_7283b228c09abbcb,4.0,0.009014724424655896,0.008948810228854298,0.008287432554183072,0.0082214370008468,-8.135753467447548e-08,-1.3017205547916078e-06,-2.169534257986013e-08
