condition_id,nbar,F_avg,infidelity,motional_heating_s^-1,motional_dephasing_s^-1,spin_dephasing_s^-1,photon_scattering_s^-1,is_all_noise_zero
rates_70251d48c79bc447,0.01,0.9995094909961214,0.0004905090038785,0.0,9.0,0.0,0.0,False
rates_70251d48c79bc447,1.0,0.998128025993462,0.001871974006538,0.0,9.0,0.0,0.0,False
rates_70251d48c79bc447,2.0,0.9960908837477912,0.0039091162522086,0.0,9.0,0.0,0.0,False
rates_70251d48c79bc447,3.0,0.9934725028927254,0.0065274971072746,0.0,9.0,0.0,0.0,False
rates_70251d48c79bc447,4.0,0.9903271976598064,0.0096728023401937,0.0,9.0,0.0,0.0,False
rates_7283b228c09abbcb,0.01,0.9997512358559154,0.0002487641440845,0.0,0.0,0.0,0.0,True
rates_7283b228c09abbcb,1.0,0.9986981211971412,0.0013018788028587,0.0,0.0,0.0,0.0,True
rates_7283b228c09abbcb,2.0,0.9969741070254264,0.0030258929745734,0.0,0.0,0.0,0.0,True
rates_7283b228c09abbcb,3.0,0.9946495746839944,0.0053504253160057,0.0,0.0,0.0,0.0,True
rates_7283b228c09abbcb,4.0,0.9917785629991532,0.0082214370008468,0.0,0.0,0.0,0.0,True
rates_7affb8fbc133d6bd,0.01,0.9993145272761368,0.0006854727238632,5.0,9.0,0.0,0.0,False
rates_7affb8fbc133d6bd,1.0,0.9979371286902914,0.0020628713097086,5.0,9.0,0.0,0.0,False
rates_7affb8fbc133d6bd,2.0,0.9959041364170588,0.0040958635829413,5.0,9.0,0.0,0.0,False
rates_7affb8fbc133d6bd,3.0,0.9932898374425316,0.0067101625574684,5.0,9.0,0.0,0.0,False
rates_7affb8fbc133d6bd,4.0,0.9901486092639572,0.0098513907360429,5.0,9.0,0.0,0.0,False
rates_a6ce76b38e46ff5e,0.01,0.9996179415647234,0.0003820584352766,0.0,0.0,1.6666666666666667,0.0,False
rates_a6ce76b38e46ff5e,1.0,0.9985650206857274,0.0014349793142726,0.0,0.0,1.6666666666666667,0.0,False
rates_a6ce76b38e46ff5e,2.0,0.996841281441994,0.0031587185580059,0.0,0.0,1.6666666666666667,0.0,False
rates_a6ce76b38e46ff5e,3.0,0.9945171400832896,0.0054828599167102,0.0,0.0,1.6666666666666667,0.0,False
rates_a6ce76b38e46ff5e,4.0,0.9916466292532472,0.0083533707467529,0.0,0.0,1.6666666666666667,0.0,False
rates_cba05db5d91a70e1,0.01,0.9994713736701982,0.0005286263298017,0.0,0.0,0.0,2.0,False
rates_cba05db5d91a70e1,1.0,0.9984186326485436,0.0015813673514564,0.0,0.0,0.0,2.0,False
rates_cba05db5d91a70e1,2.0,0.9966952188427096,0.0033047811572902,0.0,0.0,0.0,2.0,False
rates_cba05db5d91a70e1,3.0,0.9943715268609484,0.0056284731390515,0.0,0.0,0.0,2.0,False
rates_cba05db5d91a70e1,4.0,0.9915014827899428,0.0084985172100573,0.0,0.0,0.0,2.0,False
rates_d40c9e1dbffac54a,0.01,0.999556172524066,0.0004438274759339,5.0,0.0,0.0,0.0,False
rates_d40c9e1dbffac54a,1.0,0.9985069648844592,0.0014930351155408,5.0,0.0,0.0,0.0,False
rates_d40c9e1dbffac54a,2.0,0.996786914718944,0.0032130852810559,5.0,0.0,0.0,0.0,False
rates_d40c9e1dbffac54a,3.0,0.9944663660535128,0.0055336339464873,5.0,0.0,0.0,0.0,False
rates_d40c9e1dbffac54a,4.0,0.9915992506553604,0.0084007493446396,5.0,0.0,0.0,0.0,False
