nbar,component,multiplier_x,multiplier_y,multiplier_product,observed,fitted_prediction,fitted_residual,loocv_prediction,loocv_residual,fitted_residual_over_peak,loocv_residual_over_peak
2.0,correlated_gamma_XX,4.0,0.5,2.0,-1.6518521702845078e-07,-1.605224095375242e-07,-4.6628074909265665e-09,-1.6048073663158658e-07,-4.704480396864193e-09,-0.0036822004152997677,-0.0037151093423461604
2.0,correlated_gamma_XX,0.5,1.0,0.5,-3.740782362929122e-08,-4.013060238438105e-08,2.7227787550898297e-09,-4.013211064016562e-08,2.724287010874395e-09,0.002150167486491895,0.002151358550049014
2.0,correlated_gamma_XX,1.0,1.0,1.0,-8.350315778291388e-08,-8.02612047687621e-08,-3.241953014151775e-09,-8.025400942291297e-08,-3.249148360000913e-09,-0.0025601573211678622,-0.00256583945698957
2.0,correlated_gamma_XX,2.0,1.0,2.0,-1.6427304129137957e-07,-1.605224095375242e-07,-3.750631753855356e-09,-1.604888890191264e-07,-3.784152272253169e-09,-0.002961858886208988,-0.0029883299054405724
2.0,correlated_gamma_XX,4.0,1.0,4.0,-3.322567154627129e-07,-3.210448190750484e-07,-1.1211896387664482e-08,-3.2063296006009045e-07,-1.1623755402622457e-08,-0.008853989707980054,-0.009179233123856495
2.0,correlated_gamma_XX,0.5,2.0,1.0,-8.811146732460445e-08,-8.02612047687621e-08,-7.850262555842348e-09,-8.024378151992128e-08,-7.867685804683176e-09,-0.006199320924053595,-0.006213079993936367
2.0,correlated_gamma_XX,1.0,2.0,2.0,-1.894458327639844e-07,-1.605224095375242e-07,-2.8923423226460187e-08,-1.6026391224852916e-07,-2.9181920515455233e-08,-0.02284071157207462,-0.023044845846702862
2.0,correlated_gamma_XX,2.0,2.0,4.0,-3.308305902586725e-07,-3.210448190750484e-07,-9.785771183624086e-09,-3.20685347497633e-07,-1.0145242761039483e-08,-0.0077277843416196455,-0.008011657607720196
2.0,correlated_gamma_XX,4.0,2.0,8.0,-6.664745841834449e-07,-6.420896381500968e-07,-2.4384946033348063e-08,-6.380628384825999e-07,-2.8411745700844965e-08,-0.01925669429539628,-0.022436641877800038
2.0,correlated_gamma_XX,0.5,4.0,2.0,-1.7425336261748213e-07,-1.605224095375242e-07,-1.3730953079957919e-08,-1.6039969190072525e-07,-1.3853670716756878e-08,-0.01084327869676551,-0.010940188323436788
2.0,correlated_gamma_XX,1.0,4.0,4.0,-3.313036251715619e-07,-3.210448190750484e-07,-1.0258806096513472e-08,-3.206679709819637e-07,-1.063565418959822e-08,-0.008101338119270128,-0.008398933550254957
2.0,correlated_gamma_XX,2.0,4.0,8.0,-6.244679693623301e-07,-6.420896381500968e-07,1.7621668787766777e-08,-6.449995863582363e-07,2.0531616995906265e-08,0.013915761320803726,0.01621373577532765
2.0,correlated_gamma_XX,4.0,4.0,16.0,-1.266310076863909e-06,-1.2841792763001937e-06,1.7869199436284695e-08,-1.3075708521682096e-06,4.1260775304300655e-08,0.014111235283335036,0.032583469134578304
