pair_id,source_x,source_y,nbar,multiplier_x,multiplier_y,C_gamma_IX_per_gate,C_gamma_XI_per_gate,C_gamma_XX_per_gate,C_h_XX_rad_per_gate,C_gamma_X_mean_per_gate,C_gamma_X_ion_asymmetry_per_gate,multiplier_product,a_X_per_gate,a_X_rmse,a_X_max_abs_residual,a_X_nrmse_to_max_abs_response,a_X_r_squared,a_XX_per_gate,a_XX_rmse,a_XX_max_abs_residual,a_XX_nrmse_to_max_abs_response,a_XX_r_squared,b_XX_rad_per_gate,b_XX_rad_rmse,b_XX_rad_max_abs_residual,b_XX_rad_nrmse_to_max_abs_response,b_XX_rad_r_squared,model_C_gamma_X_mean_per_gate,model_C_gamma_XX_per_gate,model_C_h_XX_rad_per_gate,residual_C_gamma_X_mean_per_gate,residual_C_gamma_XX_per_gate,residual_C_h_XX_rad_per_gate
motional_heating__motional_dephasing,motional_heating,motional_dephasing,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1780940052415042e-07,5.044794204936219e-09,1.1495465876394634e-08,0.002683429735864651,0.999884158299968,8.672037700395765e-09,1.2761427640328363e-08,2.7348767149390867e-08,0.09070917821794328,0.889455386089665,1.1808008058636537e-07,1.0940870333920475e-08,2.3243907555179645e-08,0.005775923871122398,0.999466537630251,0.0,-0.0,0.0,0.0,0.0,0.0
motional_heating__motional_dephasing,motional_heating,motional_dephasing,0.01,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1780940052415042e-07,5.044794204936219e-09,1.1495465876394634e-08,0.002683429735864651,0.999884158299968,8.672037700395765e-09,1.2761427640328363e-08,2.7348767149390867e-08,0.09070917821794328,0.889455386089665,1.1808008058636537e-07,1.0940870333920475e-08,2.3243907555179645e-08,0.005775923871122398,0.999466537630251,0.0,-0.0,0.0,0.0,0.0,0.0
motional_heating__motional_dephasing,motional_heating,motional_dephasing,0.01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1780940052415042e-07,5.044794204936219e-09,1.1495465876394634e-08,0.002683429735864651,0.999884158299968,8.672037700395765e-09,1.2761427640328363e-08,2.7348767149390867e-08,0.09070917821794328,0.889455386089665,1.1808008058636537e-07,1.0940870333920475e-08,2.3243907555179645e-08,0.005775923871122398,0.999466537630251,0.0,-0.0,0.0,0.0,0.0,0.0
motional_heating__motional_dephasing,motional_heating,motional_dephasing,0.01,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1780940052415042e-07,5.044794204936219e-09,1.1495465876394634e-08,0.002683429735864651,0.999884158299968,8.672037700395765e-09,1.2761427640328363e-08,2.7348767149390867e-08,0.09070917821794328,0.889455386089665,1.1808008058636537e-07,1.0940870333920475e-08,2.3243907555179645e-08,0.005775923871122398,0.999466537630251,0.0,-0.0,0.0,0.0,0.0,0.0
motional_heating__motional_dephasing,motional_heating,motional_dephasing,0.01,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1780940052415042e-07,5.044794204936219e-09,1.1495465876394634e-08,0.002683429735864651,0.999884158299968,8.672037700395765e-09,1.2761427640328363e-08,2.7348767149390867e-08,0.09070917821794328,0.889455386089665,1.1808008058636537e-07,1.0940870333920475e-08,2.3243907555179645e-08,0.005775923871122398,0.999466537630251,0.0,-0.0,0.0,0.0,0.0,0.0
motional_heating__motional_dephasing,motional_heating,motional_dephasing,0.01,0.0,0.5,0.0,0.0,8.470329472543003e-22,0.0,0.0,0.0,0.0,1.1780940052415042e-07,5.044794204936219e-09,1.1495465876394634e-08,0.002683429735864651,0.999884158299968,8.672037700395765e-09,1.2761427640328363e-08,2.7348767149390867e-08,0.09070917821794328,0.889455386089665,1.1808008058636537e-07,1.0940870333920475e-08,2.3243907555179645e-08,0.005775923871122398,0.999466537630251,0.0,-0.0,0.0,0.0,8.470329472543003e-22,0.0
motional_heating__motional_dephasing,motional_heating,motional_dephasing,0.01,0.5,0.5,3.154929817502023e-08,3.104444447524061e-08,1.0342594650276364e-08,3.040925433336894e-08,3.129687132513042e-08,2.5242684988980874e-10,0.25,1.1780940052415042e-07,5.044794204936219e-09,1.1495465876394634e-08,0.002683429735864651,0.999884158299968,8.672037700395765e-09,1.2761427640328363e-08,2.7348767149390867e-08,0.09070917821794328,0.889455386089665,1.1808008058636537e-07,1.0940870333920475e-08,2.3243907555179645e-08,0.005775923871122398,0.999466537630251,2.9452350131037605e-08,-2.1680094250989412e-09,2.9520020146591342e-08,1.844521194092816e-09,1.2510604075375305e-08,8.892341867775981e-10
motional_heating__motional_dephasing,motional_heating,motional_dephasing,0.01,1.0,0.5,5.035279386255201e-08,6.395774006691661e-08,-1.2079795653576482e-08,5.9234135494148916e-08,5.715526696473431e-08,-6.8024731021823015e-09,0.5,1.1780940052415042e-07,5.044794204936219e-09,1.1495465876394634e-08,0.002683429735864651,0.999884158299968,8.672037700395765e-09,1.2761427640328363e-08,2.7348767149390867e-08,0.09070917821794328,0.889455386089665,1.1808008058636537e-07,1.0940870333920475e-08,2.3243907555179645e-08,0.005775923871122398,0.999466537630251,5.890470026207521e-08,-4.3360188501978824e-09,5.9040040293182684e-08,-1.7494332973408977e-09,-7.7437768033786e-09,1.9409520096623185e-10
motional_heating__motional_dephasing,motional_heating,motional_dephasing,0.01,2.0,0.5,1.216945884700138e-07,1.2294883640325612e-07,2.894104920206647e-09,1.1095966062114881e-07,1.2232171243663497e-07,-6.27123966621154e-10,1.0,1.1780940052415042e-07,5.044794204936219e-09,1.1495465876394634e-08,0.002683429735864651,0.999884158299968,8.672037700395765e-09,1.2761427640328363e-08,2.7348767149390867e-08,0.09070917821794328,0.889455386089665,1.1808008058636537e-07,1.0940870333920475e-08,2.3243907555179645e-08,0.005775923871122398,0.999466537630251,1.1780940052415042e-07,-8.672037700395765e-09,1.1808008058636537e-07,4.512311912484544e-09,1.1566142620602412e-08,-7.120419965216554e-09
motional_heating__motional_dephasing,motional_heating,motional_dephasing,0.01,4.0,0.5,2.291262659231871e-07,2.535264389859766e-07,1.0004691748599336e-08,2.324403294198113e-07,2.4132635245458184e-07,-1.2200086531394746e-08,2.0,1.1780940052415042e-07,5.044794204936219e-09,1.1495465876394634e-08,0.002683429735864651,0.999884158299968,8.672037700395765e-09,1.2761427640328363e-08,2.7348767149390867e-08,0.09070917821794328,0.889455386089665,1.1808008058636537e-07,1.0940870333920475e-08,2.3243907555179645e-08,0.005775923871122398,0.999466537630251,2.3561880104830084e-07,-1.734407540079153e-08,2.3616016117273074e-07,5.707551406280994e-09,2.7348767149390867e-08,-3.7198317529194394e-09
motional_heating__motional_dephasing,motional_heating,motional_dephasing,0.01,0.0,1.0,-1.3552527156068804e-20,1.3552527156068804e-20,8.470329472543003e-22,0.0,0.0,-1.3552527156068804e-20,0.0,1.1780940052415042e-07,5.044794204936219e-09,1.1495465876394634e-08,0.002683429735864651,0.999884158299968,8.672037700395765e-09,1.2761427640328363e-08,2.7348767149390867e-08,0.09070917821794328,0.889455386089665,1.1808008058636537e-07,1.0940870333920475e-08,2.3243907555179645e-08,0.005775923871122398,0.999466537630251,0.0,-0.0,0.0,0.0,8.470329472543003e-22,0.0
motional_heating__motional_dephasing,motional_heating,motional_dephasing,0.01,0.5,1.0,5.6575903858673683e-08,5.3006248854008235e-08,-5.4088080835459944e-09,4.2758900545281087e-08,5.479107635634096e-08,1.7848275023327241e-09,0.5,1.1780940052415042e-07,5.044794204936219e-09,1.1495465876394634e-08,0.002683429735864651,0.999884158299968,8.672037700395765e-09,1.2761427640328363e-08,2.7348767149390867e-08,0.09070917821794328,0.889455386089665,1.1808008058636537e-07,1.0940870333920475e-08,2.3243907555179645e-08,0.005775923871122398,0.999466537630251,5.890470026207521e-08,-4.3360188501978824e-09,5.9040040293182684e-08,-4.1136239057342515e-09,-1.072789233348112e-09,-1.6281139747901598e-08
motional_heating__motional_dephasing,motional_heating,motional_dephasing,0.01,1.0,1.0,1.224500922151903e-07,1.206245137848214e-07,-7.328673978163869e-10,1.0025302816553395e-07,1.2153730300000585e-07,9.127892151844506e-10,1.0,1.1780940052415042e-07,5.044794204936219e-09,1.1495465876394634e-08,0.002683429735864651,0.999884158299968,8.672037700395765e-09,1.2761427640328363e-08,2.7348767149390867e-08,0.09070917821794328,0.889455386089665,1.1808008058636537e-07,1.0940870333920475e-08,2.3243907555179645e-08,0.005775923871122398,0.999466537630251,1.1780940052415042e-07,-8.672037700395765e-09,1.1808008058636537e-07,3.7279024758554275e-09,7.939170302579378e-09,-1.7827052420831414e-08
motional_heating__motional_dephasing,motional_heating,motional_dephasing,0.01,2.0,1.0,2.411114413295666e-07,2.403170109187611e-07,-1.2159855774042663e-08,2.129162536175511e-07,2.4071422612416383e-07,3.972152054027493e-10,2.0,1.1780940052415042e-07,5.044794204936219e-09,1.1495465876394634e-08,0.002683429735864651,0.999884158299968,8.672037700395765e-09,1.2761427640328363e-08,2.7348767149390867e-08,0.09070917821794328,0.889455386089665,1.1808008058636537e-07,1.0940870333920475e-08,2.3243907555179645e-08,0.005775923871122398,0.999466537630251,2.3561880104830084e-07,-1.734407540079153e-08,2.3616016117273074e-07,5.095425075862984e-09,5.184219626748866e-09,-2.3243907555179645e-08
