nbar,a_X_per_gate,a_X_rmse,a_X_max_abs_residual,a_X_nrmse_to_max_abs_response,a_X_r_squared,a_XX_per_gate,a_XX_rmse,a_XX_max_abs_residual,a_XX_nrmse_to_max_abs_response,a_XX_r_squared,b_XX_rad_per_gate,b_XX_rad_rmse,b_XX_rad_max_abs_residual,b_XX_rad_nrmse_to_max_abs_response,b_XX_rad_r_squared
0.01,1.1780940052415042e-07,5.044794204936219e-09,1.1495465876394634e-08,0.002683429735864651,0.999884158299968,8.672037700395765e-09,1.2761427640328363e-08,2.7348767149390867e-08,0.09070917821794328,0.889455386089665,1.1808008058636537e-07,1.0940870333920475e-08,2.3243907555179645e-08,0.005775923871122398,0.999466537630251
1.0,1.484441765857253e-07,8.103796356330473e-09,1.6168468131871403e-08,0.003433138801868063,0.9998104892949444,3.6738963980231744e-08,8.721262139655773e-09,2.2299305640391267e-08,0.01512168991030505,0.9963901235558278,1.0265980478707717e-07,1.0534433138020054e-08,3.139786752509205e-08,0.00647010309214684,0.9993287139808265
2.0,1.9871578308810177e-07,1.511777228369321e-08,3.174234420233237e-08,0.004792357549205979,0.9996297570859428,8.02612047687621e-08,1.3203560573537891e-08,2.8923423226460187e-08,0.010426798945039813,0.9982512050357305,8.569558269116427e-08,2.6022852946611656e-08,6.812381379973091e-08,0.01922990050682626,0.9939555821641554
3.0,2.6581123721857384e-07,2.417623160130653e-08,4.4620472200298414e-08,0.00574352379034373,0.9994669246661152,1.27774783390963e-07,3.433232900542717e-08,7.171002028261129e-08,0.016794677934035565,0.9956934801995032,5.889043947521883e-08,4.8627685142941124e-08,7.808962599028993e-08,0.04805567960554164,0.9657753031227804
4.0,3.4192371711149936e-07,3.132651911161309e-08,6.261154787843659e-08,0.005784507917876381,0.9994619879335478,1.9587320190981067e-07,3.4073515520084965e-08,6.134114827627113e-08,0.011010887335628763,0.9980435856249545,5.4234256755290216e-08,3.102231504105727e-08,5.6921083692169563e-08,0.03687825156712252,0.977340639714026
