nbar,polynomial_degree,subset,finest_step_size,finest_maximum_stencil_multiplier,aggregate_relative_residual,max_point_relative_residual,mean_point_relative_residual
0.01,2,all_near_zero_points,0.05,0.2,0.12686373438356222,0.15535473812740433,0.05840350379954325
0.01,2,finest_fit_stencil,0.05,0.2,0.02720537172036512,0.03251215848057073,0.01776050353004352
0.01,2,holdout_beyond_finest_stencil,0.05,0.2,0.13044756759679604,0.15535473812740433,0.09904650406904297
0.01,3,all_near_zero_points,0.05,0.2,0.6644602613833561,0.8832967769177886,0.21040335381608719
0.01,3,finest_fit_stencil,0.05,0.2,0.024903364518820796,0.032454507701528794,0.01267746092264196
0.01,3,holdout_beyond_finest_stencil,0.05,0.2,0.6840954911101857,0.8832967769177886,0.40812924670953243
0.01,4,all_near_zero_points,0.05,0.2,0.8589216663606799,1.1970502014322455,0.2119188787743194
0.01,4,finest_fit_stencil,0.05,0.2,7.096821510522606e-16,1.1510984189355557e-15,8.031207461792974e-16
0.01,4,holdout_beyond_finest_stencil,0.05,0.2,0.8843385464248161,1.1970502014322455,0.42383775754863806
1.0,2,all_near_zero_points,0.05,0.2,0.027704311703664223,0.03392713195064153,0.012764327129676496
1.0,2,finest_fit_stencil,0.05,0.2,0.005961554297391844,0.007129062203086301,0.0038892331653040168
1.0,2,holdout_beyond_finest_stencil,0.05,0.2,0.02848789814898159,0.03392713195064153,0.021639421094048976
1.0,3,all_near_zero_points,0.05,0.2,0.14649284688825462,0.19473642169185817,0.046465123994354186
1.0,3,finest_fit_stencil,0.05,0.2,0.005568072443628573,0.007256904061840367,0.0028345622096493253
1.0,3,holdout_beyond_finest_stencil,0.05,0.2,0.150828332303005,0.19473642169185817,0.09009568577905905
1.0,4,all_near_zero_points,0.05,0.2,0.19575048875825007,0.2727391201871863,0.048463145261498544
1.0,4,finest_fit_stencil,0.05,0.2,6.752804066555516e-16,1.2028417785408388e-15,7.864354885499422e-16
1.0,4,holdout_beyond_finest_stencil,0.05,0.2,0.20155202504757805,0.2727391201871863,0.09692629052299628
2.0,2,all_near_zero_points,0.05,0.2,0.03864542798888446,0.04729071189733181,0.017900307660925603
2.0,2,finest_fit_stencil,0.05,0.2,0.008471173658114142,0.01012458388305909,0.005530388083386267
2.0,2,holdout_beyond_finest_stencil,0.05,0.2,0.03973796288028711,0.04729071189733181,0.03027022723846494
2.0,3,all_near_zero_points,0.05,0.2,0.20821238935687672,0.27688061800284886,0.06595683450675294
2.0,3,finest_fit_stencil,0.05,0.2,0.007768338654031549,0.01012499391773307,0.003954713471389929
2.0,3,holdout_beyond_finest_stencil,0.05,0.2,0.21438305784163234,0.27688061800284886,0.12795895554211595
2.0,4,all_near_zero_points,0.05,0.2,0.26778783837942577,0.3734447751068476,0.06602879318757482
2.0,4,finest_fit_stencil,0.05,0.2,6.815177345403739e-16,1.406332176013787e-15,8.36203077866754e-16
2.0,4,holdout_beyond_finest_stencil,0.05,0.2,0.2757350128720955,0.3734447751068476,0.1320575863751488
3.0,2,all_near_zero_points,0.05,0.2,0.018825886209515405,0.023067610019092764,0.008661940062708333
3.0,2,finest_fit_stencil,0.05,0.2,0.004047982715591584,0.004865888958354432,0.0026161406283669135
3.0,2,holdout_beyond_finest_stencil,0.05,0.2,0.01935975915719635,0.023067610019092764,0.014707739497049755
3.0,3,all_near_zero_points,0.05,0.2,0.09414188674749348,0.12527291215674122,0.029739985988714756
3.0,3,finest_fit_stencil,0.05,0.2,0.003413474079160801,0.004449148759715294,0.0017377550889543171
3.0,3,holdout_beyond_finest_stencil,0.05,0.2,0.09693552835593203,0.12527291215674122,0.057742216888475195
3.0,4,all_near_zero_points,0.05,0.2,0.11616468613019218,0.1620768375847281,0.02861329817034676
3.0,4,finest_fit_stencil,0.05,0.2,8.800183178408306e-16,1.3162953125386991e-15,9.67857150550291e-16
3.0,4,holdout_beyond_finest_stencil,0.05,0.2,0.11961632237900531,0.1620768375847281,0.057226596340692555
4.0,2,all_near_zero_points,0.05,0.2,0.05356618813823481,0.06568609247055579,0.024550866349415276
4.0,2,finest_fit_stencil,0.05,0.2,0.01132530303370401,0.01360402945469745,0.00732756219743518
4.0,2,holdout_beyond_finest_stencil,0.05,0.2,0.055089275422399116,0.06568609247055579,0.04177417050139537
4.0,3,all_near_zero_points,0.05,0.2,0.262519097756086,0.34951097530795366,0.08281879078072628
4.0,3,finest_fit_stencil,0.05,0.2,0.009443041744120738,0.012308780174976306,0.00480740607384535
4.0,3,holdout_beyond_finest_stencil,0.05,0.2,0.2703177729914531,0.34951097530795366,0.1608301754876072
4.0,4,all_near_zero_points,0.05,0.2,0.31710782501113033,0.4426767045827546,0.0779314286882151
4.0,4,finest_fit_stencil,0.05,0.2,6.293105867861085e-16,9.37824770684347e-16,6.893975263617816e-16
4.0,4,holdout_beyond_finest_stencil,0.05,0.2,0.326540200347625,0.4426767045827546,0.15586285737642952
