run_signature,pulse_type,noise_case,scattering_model,nbar,gate_time_s,F_avg,infidelity,p_err,p_weight1,p_weight2,offdiag_ratio,error_offdiag_ratio,exact_pauli_distance,alpha_final_abs,alpha_max_abs,alpha2_integral,entangling_angle_error,integrated_omega2,choi_min_eigenvalue,tp_error,hp_error,standard_infidelity,delta_infidelity,improvement_factor
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,smooth_detuning,none,constant_rate,0.01,0.0002258,0.999938669154323,6.133084567705449e-05,7.670907119905479e-05,4.825899201154207e-08,7.666081220713377e-05,0.7070001085989722,4.974531935739374e-07,0.012181836926071492,0.00014060279032121129,0.13532761174525268,2.386717117429156e-06,-8.666475753904557e-05,312029.54776439944,-8.266163596727243e-07,1.5666510409071744e-15,2.8938708373514043e-15,0.0002487439435251426,-0.00018741309784808813,4.0557722754213446
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,smooth_detuning,none,constant_rate,1.0,0.0002258,0.9991676079548313,0.0008323920451687172,0.0010405357709983853,1.2984516125527168e-07,0.001040405925837218,0.7059671229937134,3.099873495849168e-07,0.033768493123479855,0.00014060279032121129,0.13532761174525268,2.386717117429156e-06,-8.666475753904557e-05,312029.54776439944,-5.312106531943276e-07,2.5199041133303576e-15,2.9955270856295017e-15,0.0013018777788029734,-0.00046948573363425616,1.5640199667442716
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,smooth_detuning,none,constant_rate,2.0,0.0002258,0.9976899181756943,0.0023100818243056986,0.0028876179592303153,1.904368919737794e-07,0.002887427522338439,0.7039845521403956,3.4921100096543245e-07,0.05511525227202405,0.00014060279032121129,0.13532761174525268,2.386717117429156e-06,-8.666475753904557e-05,312029.54776439944,-5.431677239636987e-07,3.229124128625386e-15,2.536398020617003e-15,0.003025883605316082,-0.0007158017810103834,1.3098599250810172
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,smooth_detuning,none,constant_rate,3.0,0.0002258,0.995577584380386,0.004422415619613984,0.005528073946293066,2.9279089339342115e-07,0.005527781155399627,0.701135055345596,3.233895826963066e-07,0.07593954346021126,0.00014060279032121129,0.13532761174525268,2.386717117429156e-06,-8.666475753904557e-05,312029.54776439944,-3.7554761562411487e-07,2.689190092137648e-15,2.4161528611915917e-15,0.005350407441981675,-0.0009279918223676908,1.2098382201464573
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,smooth_detuning,none,constant_rate,4.0,0.0002258,0.9928877091513204,0.007112290848679592,0.008890402086796256,3.496286727700418e-07,0.008890052458123531,0.6974863879515568,3.8590835990689205e-07,0.09619514918045895,0.00014060279032121129,0.13532761174525268,2.386717117429156e-06,-8.666475753904557e-05,312029.54776439944,-4.128262658187428e-07,5.288922595690281e-15,1.6574103084884188e-15,0.008221429135635061,-0.001109138286955469,1.155946699952714
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,0.01,0.0001,0.9997512560564749,0.0002487439435251426,0.0003109888692578444,0.0001199332752101313,0.00019105559404771784,0.7068382461444739,8.481220746651902e-05,0.01942453171590518,2.13600777145116e-14,0.49999342024641763,1.2499671014485726e-05,-1.033545274109482e-05,98696.04401089359,-1.7603206971645147e-07,2.486351068423239e-15,2.1554775182600723e-15,0.0002487439435251426,0.0,1.0
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,1.0,0.0001,0.998698122221197,0.0013018777788029734,0.0016273796345434022,0.00033718881496967176,0.001290190819573785,0.7056060373282439,0.0002386207364890635,0.04074462379643262,2.13600777145116e-14,0.49999342024641763,1.2499671014485726e-05,-1.033545274109482e-05,98696.04401089359,-1.5898280246804967e-07,2.6009891109809594e-15,1.5291547329226022e-15,0.0013018777788029734,0.0,1.0
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,2.0,0.0001,0.9969741163946839,0.003025883605316082,0.0037823980891071862,0.0005359457814445382,0.0032464523076627216,0.7034509500804168,0.0003796773071042291,0.06181719114396352,2.13600777145116e-14,0.49999342024641763,1.2499671014485726e-05,-1.033545274109482e-05,98696.04401089359,-3.8589882538347856e-07,2.5133284065152113e-15,1.190043675096195e-15,0.003025883605316082,0.0,1.0
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,3.0,0.0001,0.9946495925580183,0.005350407441981675,0.006688051972150055,0.0007113446124081248,0.005976707359741842,0.7004511821584964,0.0005046621212155474,0.08237270472321834,2.13600777145116e-14,0.49999342024641763,1.2499671014485726e-05,-1.033545274109482e-05,98696.04401089359,-6.603918838322157e-07,4.935448297978545e-15,9.663964286932515e-16,0.005350407441981675,0.0,1.0
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,4.0,0.0001,0.9917785708643649,0.008221429135635061,0.010276836249873633,0.0008703390807944107,0.009406497169079254,0.6966761493280238,0.000618498963493742,0.10236366510307343,2.13600777145116e-14,0.49999342024641763,1.2499671014485726e-05,-1.033545274109482e-05,98696.04401089359,-6.093701638882349e-07,6.5410159451102345e-15,1.0626217716136262e-15,0.008221429135635061,0.0,1.0
