model,nbar,F_avg,infidelity
lamb_dicke_first_order,0.01,0.999999998266546,1.7334540469704507e-09
lamb_dicke_first_order,1.0,0.9999976078124039,2.39218759612303e-06
lamb_dicke_first_order,2.0,0.9999918607219591,8.139278040886211e-06
lamb_dicke_first_order,3.0,0.9999964261595504,3.5738404495777587e-06
lamb_dicke_first_order,4.0,0.9999981744553702,1.8255446297965605e-06
