nbar,infidelity_full_order,infidelity_lamb_dicke,delta_infidelity_full_minus_ld,higher_order_fraction_of_full
0.01,0.0002487641440845,1.7334540469704507e-09,0.000248762410630453,0.9999930317367346
1.0,0.0013018788028587,2.39218759612303e-06,0.0012994866152625769,0.9981625112945458
2.0,0.0030258929745734,8.139278040886211e-06,0.0030177536965325137,0.9973101236199428
3.0,0.0053504253160057,3.5738404495777587e-06,0.005346851475556122,0.9993320455405879
4.0,0.0082214370008468,1.8255446297965605e-06,0.008219611456217003,0.9997779530963251
