scope,nbar,model,count,bias,mae,rmse,max_abs_residual,mean_abs_relative_to_noise_penalty,rmse_relative_to_noise_penalty,max_abs_relative_to_noise_penalty,phase,relative_rmse_threshold,passes_criterion
nbar,0.01,reduced_bilinear_pairwise,12,5.355177131136836e-07,5.355177131136836e-07,5.963974087316449e-07,9.739187216990105e-07,0.0001558792552424,0.0001687893887547,0.0002671421218213,held_out_in_domain,0.01,True
nbar,1.0,reduced_bilinear_pairwise,12,1.913037632951495e-06,1.913037632951495e-06,2.4310643991142025e-06,4.1506778546748085e-06,0.0003760797057404,0.0004494720156415,0.0007043581673465,held_out_in_domain,0.01,True
nbar,2.0,reduced_bilinear_pairwise,12,4.21643724059814e-06,4.21643724059814e-06,5.531755222963803e-06,9.470974375329693e-06,0.0006325979214706,0.0007730645712514,0.0012452749512447,held_out_in_domain,0.01,True
nbar,3.0,reduced_bilinear_pairwise,12,7.179534142081863e-06,7.179534142081863e-06,9.514620916542633e-06,1.627641153241488e-05,0.0008899531159279,0.0010887650367445,0.0017640518354924,held_out_in_domain,0.01,True
nbar,4.0,reduced_bilinear_pairwise,12,1.0617882789693145e-05,1.0617882789693145e-05,1.414271449596942e-05,2.423136791648156e-05,0.0011337443994563,0.0013869564600591,0.0022509094979818,held_out_in_domain,0.01,True
nbar,5.0,fixed_nbar_extrapolation,12,0.00042057002102795503,0.00042057002102795503,0.0004220560834412337,0.0004835433840437147,0.07133091321149225,0.10333267305489521,0.31089297165934127,fixed_nbar_extrapolation,0.01,False
nbar,6.0,fixed_nbar_extrapolation,12,0.0011836338556389825,0.0011836338556389825,0.001189881286020762,0.0013912213362724732,0.19088240888451233,0.2850743218921649,0.8687053282597339,fixed_nbar_extrapolation,0.01,False
nbar,8.0,fixed_nbar_extrapolation,12,0.003574853145571447,0.003574853145571447,0.003598995581290522,0.004273617322753588,0.529088964710457,0.8219079793937653,2.543453643297002,fixed_nbar_extrapolation,0.01,False
nbar,10.0,fixed_nbar_extrapolation,12,0.006834928138524868,0.006834928138524868,0.006888208749650855,0.0082671575244571,0.950356701739303,1.5179074443726628,4.743438863036299,fixed_nbar_extrapolation,0.01,False
nbar,12.0,fixed_nbar_extrapolation,12,0.010675499518290046,0.010675499518290046,0.01076928909128318,0.013050581551023122,1.4189353377160163,2.3150192708055175,7.284318673723447,fixed_nbar_extrapolation,0.01,False
nbar,15.0,fixed_nbar_extrapolation,12,0.017026115639791416,0.017026115639791416,0.01720224246582683,0.021141628399470085,2.1646526128645136,3.619151796329932,11.471081368321029,fixed_nbar_extrapolation,0.01,False
nbar,20.0,fixed_nbar_extrapolation,12,0.027810377057699648,0.027810377057699648,0.028183397947111704,0.03548490515681057,3.419513860042129,5.890254401888043,18.818998983716487,fixed_nbar_extrapolation,0.01,False
