scope,nbar,model,count,bias,mae,rmse,max_abs_residual,mean_abs_relative_to_noise_penalty,rmse_relative_to_noise_penalty,max_abs_relative_to_noise_penalty
all,,fixed_nbar_extrapolation,84,0.009646568196649195,0.009646568196649195,0.0134599553757236,0.03548490515681057,1.2492515427383464,2.8340831627740766,18.818998983716487
all,,zero_anchored_extrapolation,84,-0.0025222346117836046,0.0025222346117836046,0.004231929648617271,0.015254609466629765,0.16013358001862515,0.2272913220306287,0.567406090026476
nbar,5.0,fixed_nbar_extrapolation,12,0.00042057002102795503,0.00042057002102795503,0.0004220560834412337,0.0004835433840437147,0.07133091321149225,0.10333267305489521,0.31089297165934127
nbar,5.0,zero_anchored_extrapolation,12,-6.631335796284411e-05,6.631335796284411e-05,7.516419644090754e-05,0.0001323100370914862,0.0068403572203430095,0.007117011723614152,0.009481460954639843
nbar,6.0,fixed_nbar_extrapolation,12,0.0011836338556389825,0.0011836338556389825,0.001189881286020762,0.0013912213362724732,0.19088240888451233,0.2850743218921649,0.8687053282597339
nbar,6.0,zero_anchored_extrapolation,12,-0.00022034664786241653,0.00022034664786241653,0.000251755865536083,0.000424394412883361,0.020591873817419098,0.021375175008952092,0.027322664564117992
nbar,8.0,fixed_nbar_extrapolation,12,0.003574853145571447,0.003574853145571447,0.003598995581290522,0.004273617322753588,0.529088964710457,0.8219079793937653,2.543453643297002
nbar,8.0,zero_anchored_extrapolation,12,-0.0007439101540565535,0.0007439101540565535,0.0008524062992816742,0.001411104596498805,0.060307125341169915,0.06228099238540943,0.07716725820635378
nbar,10.0,fixed_nbar_extrapolation,12,0.006834928138524868,0.006834928138524868,0.006888208749650855,0.0082671575244571,0.950356701739303,1.5179074443726628,4.743438863036299
nbar,10.0,zero_anchored_extrapolation,12,-0.0015258961048973333,0.0015258961048973333,0.0017491529501185493,0.002877566559053954,0.11173910347122867,0.11493330082822717,0.13995819968525058
nbar,12.0,fixed_nbar_extrapolation,12,0.010675499518290046,0.010675499518290046,0.01076928909128318,0.013050581551023122,1.4189353377160163,2.3150192708055175,7.284318673723447
nbar,12.0,zero_anchored_extrapolation,12,-0.0025311513696756587,0.0025311513696756587,0.002901383260245169,0.004756326231406011,0.17188964266428985,0.17628286773107274,0.21212991417964916
nbar,15.0,fixed_nbar_extrapolation,12,0.017026115639791416,0.017026115639791416,0.01720224246582683,0.021141628399470085,2.1646526128645136,3.619151796329932,11.471081368321029
nbar,15.0,zero_anchored_extrapolation,12,-0.004386855212079189,0.004386855212079189,0.005027228931060588,0.008212976838674002,0.27504195519555374,0.28119555181719885,0.33419214606449194
nbar,20.0,fixed_nbar_extrapolation,12,0.027810377057699648,0.027810377057699648,0.028183397947111704,0.03548490515681057,3.419513860042129,5.890254401888043,18.818998983716487
nbar,20.0,zero_anchored_extrapolation,12,-0.00818116943595124,0.00818116943595124,0.009371146199562565,0.015254609466629765,0.4745250024203716,0.4836183330493442,0.567406090026476
