run_signature,pulse_type,noise_case,scattering_model,nbar,pauli,probability
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,2.0,YI,-8.218917797203791e-09
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,2.0,YX,1.4596708609610626e-09
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,2.0,YY,-1.2091584712659031e-09
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,2.0,YZ,-5.182760048533827e-09
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,2.0,ZI,-8.239941923227079e-10
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,2.0,ZX,7.583241114233639e-09
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,2.0,ZY,6.049558163033529e-09
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,2.0,ZZ,3.423603553431853e-10
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,3.0,IX,0.0005847882971410686
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,3.0,IY,-6.4966383826942954e-09
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,3.0,IZ,-3.350428476323053e-10
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,3.0,XI,0.0005847865083494403
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,3.0,XX,0.005976400059402446
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,3.0,XY,2.1222395906600466e-09
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,3.0,XZ,4.709441736377388e-09
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,3.0,YI,2.8649062197008343e-09
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,3.0,YX,2.113352387403747e-09
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,3.0,YY,1.0083407378166931e-08
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,3.0,YZ,1.2483225360522543e-08
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,3.0,ZI,-3.7906941474652456e-09
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,3.0,ZX,-1.187564786024847e-09
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,3.0,ZY,-4.5641173925642896e-09
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,3.0,ZZ,-1.8002515402015806e-08
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,4.0,IX,0.0006597449393228024
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,4.0,IY,8.751036562493904e-09
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,4.0,IZ,5.853002110756124e-10
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,4.0,XI,0.0006597412833364529
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,4.0,XX,0.009405451169180496
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,4.0,XY,5.236993338986196e-09
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,4.0,XZ,-1.4573330281880988e-08
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,4.0,YI,3.338764360083069e-09
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,4.0,YX,6.407946408736044e-09
