context,noise_source,noise_title,nominal_rate_s^-1,nbar,sector,mode,coefficient_per_gate
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"XX,ZX",-4.334313020125026e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"XX,ZY",-4.824169609893749e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"XX,ZZ",2.889171747068483e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"XY,XZ",2.468343385151013e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"XY,YI",7.587154224312223e-12
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"XY,YX",8.576715857565194e-11
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"XY,YY",3.2303256626883284e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"XY,YZ",1.7176019466467786e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"XY,ZI",1.0473541704526662e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"XY,ZX",2.1535278068100256e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"XY,ZY",-1.5014756829783708e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"XY,ZZ",7.515226839277623e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"XZ,YI",8.996700007005108e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"XZ,YX",-2.7248428683991437e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"XZ,YY",-7.680486697380364e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"XZ,YZ",8.348897001345725e-13
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"XZ,ZI",-2.0835594061548847e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"XZ,ZX",5.486039402122722e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"XZ,ZY",2.231211285603449e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"XZ,ZZ",7.98533357533931e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"YI,YX",-2.131456730886116e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"YI,YY",-8.866070014716179e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"YI,YZ",7.73063282822007e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"YI,ZI",-9.592416449500636e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"YI,ZX",1.4326640748578163e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"YI,ZY",-6.446688726960738e-11
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"YI,ZZ",6.33107259380812e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"YX,YY",3.4884717260013354e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"YX,YZ",-1.6984016852058576e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"YX,ZI",-2.0618140374474548e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"YX,ZX",2.5283869698252756e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"YX,ZY",1.2136378270751216e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"YX,ZZ",7.447992391097518e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"YY,YZ",-6.51313883991277e-10
