nbar,sector,mode,coefficient_per_gate
0.01,C,"IY,XY",-1.6771710196868219e-09
0.01,C,"IY,XZ",6.249266506441261e-10
0.01,C,"IY,YI",1.189191509581266e-09
0.01,C,"IY,YX",-1.2269849543728322e-09
0.01,C,"IY,YY",1.7716893871053589e-09
0.01,C,"IY,YZ",1.1985195043887938e-09
0.01,C,"IY,ZI",-7.674440900322547e-10
0.01,C,"IY,ZX",7.508198932732454e-10
0.01,C,"IY,ZY",4.2090741379807075e-11
0.01,C,"IY,ZZ",-1.6293460271993807e-09
0.01,C,"IZ,XI",-4.5197109467969836e-09
0.01,C,"IZ,XX",1.872522800382081e-09
0.01,C,"IZ,XY",2.272161054147077e-09
0.01,C,"IZ,XZ",1.0128965189875507e-10
0.01,C,"IZ,YI",7.074741564736264e-11
0.01,C,"IZ,YX",2.0628687516077264e-09
0.01,C,"IZ,YY",6.191374538100502e-10
0.01,C,"IZ,YZ",-2.3392696413863067e-09
0.01,C,"IZ,ZI",1.02585309140483e-09
0.01,C,"IZ,ZX",2.7308910473089414e-10
0.01,C,"IZ,ZY",-1.1957818441481876e-09
0.01,C,"IZ,ZZ",1.8013909871436901e-09
0.01,C,"XI,XX",2.867109379831287e-09
0.01,C,"XI,XY",1.948747418431424e-09
0.01,C,"XI,XZ",3.1357653413318544e-09
0.01,C,"XI,YI",9.581403503484012e-11
0.01,C,"XI,YX",3.836515333505364e-09
0.01,C,"XI,YY",3.522623037367828e-09
0.01,C,"XI,YZ",-3.090032939361192e-11
0.01,C,"XI,ZI",-2.1035079537261183e-09
0.01,C,"XI,ZX",3.3976935351413224e-09
0.01,C,"XI,ZY",2.3249894266967513e-10
0.01,C,"XI,ZZ",2.8195497568598198e-09
0.01,C,"XX,XY",-7.362782674890179e-11
0.01,C,"XX,XZ",-4.429203224881846e-09
0.01,C,"XX,YI",-1.9177905876226595e-09
0.01,C,"XX,YX",6.140324070850921e-11
0.01,C,"XX,YY",-5.290290957706803e-09
0.01,C,"XX,YZ",1.7964475030387393e-09
0.01,C,"XX,ZI",-3.4868116743124954e-09
0.01,C,"XX,ZX",2.1980253699446494e-10
0.01,C,"XX,ZY",2.6289979948326777e-09
0.01,C,"XX,ZZ",5.209992517291281e-10
0.01,C,"XY,XZ",-6.496058106675693e-10
0.01,C,"XY,YI",-1.3226696750401566e-09
0.01,C,"XY,YX",2.9952395965587094e-09
0.01,C,"XY,YY",-9.707764418753066e-10
0.01,C,"XY,YZ",-1.7675092789267116e-09
0.01,C,"XY,ZI",1.521559184433822e-09
0.01,C,"XY,ZX",-1.3783215415161731e-09
0.01,C,"XY,ZY",-1.5440434900770695e-09
0.01,C,"XY,ZZ",1.9546958695994654e-09
0.01,C,"XZ,YI",8.091186850322122e-10
0.01,C,"XZ,YX",1.8756949257821954e-10
0.01,C,"XZ,YY",2.1229905219979354e-09
0.01,C,"XZ,YZ",4.4193497832136883e-10
0.01,C,"XZ,ZI",-2.545933520198743e-10
0.01,C,"XZ,ZX",1.3335027652028311e-09
0.01,C,"XZ,ZY",5.053407212371513e-10
0.01,C,"XZ,ZZ",9.394173496164593e-12
0.01,C,"YI,YX",-1.3367349146031198e-09
0.01,C,"YI,YY",2.7392590120826657e-09
0.01,C,"YI,YZ",-2.4393138815951465e-10
0.01,C,"YI,ZI",-1.6117667899173693e-09
0.01,C,"YI,ZX",2.0142862690849726e-09
0.01,C,"YI,ZY",7.014041955192569e-10
0.01,C,"YI,ZZ",-1.7465272745514474e-09
0.01,C,"YX,YY",-1.9605751776303987e-11
0.01,C,"YX,YZ",-1.7306459430842162e-09
0.01,C,"YX,ZI",2.4075945226466887e-09
0.01,C,"YX,ZX",-7.8643374894817e-10
0.01,C,"YX,ZY",-2.3513086982551397e-09
0.01,C,"YX,ZZ",2.647187973257883e-09
0.01,C,"YY,YZ",-5.770093183555252e-10
0.01,C,"YY,ZI",-6.422121143885932e-10
0.01,C,"YY,ZX",2.578216911684398e-09
0.01,C,"YY,ZY",-4.895788029084844e-10
0.01,C,"YY,ZZ",-8.39322907836694e-10
0.01,C,"YZ,ZI",-1.180943734526863e-09
0.01,C,"YZ,ZX",-2.2524650101359028e-10
0.01,C,"YZ,ZY",1.7218443293278103e-09
0.01,C,"YZ,ZZ",-1.7791903103849625e-09
0.01,C,"ZI,ZX",-1.12973270206024e-09
0.01,C,"ZI,ZY",-2.3800683795325092e-09
0.01,C,"ZI,ZZ",2.518685583987097e-09
0.01,C,"ZX,ZY",7.28950931681063e-10
0.01,C,"ZX,ZZ",-9.693358627320965e-10
0.01,C,"ZY,ZZ",-1.9758592894018857e-09
0.01,H,IX,-9.01433419914823e-10
0.01,H,IY,4.5995729943865516e-09
0.01,H,IZ,-9.265966856766937e-12
0.01,H,XI,-5.750812209195903e-09
0.01,H,XX,0.013736789238169152
0.01,H,XY,-1.741786835536295e-09
0.01,H,XZ,-1.7976886045463265e-09
0.01,H,YI,-8.599115143114175e-11
0.01,H,YX,3.66535370361288e-09
0.01,H,YY,-3.8112105597812076e-09
0.01,H,YZ,-1.0148293091664244e-09
0.01,H,ZI,1.3512528131171682e-10
0.01,H,ZX,-1.9029264302958124e-09
0.01,H,ZY,-5.38103288983676e-09
0.01,H,ZZ,2.6971484956678515e-15
0.01,S,IX,5.9973929743621376e-05
0.01,S,IY,2.0143868854776275e-09
0.01,S,IZ,2.4782070435923527e-09
0.01,S,XI,5.9971717046223056e-05
0.01,S,XX,2.382847178501285e-06
0.01,S,XY,4.457403094221231e-09
0.01,S,XZ,2.0048040542976533e-09
0.01,S,YI,2.5204308226783323e-09
0.01,S,YX,3.4426857903280022e-09
0.01,S,YY,4.613915626077485e-09
0.01,S,YZ,2.695723089752287e-09
0.01,S,ZI,2.468390817447288e-09
0.01,S,ZX,2.072872817401791e-09
0.01,S,ZY,3.2122461432949695e-09
0.01,S,ZZ,3.346792538031708e-09
1.0,A,"IX,IY",2.703069424501947e-09
1.0,A,"IX,IZ",-4.4375405316520865e-09
1.0,A,"IX,XI",5.3070477046338016e-09
1.0,A,"IX,XX",1.4258712963766372e-08
1.0,A,"IX,XY",6.689215992384996e-10
1.0,A,"IX,XZ",-1.1255833177519493e-10
1.0,A,"IX,YI",2.392210098364017e-09
1.0,A,"IX,YX",6.607264434287217e-10
1.0,A,"IX,YY",-1.0459607220227762e-09
1.0,A,"IX,YZ",1.7566132331916476e-09
1.0,A,"IX,ZI",-4.838770921261957e-09
1.0,A,"IX,ZX",8.396207785612412e-10
1.0,A,"IX,ZY",-2.282526021007582e-09
1.0,A,"IX,ZZ",-1.24186213793865e-09
1.0,A,"IY,IZ",-3.861343175837352e-09
1.0,A,"IY,XI",-1.682909704221043e-09
1.0,A,"IY,XX",-4.7700388978751e-10
1.0,A,"IY,XY",4.360214638944747e-09
1.0,A,"IY,XZ",-3.165750890669028e-10
1.0,A,"IY,YI",7.551475550669435e-10
1.0,A,"IY,YX",6.743705550992653e-11
1.0,A,"IY,YY",1.8041256506938373e-10
1.0,A,"IY,YZ",7.001140685858872e-10
1.0,A,"IY,ZI",-1.6225046696727668e-09
1.0,A,"IY,ZX",7.618807409343306e-10
1.0,A,"IY,ZY",6.922941031550629e-10
1.0,A,"IY,ZZ",1.0201516551265302e-09
1.0,A,"IZ,XI",3.1276642382679824e-09
1.0,A,"IZ,XX",2.5972471520108313e-10
1.0,A,"IZ,XY",-9.60717634531366e-10
1.0,A,"IZ,XZ",3.2020593102994713e-09
1.0,A,"IZ,YI",2.1749823735964312e-10
1.0,A,"IZ,YX",-4.073138042735795e-10
1.0,A,"IZ,YY",4.0845597683078697e-10
1.0,A,"IZ,YZ",-8.312623155472533e-10
1.0,A,"IZ,ZI",5.399532810771607e-10
1.0,A,"IZ,ZX",6.312218749565563e-10
1.0,A,"IZ,ZY",5.849276115645461e-10
1.0,A,"IZ,ZZ",-5.179584477096847e-10
1.0,A,"XI,XX",1.0135686167811098e-08
1.0,A,"XI,XY",-6.99704407594122e-10
1.0,A,"XI,XZ",-6.12886413439492e-10
1.0,A,"XI,YI",1.61899694829963e-09
1.0,A,"XI,YX",4.463733142127844e-10
1.0,A,"XI,YY",-1.5534360163142063e-09
1.0,A,"XI,YZ",1.6036646765903592e-09
1.0,A,"XI,ZI",-3.94324491387323e-09
1.0,A,"XI,ZX",-3.662959608715395e-10
1.0,A,"XI,ZY",-1.7067605155234423e-09
1.0,A,"XI,ZZ",-1.883632977812779e-09
1.0,A,"XX,XY",-2.0556496151050847e-09
1.0,A,"XX,XZ",6.184205445621616e-09
1.0,A,"XX,YI",-2.1218245373568593e-09
1.0,A,"XX,YX",-3.186638416471738e-09
1.0,A,"XX,YY",-5.446415541139454e-14
1.0,A,"XX,YZ",-3.810547171016895e-09
1.0,A,"XX,ZI",4.217148127333403e-10
1.0,A,"XX,ZX",6.516649017750021e-09
1.0,A,"XX,ZY",-1.3568661420095076e-10
1.0,A,"XX,ZZ",2.8625969667495143e-09
1.0,A,"XY,XZ",-3.4586840087331507e-09
1.0,A,"XY,YI",-1.7012221477880244e-10
1.0,A,"XY,YX",4.599771736839761e-10
1.0,A,"XY,YY",-5.721494956711086e-10
1.0,A,"XY,YZ",8.73571830274966e-10
1.0,A,"XY,ZI",-5.103759226707536e-10
1.0,A,"XY,ZX",-6.24959678197075e-10
1.0,A,"XY,ZY",-1.0147815866432621e-09
1.0,A,"XY,ZZ",5.640782757111214e-10
1.0,A,"XZ,YI",7.178654210878526e-10
1.0,A,"XZ,YX",5.948159358194265e-12
1.0,A,"XZ,YY",1.3539249529021038e-10
1.0,A,"XZ,YZ",6.42401166555695e-10
1.0,A,"XZ,ZI",-1.2366971413784383e-09
1.0,A,"XZ,ZX",6.448332799920115e-10
1.0,A,"XZ,ZY",9.818502700064808e-10
1.0,A,"XZ,ZZ",4.402242594681543e-10
1.0,A,"YI,YX",1.7740027603474754e-09
1.0,A,"YI,YY",1.2595206717242487e-10
1.0,A,"YI,YZ",-1.339185586933962e-10
1.0,A,"YI,ZI",-1.413106381561318e-09
1.0,A,"YI,ZX",-8.873485404593413e-10
1.0,A,"YI,ZY",-3.321565529336382e-10
1.0,A,"YI,ZZ",4.239164643513203e-10
1.0,A,"YX,YY",2.1101266436591647e-11
1.0,A,"YX,YZ",-1.0796216710279004e-09
1.0,A,"YX,ZI",1.3516432550324472e-09
1.0,A,"YX,ZX",-2.0118002710647243e-09
1.0,A,"YX,ZY",4.963064812876894e-10
1.0,A,"YX,ZZ",-2.5783926220264856e-10
1.0,A,"YY,YZ",-1.0036994668188625e-10
1.0,A,"YY,ZI",-1.850193999553015e-10
1.0,A,"YY,ZX",-4.4861517523694454e-11
1.0,A,"YY,ZY",-2.8285778916120305e-10
1.0,A,"YY,ZZ",5.674234299053186e-10
1.0,A,"YZ,ZI",-6.62404536430224e-10
1.0,A,"YZ,ZX",-2.7847152287217413e-10
1.0,A,"YZ,ZY",-6.714283497865387e-10
1.0,A,"YZ,ZZ",5.8942582319093e-11
1.0,A,"ZI,ZX",2.5480675987976387e-09
1.0,A,"ZI,ZY",-3.4435166783918607e-10
1.0,A,"ZI,ZZ",1.0119930691159579e-10
1.0,A,"ZX,ZY",-8.323533740167223e-10
1.0,A,"ZX,ZZ",1.1182553679625785e-09
1.0,A,"ZY,ZZ",-4.91781452911236e-10
1.0,C,"IX,IY",1.131341379046409e-09
1.0,C,"IX,IZ",-4.432832651976783e-11
1.0,C,"IX,XI",0.00016870478222498397
1.0,C,"IX,XX",2.989159709248393e-09
1.0,C,"IX,XY",-3.449956868164967e-09
1.0,C,"IX,XZ",-1.4836204641125316e-09
1.0,C,"IX,YI",1.8981147783960062e-11
1.0,C,"IX,YX",-4.968259439565983e-09
1.0,C,"IX,YY",-1.7983652174133e-09
1.0,C,"IX,YZ",1.2640949846297114e-10
1.0,C,"IX,ZI",3.6477329905357023e-10
1.0,C,"IX,ZX",-1.1754536177975316e-09
1.0,C,"IX,ZY",-9.0967357339185e-13
1.0,C,"IX,ZZ",-2.4660823601054374e-09
1.0,C,"IY,IZ",-9.849905329289636e-10
1.0,C,"IY,XI",1.0842420982400285e-10
1.0,C,"IY,XX",1.1937301766478216e-09
1.0,C,"IY,XY",2.9208790117063626e-10
1.0,C,"IY,XZ",2.993516734928455e-09
1.0,C,"IY,YI",6.264845473049425e-11
1.0,C,"IY,YX",-2.458402359776162e-10
1.0,C,"IY,YY",8.673700615806055e-10
1.0,C,"IY,YZ",-1.0232038034547065e-09
1.0,C,"IY,ZI",3.5635740198886003e-10
1.0,C,"IY,ZX",8.252316247947573e-10
1.0,C,"IY,ZY",3.339019933575976e-11
1.0,C,"IY,ZZ",7.213934624374317e-11
1.0,C,"IZ,XI",-4.845696153636336e-10
1.0,C,"IZ,XX",1.231390433000815e-09
1.0,C,"IZ,XY",-5.048095806224738e-09
1.0,C,"IZ,XZ",-1.1674169613978491e-10
1.0,C,"IZ,YI",-1.1815514266877143e-09
1.0,C,"IZ,YX",-5.455010077336292e-10
1.0,C,"IZ,YY",-6.777159028835858e-10
1.0,C,"IZ,YZ",-7.710018573069944e-10
1.0,C,"IZ,ZI",2.05076794137282e-09
1.0,C,"IZ,ZX",-1.2313604839368125e-09
1.0,C,"IZ,ZY",-8.798691024928953e-10
1.0,C,"IZ,ZZ",-6.818163766467133e-10
1.0,C,"XI,XX",6.634263723126118e-10
1.0,C,"XI,XY",-3.192903705948424e-09
1.0,C,"XI,XZ",-2.0162232713731514e-09
1.0,C,"XI,YI",2.2037630809737426e-11
1.0,C,"XI,YX",-2.766115664559617e-09
1.0,C,"XI,YY",-2.1477422496697884e-09
1.0,C,"XI,YZ",-9.463430088936583e-11
1.0,C,"XI,ZI",-1.8715031027758963e-09
1.0,C,"XI,ZX",-2.7005650843560794e-09
