context,noise_source,noise_title,nominal_rate_s^-1,nbar,eigenmode_rank_by_abs_eigenvalue,eigenvalue_per_gate,jump_axis_expression,axis_IX,axis_IY,axis_IZ,axis_XI,axis_XX,axis_XY,axis_XZ,axis_YI,axis_YX,axis_YY,axis_YZ,axis_ZI,axis_ZX,axis_ZY,axis_ZZ
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,1,0.00044340601974533246,+0.707108*IX +0.707106*XI,0.7071079879134478,3.892059198706832e-06,7.068797119170345e-06,0.7071055731362115,3.4959888527886617e-06,1.3359906847690501e-05,-1.9755136976959807e-05,3.836269125861437e-06,4.433919794058759e-06,-1.9657874728605272e-05,2.4382661050363158e-08,-1.22043164287333e-06,-1.9745554889290696e-05,-2.178067847186224e-08,-2.0259044745718775e-05
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,2,0.00016131211936663205,+1.000000*XX,1.6650508467503695e-05,8.597806467218894e-06,1.7496013069520753e-05,-2.159303764341343e-05,0.99999999574531,-5.082834628967654e-07,1.508717173511361e-05,9.530558202163639e-06,-2.9893544095191514e-07,7.488676490500384e-05,-8.090779713946522e-06,2.8508550692918785e-05,-2.0756833249065824e-05,-1.1743959070528411e-05,-3.471963344781508e-06
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,3,1.208101461453783e-08,+0.068903*IX +0.294978*IY -0.149470*IZ -0.068864*XI -0.313050*XY +0.300180*XZ +0.408738*YY -0.342991*YZ -0.352069*ZY +0.530194*ZZ,0.06890305597589891,0.29497803630523967,-0.14947012314093724,-0.06886350143525072,-4.284863299254376e-05,-0.31305044453990677,0.3001802343056379,0.03872183595323563,0.02438888650864695,0.40873781311244756,-0.3429906113835199,-0.02889228131928162,-0.018755938923666796,-0.3520687741875343,0.530194061688746
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,4,-8.367837945062057e-09,-0.188828*IY +0.076566*IZ +0.640563*XY -0.183415*YI +0.476007*YX -0.152165*YY -0.142071*YZ +0.108451*ZI -0.208112*ZX -0.230136*ZY +0.366880*ZZ,0.030008366213063457,-0.18882779712446113,0.07656571145125447,-0.03002198748358516,2.9488656114925985e-06,0.6405626462841364,-0.012705604288813729,-0.18341510772538827,0.47600669872701473,-0.1521654598722696,-0.1420709361844038,0.10845122504872358,-0.20811236181347936,-0.23013649872279748,0.3668798283148987
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,5,7.040878930875772e-09,+0.212229*IX +0.163451*IY -0.126667*IZ -0.212242*XI -0.375047*XY +0.186062*XZ -0.096355*YI +0.622321*YX -0.134732*YY +0.083141*YZ -0.403341*ZX +0.229771*ZY -0.233064*ZZ,0.21222867019656844,0.16345086690221947,-0.12666695513068416,-0.21224176926551716,-5.519170678179252e-06,-0.37504652319716136,0.1860621289003122,-0.09635492061333924,0.6223208429073849,-0.13473201908936208,0.08314104478532032,0.021024689259668192,-0.4033414963977164,0.22977077863633352,-0.23306446657438903
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,6,4.9937496736282566e-09,-0.145160*IY -0.349765*XY -0.091446*XZ -0.137959*YI -0.152766*YX -0.574313*YY +0.089310*ZI +0.327350*ZY +0.597719*ZZ,-0.02881539724546511,-0.1451596137290288,0.019335167218250533,0.028823606085480947,5.087922958061629e-05,-0.3497653281179078,-0.09144614437530682,-0.13795924001601154,-0.15276592148067206,-0.5743133390205458,-0.03688839381096923,0.08931020839881292,0.015064550809540321,0.3273496062733208,0.5977187996140969
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,7,-3.4397155248955197e-09,-0.121764*IX -0.315682*IY +0.404126*IZ +0.121791*XI -0.065068*XY +0.401784*XZ +0.197096*YI +0.351882*YX +0.220534*YY -0.084239*YZ +0.064772*ZI +0.440495*ZX +0.349863*ZY +0.051651*ZZ,-0.12176371003766587,-0.31568228573728513,0.40412625136647984,0.12179103904350877,-1.317909537095229e-05,-0.06506845477980462,0.40178449037732966,0.19709560664378126,0.35188243411071957,0.22053416331310988,-0.08423938727584174,0.06477223457642921,0.44049472433353565,0.3498631005523681,0.05165053387167844
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,8,3.0110638712505025e-09,-0.114935*IY +0.208562*IZ -0.264802*XY -0.376565*YI +0.092259*YZ +0.713552*ZI +0.174072*ZX -0.384427*ZY -0.151432*ZZ,0.059107673485156234,-0.11493458995452033,0.2085616952139336,-0.05910184131908909,-2.331354166873383e-05,-0.2648023462247414,-0.07105960181304809,-0.37656510648507563,0.002774547110674384,0.025323695923149085,0.09225944728849238,0.7135518117050762,0.17407219815242775,-0.3844274675755188,-0.15143214910695263
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,9,2.258152255052641e-09,-0.090589*IX +0.594952*IZ +0.090565*XI -0.088527*XY -0.130102*XZ +0.083941*YI -0.177855*YX +0.068106*YY -0.479146*YZ -0.555716*ZX +0.074533*ZY -0.121600*ZZ,-0.09058927076402964,0.011641925227754035,0.5949518878831866,0.09056526550941985,-2.7510946499981428e-05,-0.08852727575479094,-0.1301023870083406,0.08394139941908707,-0.17785538529460362,0.0681061719297336,-0.47914614456591686,0.05161603517487646,-0.555716278073712,0.07453260932862286,-0.1215995114856553
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,10,-1.0928557475550572e-09,-0.108278*IX +0.078985*IY +0.055011*IZ +0.108293*XI +0.193057*XY +0.542204*XZ -0.362846*YI -0.314746*YX +0.193615*YY +0.418021*YZ +0.119079*ZI -0.336119*ZX +0.229225*ZY +0.115664*ZZ,-0.10827826517959757,0.07898505363472773,0.0550113496166134,0.10829260174321612,-2.0613516124872652e-05,0.19305714765808452,0.5422036190343458,-0.3628458357772052,-0.31474573605514977,0.19361503216837905,0.41802065390462717,0.1190793332499603,-0.33611850988533787,0.2292248301706973,0.11566427924201117
