noise_source,noise_title,nominal_rate_s^-1,nbar,sector,mode,coefficient_per_gate,coefficient_per_rate_s
motional_dephasing,Motional dephasing,18.0,0.01,A,"XX,YY",2.0390449195531397e-11,1.1328027330850775e-12
motional_dephasing,Motional dephasing,18.0,0.01,A,"XX,YZ",-7.44804793882945e-09,-4.1378044104608056e-10
motional_dephasing,Motional dephasing,18.0,0.01,A,"XX,ZI",-2.3336921919564845e-09,-1.296495662198047e-10
motional_dephasing,Motional dephasing,18.0,0.01,A,"XX,ZX",-4.334313020125026e-09,-2.407951677847237e-10
motional_dephasing,Motional dephasing,18.0,0.01,A,"XX,ZY",-4.824169609893749e-09,-2.6800942277187493e-10
motional_dephasing,Motional dephasing,18.0,0.01,A,"XX,ZZ",2.889171747068483e-09,1.6050954150380462e-10
motional_dephasing,Motional dephasing,18.0,0.01,A,"XY,XZ",2.468343385151013e-09,1.3713018806394515e-10
motional_dephasing,Motional dephasing,18.0,0.01,A,"XY,YI",7.587154224312223e-12,4.215085680173457e-13
motional_dephasing,Motional dephasing,18.0,0.01,A,"XY,YX",8.576715857565194e-11,4.764842143091775e-12
motional_dephasing,Motional dephasing,18.0,0.01,A,"XY,YY",3.2303256626883284e-09,1.7946253681601823e-10
motional_dephasing,Motional dephasing,18.0,0.01,A,"XY,YZ",1.7176019466467786e-10,9.542233036926548e-12
motional_dephasing,Motional dephasing,18.0,0.01,A,"XY,ZI",1.0473541704526662e-09,5.8186342802925896e-11
motional_dephasing,Motional dephasing,18.0,0.01,A,"XY,ZX",2.1535278068100256e-09,1.196404337116681e-10
motional_dephasing,Motional dephasing,18.0,0.01,A,"XY,ZY",-1.5014756829783708e-09,-8.34153157210206e-11
motional_dephasing,Motional dephasing,18.0,0.01,A,"XY,ZZ",7.515226839277623e-10,4.175126021820902e-11
motional_dephasing,Motional dephasing,18.0,0.01,A,"XZ,YI",8.996700007005108e-10,4.9981666705583935e-11
motional_dephasing,Motional dephasing,18.0,0.01,A,"XZ,YX",-2.7248428683991437e-09,-1.5138015935550798e-10
motional_dephasing,Motional dephasing,18.0,0.01,A,"XZ,YY",-7.680486697380364e-10,-4.266937054100202e-11
motional_dephasing,Motional dephasing,18.0,0.01,A,"XZ,YZ",8.348897001345725e-13,4.638276111858736e-14
motional_dephasing,Motional dephasing,18.0,0.01,A,"XZ,ZI",-2.0835594061548847e-09,-1.1575330034193804e-10
motional_dephasing,Motional dephasing,18.0,0.01,A,"XZ,ZX",5.486039402122722e-10,3.047799667845957e-11
motional_dephasing,Motional dephasing,18.0,0.01,A,"XZ,ZY",2.231211285603449e-09,1.2395618253352494e-10
motional_dephasing,Motional dephasing,18.0,0.01,A,"XZ,ZZ",7.98533357533931e-10,4.436296430744061e-11
motional_dephasing,Motional dephasing,18.0,0.01,A,"YI,YX",-2.131456730886116e-09,-1.1841426282700644e-10
motional_dephasing,Motional dephasing,18.0,0.01,A,"YI,YY",-8.866070014716179e-10,-4.925594452620099e-11
