nbar,fock_h_XX_rad_per_gate,qpt_H_XX_rad_per_gate,h_XX_relative_error,fock_phase_dispersion_gamma_per_gate,qpt_S_XX_per_gate,gamma_XX_relative_error,fock_residual_motion_gamma_per_gate,qpt_S_IX_per_gate,qpt_S_XI_per_gate,qpt_local_X_mean_per_gate,qpt_C_IX_XI_per_gate,residual_vs_local_X_mean_relative_error,residual_vs_C_IX_XI_relative_error,collective_X_coefficient_spread
0.01,0.0137368889327544,0.013736789238169152,7.25748815972313e-06,2.3913429799991237e-06,2.382847178501285e-06,0.003565399231008338,5.997882898843931e-05,5.9973929743621376e-05,5.9971717046223056e-05,5.997282339492222e-05,5.997229477338929e-05,0.00010013858239662445,0.00010895389403902915,2.2126973983201625e-09
1.0,0.0288389987839458,0.028839147892071412,5.170337423700158e-06,0.0004593623014945,0.0004600386557405552,0.0014702117694140816,0.0001677445807145,0.00016870811915723537,0.00016870314847153354,0.00016870563381438445,0.00016870478222498397,0.005696627185206057,0.005691608132385021,4.97068570182971e-09
2.0,0.0438259737854513,0.04382438185547371,3.6325212363293924e-05,0.001335157443349,0.0013355179044047105,0.00026990357412768755,0.0002655626095414,0.0002682530896529365,0.0002682410774866784,0.00026824708356980743,0.00026824672294894667,0.010007467714775122,0.01000613680584468,1.2012166258098915e-08
3.0,0.0585297012554247,0.058528800602147234,1.5388206629881407e-05,0.0025850432753274,0.002583122296125539,0.0007436656037316797,0.0003531500273919,0.0003561693469960978,0.0003561745616773154,0.0003561719543367066,0.0003561707235889984,0.00848446068819293,0.008481034506879136,5.214681217597435e-09
4.0,0.0729375401613422,0.07294130859580927,5.1663927335835505e-05,0.0041655852008337,0.004164478679593888,0.0002657046235423362,0.0004314602423792,0.0004359025370492493,0.00043590542422981365,0.00043590398063953146,0.0004359038184705971,0.010194305300474417,0.010193937063886575,2.887180564341719e-09
