nbar,average_infidelity,generator_frobenius_norm,H_sector_frobenius_norm,S_sector_frobenius_norm,C_sector_frobenius_norm,A_sector_frobenius_norm,taxonomy_reconstruction_residual_norm,taxonomy_reconstruction_residual_fraction,dominant_taxonomy_sector,dominant_taxonomy_mode,dominant_taxonomy_coefficient_per_gate,stochastic_matrix_min_eigenvalue_per_gate,stochastic_matrix_max_eigenvalue_per_gate,stochastic_matrix_negative_eigenvalue_abs_sum_per_gate
0.01,0.00024880761389347585,0.0777107783616453,0.07770701457634366,0.0005956114446170252,0.0004797886230573166,1.4302560931847574e-07,1.6619166829355206e-15,2.1385922493291757e-14,H,XX,0.013736789238169152,-1.9125670299125385e-12,0.00011994511949930755,4.064998685622096e-12
1.0,0.0013019174591467398,0.16318878830383704,0.163138856305042,0.0038042939884812194,0.001349639513215445,1.5587598261372233e-07,1.307956276341713e-15,8.01498859043222e-15,H,XX,0.028839147892071412,-1.0546528262609146e-11,0.00046003865588870225,3.544745745196384e-11
2.0,0.003025951592498366,0.24809265949800788,0.24790814073072023,0.009322887608656145,0.002145975590341259,4.1045751296111824e-07,7.173042945664947e-16,2.8912757677631102e-15,H,XX,0.04382438185547371,-6.556149914093628e-11,0.0013355179045904909,1.6516508515102913e-10
3.0,0.0053504706610728375,0.33153064222467904,0.3310888944039675,0.016869844071173014,0.0028493875357657626,3.10701652765333e-07,1.1780387684764938e-15,3.553332990795265e-15,H,XX,0.058528800602147234,-9.753176616297828e-11,0.0025831222961821563,2.497606896445849e-10
4.0,0.008221502743438514,0.41346761925796294,0.41261835149375214,0.026256567809204785,0.0034872363523448533,2.5234774507346103e-07,2.926926983347868e-15,7.078975104751201e-15,H,XX,0.07294130859580927,-8.557311197503656e-11,0.0041644786797066895,2.3987521305300537e-10
