run_signature,pulse_type,noise_case,scattering_model,nbar,pauli,probability
58ab749c42d361dafd4c759766477a5637d770c3b0a06bfe0b157e996a20d613,standard,photon_scattering_only,constant_rate,2.0,XZ,6.818660552356059e-05
58ab749c42d361dafd4c759766477a5637d770c3b0a06bfe0b157e996a20d613,standard,photon_scattering_only,constant_rate,2.0,YI,6.818363838165214e-05
58ab749c42d361dafd4c759766477a5637d770c3b0a06bfe0b157e996a20d613,standard,photon_scattering_only,constant_rate,2.0,YX,9.421975785655594e-05
58ab749c42d361dafd4c759766477a5637d770c3b0a06bfe0b157e996a20d613,standard,photon_scattering_only,constant_rate,2.0,YY,3.2230060148519264e-08
58ab749c42d361dafd4c759766477a5637d770c3b0a06bfe0b157e996a20d613,standard,photon_scattering_only,constant_rate,2.0,YZ,2.464478785068418e-08
58ab749c42d361dafd4c759766477a5637d770c3b0a06bfe0b157e996a20d613,standard,photon_scattering_only,constant_rate,2.0,ZI,9.420250394212572e-05
58ab749c42d361dafd4c759766477a5637d770c3b0a06bfe0b157e996a20d613,standard,photon_scattering_only,constant_rate,2.0,ZX,6.818294133216293e-05
58ab749c42d361dafd4c759766477a5637d770c3b0a06bfe0b157e996a20d613,standard,photon_scattering_only,constant_rate,2.0,ZY,2.4028623347797097e-08
58ab749c42d361dafd4c759766477a5637d770c3b0a06bfe0b157e996a20d613,standard,photon_scattering_only,constant_rate,2.0,ZZ,2.4652897563648416e-08
58ab749c42d361dafd4c759766477a5637d770c3b0a06bfe0b157e996a20d613,standard,photon_scattering_only,constant_rate,3.0,IX,0.0003804235704141261
58ab749c42d361dafd4c759766477a5637d770c3b0a06bfe0b157e996a20d613,standard,photon_scattering_only,constant_rate,3.0,IY,7.022233443074232e-05
58ab749c42d361dafd4c759766477a5637d770c3b0a06bfe0b157e996a20d613,standard,photon_scattering_only,constant_rate,3.0,IZ,9.21875466504893e-05
58ab749c42d361dafd4c759766477a5637d770c3b0a06bfe0b157e996a20d613,standard,photon_scattering_only,constant_rate,3.0,XI,0.0003804086780177899
58ab749c42d361dafd4c759766477a5637d770c3b0a06bfe0b157e996a20d613,standard,photon_scattering_only,constant_rate,3.0,XX,0.005972542227057352
