scope,nbar,gamma_overlap_scale
all,,-1.7352334275785344
nbar,0.01,-0.5816883160797545
nbar,1.0,-1.5681000477433646
nbar,2.0,-1.7279439625775472
nbar,3.0,-1.7578393861475659
nbar,4.0,-1.7685755872171829
