nbar,kappa_extra_per_multiplier_product,rmse,max_abs_residual,nrmse_to_max_abs_extra,correlation
0.01,6.276946112337146e-08,1.3986205546527271e-08,2.471867178605565e-08,0.01390940848308341,0.9984999804926631
1.0,4.749036628095295e-07,1.5753498347724735e-08,3.028494327485781e-08,0.0020813398350146037,0.9999773515262226
2.0,8.331107124296719e-07,3.96072160628174e-08,7.981190798728695e-08,0.0029892329927541966,0.9999597924956807
3.0,1.1346556357157899e-06,5.291428606144839e-08,1.1173675746885514e-07,0.002930169894190957,0.9999469777505868
4.0,1.4047330692691863e-06,9.149462908303693e-08,1.755845821984461e-07,0.004096875358128352,0.9999170620683201
