fock_n,coherence_real,coherence_imag,coherence_abs,theta_xx_rad,theta_error_rad
0,-0.13249796550046028,0.9911830092663869,0.9999997343600304,0.8518425527898177,-0.06644438939236941
1,-0.09885482325812897,0.9951012808037479,0.9999994175691582,0.8349064630955092,-0.04950829969806092
2,-0.06534740704956907,0.9978620094761428,0.9999994367817754,0.818095184494262,-0.032697021096813716
3,-0.03201567993926306,0.9994869903558743,0.9999996238262376,0.8014087453367454,-0.016010581939297164
4,0.0011020012324477481,0.9999992095530229,0.9999998167566766,0.784847162568734,0.0005510008287142876
5,0.03396884915436392,0.9994227519919571,0.9999998599560147,0.7684104684041382,0.0169876949933101
6,0.06654966947465842,0.9977827166424709,0.9999996040687295,0.7520987047867974,0.03329945861065087
7,0.09881091240070664,0.9951051279307939,0.9999989060212124,0.7359119017651026,0.04948626163234571
8,0.1307205273445593,0.9914168651304337,0.9999976283643358,0.7198501528124109,0.06554801058503734
9,0.1622482799658523,0.986745547803705,0.9999956402216519,0.7039134559413913,0.08148470745605696
10,0.193365444955417,0.9811194819947888,0.9999928166004639,0.6881018664990279,0.09729629689842034
11,0.22404492690547217,0.9745675687306913,0.9999890375867774,0.6724154332530375,0.11298273014441074
12,0.2542612840413494,0.9671192175256819,0.9999841906099531,0.6568541812049143,0.12854398219253393
13,0.283990603002556,0.9588042923956966,0.9999781666167357,0.6414181687852143,0.14397999461223399
14,0.3132105849313762,0.9496530198032419,0.9999708638427778,0.626107436142316,0.15929072725513227
15,0.34190051305593605,0.9396959155023418,0.9999621865049182,0.6109220116154773,0.17447615178197096
16,0.37004115407474564,0.9289637405986727,0.999952042378057,0.595861952322849,0.18953621107459928
17,0.39761480695236945,0.9174874168273373,0.9999403455928109,0.5809273069317004,0.20447085646574792
18,0.42460529422410204,0.9052979522450982,0.9999270164478528,0.5661181058618427,0.21928005753560553
19,0.45099788986002803,0.89242639493297,0.999911979641836,0.5514343845143089,0.23396377888313935
20,0.47677925911087504,0.8789037950024375,0.9998951658989065,0.5368762013154118,0.24852196208203647
21,0.5019375140910699,0.8647611020865046,0.9998765082417873,0.5224435882786018,0.26295457511884646
22,0.5264621042627138,0.8500291580712825,0.9998559480225628,0.5081365955655354,0.2772615678319129
23,0.5503438381527082,0.8347386113019126,0.9998334308228046,0.49395525841763294,0.29144290497981534
24,0.5735748022472859,0.8189198953690996,0.9998089061437441,0.47989962341580467,0.3054985399816436
25,0.5961483372120523,0.8026031788930664,0.9997823276743544,0.46596974159383775,0.31942842180361053
26,0.6180590592958201,0.785818281918553,0.9997536561448829,0.4521656324619516,0.33323253093549665
27,0.6393028032182224,0.7685946369742535,0.9997228566899237,0.4384872917278182,0.3469108716696301
