time_sim,calibrated_rectangle_A,optimized_A,detuning
0.0,0.13122163231464642,0.0,0.5
0.025183107443605555,0.13122163231464642,0.0025374802836900345,0.5
0.05036621488721111,0.13122163231464642,0.005074960567380069,0.5
0.07554932233081667,0.13122163231464642,0.007612440851070104,0.5
0.10073242977442222,0.13122163231464642,0.010149921134760138,0.5
0.12591553721802778,0.13122163231464642,0.012687401418450173,0.5
0.15109864466163334,0.13122163231464642,0.015224881702140208,0.5
0.1762817521052389,0.13122163231464642,0.01776236198583024,0.5
0.20146485954884444,0.13122163231464642,0.020299842269520276,0.5
0.22664796699245,0.13122163231464642,0.02283732255321031,0.5
0.25183107443605557,0.13122163231464642,0.025374802836900346,0.5
0.2770141818796611,0.13122163231464642,0.027912283120590377,0.5
0.30219728932326667,0.13122163231464642,0.030449763404280416,0.5
0.3273803967668722,0.13122163231464642,0.032987243687970444,0.5
0.3525635042104778,0.13122163231464642,0.03552472397166048,0.5
0.3777466116540833,0.13122163231464642,0.038062204255350514,0.5
0.4029297190976889,0.13122163231464642,0.04059968453904055,0.5
0.42811282654129446,0.13122163231464642,0.04313716482273059,0.5
0.4532959339849,0.13122163231464642,0.04567464510642062,0.5
0.47847904142850556,0.13122163231464642,0.048212125390110654,0.5
0.5036621488721111,0.13122163231464642,0.05074960567380069,0.5
0.5288452563157167,0.13122163231464642,0.053287085957490724,0.5
0.5540283637593222,0.13122163231464642,0.055824566241180755,0.5
0.5792114712029277,0.13122163231464642,0.058362046524870786,0.5
0.6043945786465333,0.13122163231464642,0.06089952680856083,0.5
0.6295776860901389,0.13122163231464642,0.06343700709225086,0.5
0.6547607935337444,0.13122163231464642,0.06597448737594089,0.5
0.67994390097735,0.13122163231464642,0.06851196765963094,0.5
0.7051270084209555,0.13122163231464642,0.07104944794332096,0.5
0.7303101158645611,0.13122163231464642,0.073586928227011,0.5
0.7554932233081666,0.13122163231464642,0.07612440851070103,0.5
0.7806763307517722,0.13122163231464642,0.07866188879439107,0.5
0.8058594381953778,0.13122163231464642,0.0811993690780811,0.5
0.8310425456389833,0.13122163231464642,0.08373684936177113,0.5
0.8562256530825889,0.13122163231464642,0.08627432964546118,0.5
0.8814087605261944,0.13122163231464642,0.0888118099291512,0.5
0.9065918679698,0.13122163231464642,0.09134929021284124,0.5
0.9317749754134055,0.13122163231464642,0.09388677049653127,0.5
0.9569580828570111,0.13122163231464642,0.09642425078022131,0.5
