noise_source,noise_title,multiplier,varied_strength_s^-1,condition_id,nbar,pauli,pauli_weight,mode_class,h_rad_per_gate,gamma_per_gate
motional_dephasing,Motional dephasing,0.0,0.0,rates_d9ef54501046f3fe,2.0,ZX,2,correlated,-2.200963390033371e-09,0.0001019854858698707
motional_dephasing,Motional dephasing,0.0,0.0,rates_d9ef54501046f3fe,2.0,ZY,2,correlated,1.7924637514558796e-09,0.0
motional_dephasing,Motional dephasing,0.0,0.0,rates_d9ef54501046f3fe,2.0,ZZ,2,correlated,-5.0333959367867e-16,2.187585852481827e-09
motional_dephasing,Motional dephasing,0.0,0.0,rates_d9ef54501046f3fe,3.0,IX,1,local,1.633517850758438e-08,0.0006111265170973683
motional_dephasing,Motional dephasing,0.0,0.0,rates_d9ef54501046f3fe,3.0,IY,1,local,2.6441424244863184e-08,0.00010521557457173722
motional_dephasing,Motional dephasing,0.0,0.0,rates_d9ef54501046f3fe,3.0,IZ,1,local,3.338355605269098e-09,0.00014060667786666977
motional_dephasing,Motional dephasing,0.0,0.0,rates_d9ef54501046f3fe,3.0,XI,1,local,1.900153821674369e-08,0.0006111665284361574
motional_dephasing,Motional dephasing,0.0,0.0,rates_d9ef54501046f3fe,3.0,XX,2,correlated,0.05853798099772474,0.0025838988601185353
motional_dephasing,Motional dephasing,0.0,0.0,rates_d9ef54501046f3fe,3.0,XY,2,correlated,3.760411019699114e-08,0.00014055706920900704
motional_dephasing,Motional dephasing,0.0,0.0,rates_d9ef54501046f3fe,3.0,XZ,2,correlated,-5.265953716098178e-09,0.00010527186553137636
motional_dephasing,Motional dephasing,0.0,0.0,rates_d9ef54501046f3fe,3.0,YI,1,local,6.984131938685711e-09,0.00010526097532667904
motional_dephasing,Motional dephasing,0.0,0.0,rates_d9ef54501046f3fe,3.0,YX,2,correlated,2.7870998402258767e-09,0.0001405624514471519
motional_dephasing,Motional dephasing,0.0,0.0,rates_d9ef54501046f3fe,3.0,YY,2,correlated,-1.581090748984585e-08,0.0
motional_dephasing,Motional dephasing,0.0,0.0,rates_d9ef54501046f3fe,3.0,YZ,2,correlated,-1.9311994958363274e-08,2.540799106562862e-08
motional_dephasing,Motional dephasing,0.0,0.0,rates_d9ef54501046f3fe,3.0,ZI,1,local,6.000956549058769e-10,0.00014060085188337192
motional_dephasing,Motional dephasing,0.0,0.0,rates_d9ef54501046f3fe,3.0,ZX,2,correlated,-7.4011437307948745e-09,0.00010522690852763625
motional_dephasing,Motional dephasing,0.0,0.0,rates_d9ef54501046f3fe,3.0,ZY,2,correlated,-4.89091441444561e-09,0.0
