noise_source,noise_title,multiplier,varied_strength_s^-1,condition_id,nbar,pauli,pauli_weight,mode_class,h_rad_per_gate,gamma_per_gate,rank_within_class
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,1.0,ZI,1,local,-1.7050086520761857e-10,0.000150412931033508,3
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,2.0,XX,2,correlated,0.04378607400956264,0.0014096330038982422,1
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,2.0,YX,2,correlated,-4.24098111907864e-09,0.00014388487290685394,2
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,2.0,XY,2,correlated,-4.457429891665144e-09,0.00014388413279541046,3
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,2.0,IX,1,local,3.413537573299013e-08,0.0010484740310881548,1
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,2.0,XI,1,local,3.9278508768745655e-08,0.0010484703730494812,2
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,2.0,ZI,1,local,1.2788978431709174e-10,0.00014388045189080417,3
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,3.0,XX,2,correlated,0.05845721479138188,0.00265213362979613,1
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,3.0,XY,2,correlated,-5.117752471195669e-09,0.00014061869900206932,2
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,3.0,YX,2,correlated,-4.374262475834162e-09,0.0001406180518767772,3
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,3.0,IX,1,local,6.379573810912339e-09,0.0013247896726901606,1
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,3.0,XI,1,local,6.479135085502236e-09,0.0013247835348382862,2
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,3.0,ZI,1,local,1.8506944888995047e-10,0.0001406294945685048,3
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,4.0,XX,2,correlated,0.0728304964221806,0.004226963679209137,1
