condition_id,nbar,F_avg,infidelity,motional_heating_s^-1,motional_dephasing_s^-1,spin_dephasing_s^-1,photon_scattering_s^-1,is_all_noise_zero
rates_65e4c1ad12cf1435,4.0,0.9888891033794167,0.011110896620583288,0.0,18.0,0.0,0.0,False
rates_6d2ebea4f1e4f35a,0.01,0.9991196695921015,0.0008803304078984775,10.0,9.0,0.0,0.0,False
rates_6d2ebea4f1e4f35a,1.0,0.9977463667878432,0.0022536332121567693,10.0,9.0,0.0,0.0,False
rates_6d2ebea4f1e4f35a,2.0,0.9957174599605499,0.004282540039450056,10.0,9.0,0.0,0.0,False
rates_6d2ebea4f1e4f35a,3.0,0.9931073159631854,0.006892684036814645,10.0,9.0,0.0,0.0,False
rates_6d2ebea4f1e4f35a,4.0,0.9899701539550364,0.010029846044963597,10.0,9.0,0.0,0.0,False
rates_70251d48c79bc447,0.01,0.9995094909961214,0.000490509003878592,0.0,9.0,0.0,0.0,False
rates_70251d48c79bc447,1.0,0.998128025993462,0.0018719740065380464,0.0,9.0,0.0,0.0,False
rates_70251d48c79bc447,2.0,0.9960908837477913,0.003909116252208689,0.0,9.0,0.0,0.0,False
rates_70251d48c79bc447,3.0,0.9934725028927254,0.006527497107274627,0.0,9.0,0.0,0.0,False
rates_70251d48c79bc447,4.0,0.9903271976598063,0.009672802340193742,0.0,9.0,0.0,0.0,False
rates_7283b228c09abbcb,0.01,0.9997512358559154,0.0002487641440845,0.0,0.0,0.0,0.0,True
rates_7283b228c09abbcb,1.0,0.9986981211971412,0.0013018788028587,0.0,0.0,0.0,0.0,True
rates_7283b228c09abbcb,2.0,0.9969741070254264,0.0030258929745734,0.0,0.0,0.0,0.0,True
rates_7283b228c09abbcb,3.0,0.9946495746839944,0.0053504253160057,0.0,0.0,0.0,0.0,True
rates_7283b228c09abbcb,4.0,0.9917785629991532,0.0082214370008468,0.0,0.0,0.0,0.0,True
rates_7affb8fbc133d6bd,0.01,0.9993145272761368,0.0006854727238632119,5.0,9.0,0.0,0.0,False
rates_7affb8fbc133d6bd,1.0,0.9979371286902914,0.0020628713097086138,5.0,9.0,0.0,0.0,False
rates_7affb8fbc133d6bd,2.0,0.9959041364170587,0.004095863582941339,5.0,9.0,0.0,0.0,False
rates_7affb8fbc133d6bd,3.0,0.9932898374425315,0.00671016255746848,5.0,9.0,0.0,0.0,False
rates_7affb8fbc133d6bd,4.0,0.9901486092639571,0.009851390736042909,5.0,9.0,0.0,0.0,False
rates_7f1e3dd0f07550fa,0.01,0.9987865373138376,0.0012134626861624032,0.0,36.0,0.0,0.0,False
rates_7f1e3dd0f07550fa,1.0,0.9964299742270327,0.003570025772967278,0.0,36.0,0.0,0.0,False
rates_7f1e3dd0f07550fa,2.0,0.9934706263304172,0.006529373669582839,0.0,36.0,0.0,0.0,False
rates_7f1e3dd0f07550fa,3.0,0.9899932265837268,0.010006773416273207,0.0,36.0,0.0,0.0,False
rates_7f1e3dd0f07550fa,4.0,0.9860518592180523,0.013948140781947727,0.0,36.0,0.0,0.0,False
rates_8142d8384202664f,0.01,0.9974390023970369,0.002560997602963133,10.0,72.0,0.0,0.0,False
rates_8142d8384202664f,1.0,0.9938160240549199,0.0061839759450801335,10.0,72.0,0.0,0.0,False
rates_8142d8384202664f,2.0,0.9896761001883441,0.010323899811655934,10.0,72.0,0.0,0.0,False
rates_8142d8384202664f,3.0,0.9851137097823972,0.014886290217602793,10.0,72.0,0.0,0.0,False
rates_8142d8384202664f,4.0,0.9801791774364599,0.01982082256354012,10.0,72.0,0.0,0.0,False
rates_935232b07d52685d,0.01,0.999073228791015,0.0009267712089849889,5.0,18.0,0.0,0.0,False
rates_935232b07d52685d,1.0,0.9973693483754044,0.002630651624595637,5.0,18.0,0.0,0.0,False
rates_935232b07d52685d,2.0,0.9950262693562759,0.004973730643724084,5.0,18.0,0.0,0.0,False
rates_935232b07d52685d,3.0,0.992122067292432,0.00787793270756798,5.0,18.0,0.0,0.0,False
rates_935232b07d52685d,4.0,0.9887112258037721,0.011288774196227869,5.0,18.0,0.0,0.0,False
