n_bar,phonon_dim,raw_trace_real,raw_trace_imag,trace_normalized_hermiticity_fro,convention_error_fro,dimension,choi_trace,expected_choi_trace_for_tp,choi_trace_error,tp_frobenius_error,tp_max_abs_error,min_choi_eigenvalue,negative_choi_eigenvalue_count,tp_pass,cp_pass,path
14.0,242,16.000000000000007,-1.1229100569381807e-18,2.8826402085446873e-16,0.0,4,4.000000000000002,4,1.7763568615836167e-15,5.211193730531234e-15,1.9984018590198348e-15,-7.759675371546137e-08,1,True,False,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_14p0.npz
14.25,247,15.999999999999996,-2.73810017644853e-18,3.1393584393860884e-16,0.0,4,3.9999999999999982,4,1.77635697129727e-15,7.997001282680617e-15,3.944589157689867e-15,-9.847949020767598e-08,1,True,False,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_14p25.npz
14.5,251,16.000000000000007,-3.8009941763546685e-19,3.4289342006890026e-16,0.0,4,4.000000000000003,4,2.6645352607942218e-15,9.352220167200756e-15,3.969214025569059e-15,3.7393542269140434e-09,0,True,True,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_14p5.npz
14.75,256,16.000000000000007,1.2727819813547311e-18,3.91408985991693e-16,0.0,4,4.000000000000001,4,8.881784766952436e-16,5.998986055518979e-15,2.4212486018214143e-15,-4.782242162228049e-08,1,True,False,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_14p75.npz
15.0,260,15.999999999999996,-2.3098195560833808e-18,2.358238518600086e-16,0.0,4,3.999999999999999,4,8.881786074154107e-16,7.316063385368542e-15,3.322172201834113e-15,-1.249334926722888e-07,1,True,False,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_15p0.npz
15.25,265,15.999999999999995,-2.468807392128829e-18,3.1582905492549294e-16,0.0,4,3.9999999999999982,4,1.776356946624903e-15,7.330083696306423e-15,3.2196468978992523e-15,-2.451925864283617e-07,1,True,False,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_15p25.npz
15.5,270,15.999999999999998,-1.5041162745449862e-18,3.2022633227984125e-16,0.0,4,3.999999999999999,4,8.881784993047627e-16,6.258985535215299e-15,3.003134867699336e-15,-1.4493792213904046e-07,1,True,False,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_15p5.npz
15.75,274,16.0,-1.709006896021628e-18,2.638125198837911e-16,0.0,4,3.9999999999999996,4,4.440894153764568e-16,6.130135368593557e-15,3.1454092218868493e-15,-3.9111002781749495e-07,1,True,False,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_15p75.npz
16.0,279,15.999999999999998,-6.736592823036972e-18,4.3160014978217955e-16,0.0,4,4.0,4,1.684141312203034e-18,7.195692805419875e-15,3.1086244821998522e-15,-8.181232985552037e-09,1,True,False,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_16p0.npz
16.25,284,15.999999999999982,1.6358191444950667e-18,3.4869051607880275e-16,0.0,4,3.999999999999996,4,3.996802909576423e-15,1.3163229436511408e-14,5.995204502300453e-15,-5.510968306608682e-08,1,True,False,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_16p25.npz
16.5,288,16.000000000000004,-6.248588521674575e-19,2.8523308869000135e-16,0.0,4,4.0,4,1.5619914914661845e-19,4.485644387151541e-15,2.109423966165692e-15,-5.726902258436711e-08,1,True,False,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_16p5.npz
16.75,293,15.999999999999996,5.358939229261543e-18,2.5252827707965433e-16,0.0,4,3.999999999999999,4,8.881794301512111e-16,8.052472658652216e-15,2.7624974134013516e-15,-8.695659533017057e-08,1,True,False,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_16p75.npz
17.0,298,15.999999999999995,1.111877154239691e-18,2.92680079867745e-16,0.0,4,3.9999999999999996,4,4.440892968422352e-16,9.342566593545475e-15,4.251045266069783e-15,-4.141623889587613e-07,1,True,False,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_17p0.npz
17.25,302,15.999999999999998,-7.054661552946781e-19,2.9440868240707675e-16,0.0,4,4.0,4,1.7638268328097e-19,7.798313610664531e-15,4.088575148186182e-15,-4.5884110293996376e-07,1,True,False,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_17p25.npz
17.5,307,15.999999999999988,6.728542856411971e-18,2.867961071639572e-16,0.0,4,3.999999999999997,4,3.108624924066472e-15,7.83071127757641e-15,3.711150109824271e-15,-4.166411335919619e-08,1,True,False,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_17p5.npz
17.75,312,16.000000000000007,-3.199845629265431e-18,2.629926366861066e-16,0.0,4,4.000000000000002,4,1.776357019530257e-15,8.249031380665133e-15,3.4099357156797582e-15,-3.829876823673505e-07,1,True,False,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_17p75.npz
18.0,317,15.999999999999998,3.514169298951906e-18,2.7657312726724088e-16,0.0,4,4.000000000000001,4,8.881788541980949e-16,7.411618695985958e-15,3.0436364816617976e-15,-4.7404364392288994e-07,1,True,False,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_18p0.npz
18.25,321,16.0,3.8412772518005416e-18,2.997460578588442e-16,0.0,4,3.9999999999999996,4,4.4409024817851015e-16,6.824444198062401e-15,3.441691402325922e-15,9.213060540458483e-08,0,True,True,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_18p25.npz
18.5,326,16.0,5.065376345384077e-18,3.0254676222222955e-16,0.0,4,4.0,4,1.2663355538397918e-18,1.2658361989524154e-14,5.107025947565301e-15,-4.016028852209739e-08,1,True,False,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_18p5.npz
18.75,331,16.000000000000007,2.5683123472081626e-18,2.9929116061065897e-16,0.0,4,4.000000000000003,4,2.6645353364609433e-15,4.912114473262651e-15,1.88913233306851e-15,1.7636090365598593e-07,0,True,True,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_18p75.npz
19.0,335,15.99999999999999,-3.857102871279906e-18,2.477808349804574e-16,0.0,4,3.9999999999999973,4,2.6645354335761062e-15,9.018078255519219e-15,4.440892233064591e-15,-6.700578888019944e-07,1,True,False,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_19p0.npz
19.25,340,16.000000000000014,3.5424613574430574e-18,2.772767395978377e-16,0.0,4,4.0000000000000036,4,3.552713789183506e-15,1.2670597284791482e-14,6.217248938509153e-15,-6.877848380786214e-07,1,True,False,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_19p25.npz
19.5,345,16.0,-6.14958699647086e-18,2.767528271294684e-16,0.0,4,4.0,4,1.5374055973376692e-18,4.698263129956704e-15,2.0692897466007556e-15,1.5077842218616278e-07,0,True,True,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_19p5.npz
19.75,350,16.00000000000001,2.2118522134405098e-18,2.568161102446184e-16,0.0,4,4.000000000000003,4,2.66453531647682e-15,1.0127385771384868e-14,4.006352307958366e-15,-1.4926630228007763e-06,1,True,False,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_19p75.npz
20.0,354,15.999999999999982,-6.598772383770391e-18,2.274022897205644e-16,0.0,4,3.999999999999996,4,3.9968032291075924e-15,8.848375998333996e-15,5.8841822680841555e-15,-7.078295162123402e-07,1,True,False,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_20p0.npz
