rank,component,row_pauli,column_pauli,is_diagonal,max_abs_over_sweep,mean_abs_over_sweep
104,"ZX,ZY",ZX,ZY,False,8.522905919131286e-08,1.0763310766488404e-08
105,"ZI,ZZ",ZI,ZZ,False,8.266866708445001e-08,1.3116730758379335e-08
106,"IZ,ZY",IZ,ZY,False,8.259151399454254e-08,1.4362152237042538e-08
107,"II,IZ",II,IZ,False,8.12521927827391e-08,1.491312990116096e-08
108,"XZ,YZ",XZ,YZ,False,7.791276509365107e-08,1.2148909553334491e-08
109,"IX,ZI",IX,ZI,False,7.781686973936925e-08,1.2279606850094708e-08
110,"IX,ZX",IX,ZX,False,7.767205603846852e-08,1.254161955967883e-08
111,"IY,XI",IY,XI,False,7.747676344437514e-08,1.3215154940409149e-08
112,"YZ,ZX",YZ,ZX,False,7.729849104057653e-08,1.3190416456404212e-08
113,"YY,ZX",YY,ZX,False,7.580678128361887e-08,1.4153079012544955e-08
114,"XX,ZI",XX,ZI,False,7.412330784988017e-08,1.2489536806685311e-08
115,"XZ,YY",XZ,YY,False,7.393781254313807e-08,1.356128350544086e-08
116,"IZ,YY",IZ,YY,False,7.255703140184056e-08,1.2529365618878957e-08
117,"XX,YI",XX,YI,False,7.22983744357603e-08,1.1815099802837751e-08
118,"XZ,ZY",XZ,ZY,False,7.077632798813039e-08,1.3585897163734025e-08
119,"IX,YI",IX,YI,False,7.014556703939545e-08,1.3281538936687897e-08
120,"IZ,ZZ",IZ,ZZ,False,6.527379059704433e-08,1.4558759241044834e-08
121,"XZ,YI",XZ,YI,False,5.764128586921827e-08,1.0156228145736896e-08
122,"IY,ZX",IY,ZX,False,5.7640794671315605e-08,1.0156024734508167e-08
123,"IZ,ZI",IZ,ZI,False,5.358248253428678e-08,1.2420820129623291e-08
124,"XY,YX",XY,YX,False,5.358245349848524e-08,1.2420608444915462e-08
125,"IZ,YX",IZ,YX,False,5.2306423476684677e-08,1.0049443914915771e-08
126,"XY,ZI",XY,ZI,False,5.2306423473215415e-08,1.0049443913759872e-08
127,"IZ,YI",IZ,YI,False,4.9554002278601315e-08,1.1042356684653034e-08
128,"XZ,ZI",XZ,ZI,False,4.9554002266905934e-08,1.1042356683958185e-08
129,"IY,YX",IY,YX,False,4.955397324938724e-08,1.1042040320803973e-08
130,"XY,ZX",XY,ZX,False,4.9553973233112516e-08,1.1042040322004771e-08
131,"XY,YI",XY,YI,False,4.0107649686095795e-08,9.775320479590542e-09
132,"XZ,YX",XZ,YX,False,4.0107649683829976e-08,9.775320477280033e-09
133,"IY,ZI",IY,ZI,False,4.010718474102384e-08,9.775281761656467e-09
134,"IZ,ZX",IZ,ZX,False,4.0107184733804285e-08,9.775281756819477e-09
135,"XZ,ZX",XZ,ZX,False,1.8933806551907548e-08,3.872014240113795e-09
136,"IY,YI",IY,YI,False,1.893380654869559e-08,3.8720142398804166e-09
