n_bar,row_pauli,column_pauli,component,is_diagonal,real,imag,abs
0.01,IZ,ZZ,"IZ,ZZ",False,2.8656663916826205e-09,-8.909048132847062e-11,2.867050920769045e-09
0.01,XI,XI,"XI,XI",True,0.000548965783244119,-2.610433698593954e-17,0.000548965783244119
0.01,XI,XX,"XI,XX",False,1.368778999800048e-10,2.25550681203184e-09,2.2596562877183268e-09
0.01,XI,XY,"XI,XY",False,1.2517841889866143e-09,-4.52642844482094e-09,4.696330282452565e-09
0.01,XI,XZ,"XI,XZ",False,4.365208858308134e-09,-9.773720404662507e-11,4.366302891200593e-09
0.01,XI,YI,"XI,YI",False,2.111109321768619e-10,6.159140507181784e-11,2.199120889430691e-10
0.01,XI,YX,"XI,YX",False,-3.4077115563836504e-10,-1.8557280818395296e-09,1.8867569250549807e-09
0.01,XI,YY,"XI,YY",False,3.3551004932843736e-09,1.667088882931014e-10,3.359239671930684e-09
0.01,XI,YZ,"XI,YZ",False,2.4538863569018245e-17,1.902693985412997e-09,1.902693985412997e-09
0.01,XI,ZI,"XI,ZI",False,2.8415133916814677e-10,-1.0877727595825124e-08,1.0881438307159881e-08
0.01,XI,ZX,"XI,ZX",False,4.769249773345407e-09,-2.082906803088975e-11,4.769295257229338e-09
0.01,XI,ZY,"XI,ZY",False,-5.125717840025849e-11,-1.339832343921592e-11,5.2979367762722205e-11
0.01,XI,ZZ,"XI,ZZ",False,1.4658050381140408e-09,1.1545177388504596e-10,1.4703446949112675e-09
0.01,XX,XX,"XX,XX",True,0.00035262921782854706,-3.4228846858099593e-17,0.00035262921782854706
0.01,XX,XY,"XX,XY",False,-8.246510940308333e-11,4.678204788832741e-09,4.678931559718144e-09
0.01,XX,XZ,"XX,XZ",False,-4.516985184600479e-09,1.2670562630241715e-09,4.691331019185174e-09
0.01,XX,YI,"XX,YI",False,2.945872061441399e-10,-9.498082386914229e-10,9.944432172376223e-10
0.01,XX,YX,"XX,YX",False,4.9835521709867647e-11,-6.526559431785374e-10,6.545558489467197e-10
0.01,XX,YY,"XX,YY",False,-4.807507003601331e-09,-1.0808980852603378e-17,4.807507003601331e-09
0.01,XX,YZ,"XX,YZ",False,-1.6670887160836077e-10,-3.3551005972949956e-09,3.3592397749851335e-09
0.01,XX,ZI,"XX,ZI",False,-1.963713478121427e-09,-2.5354810265221242e-11,1.9638771577059848e-09
0.01,XX,ZX,"XX,ZX",False,3.0691367649032677e-10,1.1138673954462002e-08,1.1142901483394124e-08
0.01,XX,ZY,"XX,ZY",False,-1.1545172725171012e-10,-1.4390085238373703e-09,1.4436324438727507e-09
0.01,XX,ZZ,"XX,ZZ",False,-1.3398220440009534e-11,-2.8216073748310594e-10,2.824786612966886e-10
0.01,XY,XY,"XY,XY",True,0.00017421254453190568,2.0611343631978294e-17,0.00017421254453190568
0.01,XY,XZ,"XY,XZ",False,-1.1455375281693078e-09,1.2433833896634555e-09,1.6906384835721775e-09
0.01,XY,YI,"XY,YI",False,-3.378020845268005e-09,3.469112386301308e-10,3.3957874254071117e-09
0.01,XY,YX,"XY,YX",False,4.8398708513142105e-09,-1.4516670119267016e-17,4.8398708513142105e-09
0.01,XY,YY,"XY,YY",False,-6.732030430101714e-11,2.8523471223840255e-09,2.8531414493402904e-09
0.01,XY,YZ,"XY,YZ",False,-1.0653640890545038e-09,-4.655135684229984e-10,1.16262785302643e-09
0.01,XY,ZI,"XY,ZI",False,-7.450794755475833e-10,-7.903583115666858e-14,7.450794797395272e-10
0.01,XY,ZX,"XY,ZX",False,3.981683223213593e-10,1.4619288150817444e-09,1.5151811354641791e-09
0.01,XY,ZY,"XY,ZY",False,-1.4000994541305537e-09,-1.2994563352687411e-08,1.3069772576769014e-08
0.01,XY,ZZ,"XY,ZZ",False,2.9901275726273995e-10,1.97719054560589e-09,1.9996727438856547e-09
0.01,XZ,XZ,"XZ,XZ",True,7.136853801463481e-05,2.6976314323264173e-17,7.136853801463481e-05
0.01,XZ,YI,"XZ,YI",False,1.3581300713379671e-17,1.9161707798885765e-09,1.9161707798885765e-09
0.01,XZ,YX,"XZ,YX",False,3.469112240400773e-10,-3.3780208829074874e-09,3.3957874613591568e-09
0.01,XZ,YY,"XZ,YY",False,1.740172526560368e-09,-2.0481508099595151e-10,1.7521842481882072e-09
0.01,XZ,YZ,"XZ,YZ",False,-1.9362603558481545e-10,-4.827227054971722e-11,1.995526340600828e-10
0.01,XZ,ZI,"XZ,ZI",False,1.4617707542110123e-09,3.9816828670273815e-10,1.5150286209845759e-09
0.01,XZ,ZX,"XZ,ZX",False,7.904867217614973e-14,-5.125717591424843e-11,5.125723686853187e-11
0.01,XZ,ZY,"XZ,ZY",False,3.831422544953602e-11,4.782727254717273e-09,4.782880719073728e-09
0.01,XZ,ZZ,"XZ,ZZ",False,-1.4039756037001468e-09,1.2733616926693488e-08,1.2810782471479254e-08
0.01,YI,YI,"YI,YI",True,7.138453937597496e-05,3.041487381616123e-17,7.138453937597496e-05
0.01,YI,YX,"YI,YX",False,1.7430429506781685e-10,2.1707694762157398e-09,2.1777562090714025e-09
0.01,YI,YY,"YI,YY",False,-1.2727936429643542e-08,1.0106681069646558e-09,1.2767999678081243e-08
0.01,YI,YZ,"YI,YZ",False,-4.3785281339527e-09,1.4971946978415398e-10,4.381087141275298e-09
0.01,YI,ZI,"YI,ZI",False,7.264672058302465e-10,8.774979004318705e-10,1.1391914529213897e-09
0.01,YI,ZX,"YI,ZX",False,3.981891788543316e-05,1.3671660689713982e-08,3.981892023248715e-05
0.01,YI,ZY,"YI,ZY",False,4.487474278481357e-10,-8.142781090008312e-11,4.5607536919712893e-10
0.01,YI,ZZ,"YI,ZZ",False,1.9677941434468958e-10,-6.775620505351951e-10,7.055582684904892e-10
0.01,YX,YX,"YX,YX",True,0.00017421330668958987,-8.895411963508567e-18,0.00017421330668958987
0.01,YX,YY,"YX,YY",False,3.048269612864659e-11,2.3666351309237225e-09,2.3668314341510712e-09
0.01,YX,YZ,"YX,YZ",False,1.001224946917267e-09,-1.2847173139357543e-08,1.2886128552321657e-08
0.01,YX,ZI,"YX,ZI",False,-6.001845445663272e-05,-1.3671660559901077e-08,6.001845601377295e-05
0.01,YX,ZX,"YX,ZX",False,7.485703053282003e-10,-8.774977690095682e-10,1.1534122578835047e-09
0.01,YX,ZY,"YX,ZY",False,1.3391994080716236e-09,-3.1684053718386845e-10,1.3761696772499928e-09
0.01,YX,ZZ,"YX,ZZ",False,2.0148887246163044e-10,2.465508884719355e-09,2.473728325090679e-09
0.01,YY,YY,"YY,YY",True,6.396894500909635e-08,-2.3168710498787663e-17,6.396894500909635e-08
0.01,YY,YZ,"YY,YZ",False,-1.0913397910712348e-09,1.2808092191939752e-09,1.6827046073353715e-09
0.01,YY,ZI,"YY,ZI",False,2.452031858183853e-09,1.0300781928818117e-10,2.454194540859193e-09
0.01,YY,ZX,"YY,ZX",False,-6.640850926498062e-10,2.9526074645426875e-10,7.267653807635815e-10
0.01,YY,ZY,"YY,ZY",False,7.122494284499738e-10,-1.1044665434365395e-09,1.3142091134587264e-09
0.01,YY,ZZ,"YY,ZZ",False,6.573028785595172e-09,1.6042120699541477e-08,1.7336503221668432e-08
0.01,YZ,YZ,"YZ,YZ",True,4.673118201935275e-08,-3.556828708802352e-17,4.673118201935275e-08
0.01,YZ,ZI,"YZ,ZI",False,2.183595515036464e-10,-1.3257217568765052e-09,1.3435844113373009e-09
0.01,YZ,ZX,"YZ,ZX",False,1.7990902990786317e-10,-4.622249369213672e-10,4.960031767583251e-10
0.01,YZ,ZY,"YZ,ZY",False,6.5730287480478955e-09,-1.7969647146062246e-09,6.814234300947093e-09
0.01,YZ,ZZ,"YZ,ZZ",False,4.5590578101990403e-10,1.1044664132244292e-09,1.194862393377666e-09
0.01,ZI,ZI,"ZI,ZI",True,0.00017422213650430954,3.773205792592776e-17,0.00017422213650430954
0.01,ZI,ZX,"ZI,ZX",False,-1.7430395104541735e-10,2.147809480522942e-09,2.154870629985539e-09
0.01,ZI,ZY,"ZI,ZY",False,1.2747538067700923e-08,9.879057999840078e-10,1.2785761012044853e-08
0.01,ZI,ZZ,"ZI,ZZ",False,2.379954372466742e-09,-1.3011782744401257e-10,2.383508645682309e-09
0.01,ZX,ZX,"ZX,ZX",True,7.136352866210734e-05,3.5090495178722106e-17,7.136352866210734e-05
0.01,ZX,ZY,"ZX,ZY",False,-5.0084380989841956e-11,-4.365208848817977e-09,4.3654961618374954e-09
0.01,ZX,ZZ,"ZX,ZZ",False,9.973487826296798e-10,1.282757154054828e-08,1.2866285253409278e-08
0.01,ZY,ZY,"ZY,ZY",True,4.195861894823751e-08,-3.659827968127662e-17,4.195861894823751e-08
0.01,ZY,ZZ,"ZY,ZZ",False,-1.3462317781752694e-09,-1.2808094684844463e-09,1.858174613734769e-09
0.01,ZZ,ZZ,"ZZ,ZZ",True,8.88397929874052e-08,2.4523422815092445e-18,8.88397929874052e-08
0.25,II,II,"II,II",True,0.9971270828430076,-1.78701044905912e-17,0.9971270828430076
0.25,II,IX,"II,IX",False,-1.3867678644669686e-09,-4.445334302611464e-09,4.656621325799686e-09
0.25,II,IY,"II,IY",False,-3.4712953465693507e-09,-6.779980429788432e-10,3.5368874352171813e-09
0.25,II,IZ,"II,IZ",False,3.1319973003984813e-09,-1.5102778003330033e-10,3.1356365350667098e-09
0.25,II,XI,"II,XI",False,7.140580807907715e-10,1.6433383342837565e-09,1.7917700253294537e-09
0.25,II,XX,"II,XX",False,-0.0006517854203881997,0.01736249581953583,0.01737472547459757
0.25,II,XY,"II,XY",False,2.1159029736650403e-10,4.352055075503404e-09,4.357195638728491e-09
0.25,II,XZ,"II,XZ",False,-1.1686505561156158e-09,4.102338252267326e-10,1.2385620346472337e-09
0.25,II,YI,"II,YI",False,-5.471006790703783e-09,1.202660961640281e-09,5.601634466169712e-09
0.25,II,YX,"II,YX",False,6.506331931555032e-11,2.929765301618991e-10,3.00114116205925e-10
0.25,II,YY,"II,YY",False,2.8808171966638804e-11,4.852952727174564e-10,4.861495783130639e-10
0.25,II,YZ,"II,YZ",False,-3.092622483310745e-10,-3.1231780430778836e-09,3.138452521069355e-09
0.25,II,ZI,"II,ZI",False,4.4180736846755053e-10,4.529705499404482e-11,4.4412337702867597e-10
