time,baseline_amplitude,optimized_amplitude,detuning
0.0,0.125,0.18376484435165596,0.5
0.031415926535897934,0.125,0.18336548913425801,0.5
0.06283185307179587,0.125,0.18296613391686006,0.5
0.0942477796076938,0.125,0.18256677869946214,0.5
0.12566370614359174,0.125,0.1821674234820642,0.5
0.15707963267948966,0.125,0.18176806826466624,0.5
0.1884955592153876,0.125,0.1813687130472683,0.5
0.21991148575128555,0.125,0.18096935782987036,0.5
0.25132741228718347,0.125,0.1805700026124724,0.5
0.2827433388230814,0.125,0.18017064739507446,0.5
0.3141592653589793,0.125,0.1797712921776765,0.5
0.3455751918948773,0.125,0.17937193696027856,0.5
0.3769911184307752,0.125,0.17897258174288064,0.5
0.4084070449666731,0.125,0.1785732265254827,0.5
0.4398229715025711,0.125,0.17817387130808474,0.5
0.471238898038469,0.125,0.17777451609068678,0.5
0.5026548245743669,0.125,0.17737516087328886,0.5
0.5340707511102649,0.125,0.1769758056558909,0.5
0.5654866776461628,0.125,0.17657645043849296,0.5
0.5969026041820608,0.125,0.176177095221095,0.5
0.6283185307179586,0.125,0.17577774000369706,0.5
0.6597344572538566,0.125,0.17537838478629914,0.5
0.6911503837897546,0.125,0.17497902956890118,0.5
0.7225663103256524,0.125,0.17457967435150323,0.5
0.7539822368615504,0.125,0.17418031913410528,0.5
0.7853981633974484,0.125,0.17378096391670733,0.5
0.8168140899333463,0.125,0.1733816086993094,0.5
0.8482300164692442,0.125,0.17298225348191146,0.5
0.8796459430051422,0.125,0.1725828982645135,0.5
0.9110618695410401,0.125,0.17218354304711556,0.5
0.942477796076938,0.125,0.17178418782971763,0.5
0.9738937226128359,0.125,0.17138483261231968,0.5
1.0053096491487339,0.125,0.17098547739492173,0.5
1.0367255756846319,0.125,0.17058612217752378,0.5
1.0681415022205298,0.125,0.17018676696012583,0.5
1.0995574287564276,0.125,0.1697874117427279,0.5
1.1309733552923256,0.125,0.16938805652532996,0.5
1.1623892818282235,0.125,0.168988701307932,0.5
1.1938052083641215,0.125,0.16858934609053405,0.5
1.2252211349000195,0.125,0.16818999087313613,0.5
1.2566370614359172,0.125,0.16779063565573818,0.5
1.2880529879718152,0.125,0.16739128043834023,0.5
1.3194689145077132,0.125,0.16699192522094228,0.5
1.3508848410436112,0.125,0.16659257000354433,0.5
1.3823007675795091,0.125,0.1661932147861464,0.5
1.4137166941154071,0.125,0.16579385956874845,0.5
1.4451326206513049,0.125,0.1653945043513505,0.5
1.4765485471872029,0.125,0.16499514913395255,0.5
1.5079644737231008,0.125,0.1645957939165546,0.5
1.5393804002589988,0.125,0.16419643869915668,0.5
1.5707963267948968,0.125,0.1637970834817587,0.5
1.6022122533307945,0.125,0.16052114181212354,0.5
1.6336281798666925,0.125,0.15724520014248836,0.5
1.6650441064025905,0.125,0.1539692584728532,0.5
1.6964600329384885,0.125,0.150693316803218,0.5
1.7278759594743864,0.125,0.14741737513358283,0.5
1.7592918860102844,0.125,0.14414143346394764,0.5
1.7907078125461822,0.125,0.1408654917943125,0.5
1.8221237390820801,0.125,0.13758955012467733,0.5
1.8535396656179781,0.125,0.13431360845504214,0.5
1.884955592153876,0.125,0.13103766678540696,0.5
1.916371518689774,0.125,0.12776172511577177,0.5
1.9477874452256718,0.125,0.12448578344613662,0.5
1.9792033717615698,0.125,0.12120984177650143,0.5
2.0106192982974678,0.125,0.11793390010686626,0.5
2.0420352248333655,0.125,0.1146579584372311,0.5
2.0734511513692637,0.125,0.1113820167675959,0.5
2.1048670779051615,0.125,0.10810607509796075,0.5
2.1362830044410597,0.125,0.10483013342832555,0.5
2.1676989309769574,0.125,0.10155419175869039,0.5
2.199114857512855,0.125,0.09827825008905523,0.5
2.2305307840487534,0.125,0.09500230841942003,0.5
2.261946710584651,0.125,0.09172636674978488,0.5
2.2933626371205493,0.125,0.08845042508014968,0.5
2.324778563656447,0.125,0.08517448341051452,0.5
2.356194490192345,0.125,0.08189854174087936,0.5
2.387610416728243,0.125,0.07862260007124415,0.5
2.419026343264141,0.125,0.075346658401609,0.5
2.450442269800039,0.125,0.0720707167319738,0.5
2.4818581963359367,0.125,0.06879477506233864,0.5
2.5132741228718345,0.125,0.06551883339270348,0.5
2.5446900494077327,0.125,0.06224289172306828,0.5
2.5761059759436304,0.125,0.05896695005343312,0.5
2.6075219024795286,0.125,0.055691008383797924,0.5
2.6389378290154264,0.125,0.05241506671416277,0.5
2.6703537555513246,0.125,0.04913912504452757,0.5
2.7017696820872223,0.125,0.04586318337489241,0.5
2.73318560862312,0.125,0.04258724170525725,0.5
