pulse,mean_infidelity,nominal_infidelity,worst_infidelity,nominal_displacement_abs,nominal_geometric_phase,nominal_xx_angle,peak_amplitude,rms_amplitude
baseline,0.011348415105991314,2.086361083897259e-10,0.03732530137142853,5.551115123125783e-17,0.39269100711429983,0.7853820142285997,0.125,0.125
optimized,0.008503347011843545,3.3583395697700524e-07,0.028606362884799785,0.0001841674134066551,0.3925220311539065,0.785044062307813,0.18376484435165596,0.14038239757407103
