n_bar,baseline_fidelity,optimized_fidelity,baseline_infidelity,optimized_infidelity,infidelity_improvement,exact_chi_difference_fro,error_chi_difference_fro,baseline_error_chi_offdiag_norm,optimized_error_chi_offdiag_norm,baseline_pauli_error_probability,optimized_pauli_error_probability
0.01,0.9980532847021198,0.9980281470510697,0.0019467152978801527,0.0019718529489303194,-2.5137651050166632e-05,0.0008708390894577476,0.0008708390894577654,0.01942189319749236,0.01855984016797085,0.0024334555128890933,0.0024648690718668265
1.0,0.9963552056535928,0.9964236525929921,0.0036447943464071875,0.0035763474070078516,6.844693939933588e-05,0.0008499452048703382,0.0008499452048704449,0.04060790378006116,0.039791974598758634,0.004556062184322585,0.004470497535147833
4.0,0.9877182120538979,0.9880085252164029,0.01228178794610213,0.011991474783597078,0.00029031316250505146,0.0009149008020005454,0.0009149008020006143,0.10112026800258164,0.10047161228464765,0.015352291211701341,0.01498940170114138
