noise_source,noise_title,nbar,sector,mode,slope_per_rate_s,through_origin_relative_fit_residual,centered_R2_for_origin_fit,max_abs_coefficient_per_gate,max_abs_deviation_normalized_to_max_response,resolved_above_1e-7_per_gate
motional_heating,Motional heating/diffusion,0.01,H,IX,-1.8575040841177796e-10,0.8733241311084803,-1.6633165997741437,1.4709439969184754e-08,0.8737202716072726,False
motional_heating,Motional heating/diffusion,0.01,H,IY,-2.756327366845464e-10,0.38177824579370884,-0.5216939053163945,9.485936435852305e-09,0.47109532274335,False
motional_heating,Motional heating/diffusion,0.01,H,IZ,-3.485324409917082e-14,0.9997209165521578,-0.08825943838924477,4.8085694300859956e-11,1.0036240762045674,False
motional_heating,Motional heating/diffusion,0.01,H,XI,1.8481221589512466e-10,0.8436479317315171,0.25894374734264614,1.3543021997971017e-08,0.7149990900025889,False
motional_heating,Motional heating/diffusion,0.01,H,XX,7.728530719469905e-07,0.000642203341343157,0.9999987788201626,3.090303155123762e-05,0.000468303655323174,True
motional_heating,Motional heating/diffusion,0.01,H,XY,1.4181884198638685e-10,0.7759896923765343,-3.155121578510758,7.65603956112115e-09,0.907381067682454,False
motional_heating,Motional heating/diffusion,0.01,H,XZ,8.658603221422995e-11,0.7555727935178883,0.11132833515002061,4.801250093793847e-09,0.711964831167758,False
motional_heating,Motional heating/diffusion,0.01,H,YI,4.627288954756345e-12,0.9996794364787758,-0.00496388930552305,6.147188051778903e-09,0.9962362555726456,False
motional_heating,Motional heating/diffusion,0.01,H,YX,-1.4931857189836156e-10,0.8160218143438586,-1.1301585582704625,1.0341052344653507e-08,0.7112120373792292,False
motional_heating,Motional heating/diffusion,0.01,H,YY,1.857339727049057e-10,0.7358976036590722,0.09902593952323813,9.975996846748817e-09,0.6768960657439081,False
motional_heating,Motional heating/diffusion,0.01,H,YZ,4.7694493746106225e-11,0.7554151383845082,0.42369559496718867,2.657559453117113e-09,0.7248704395133596,False
motional_heating,Motional heating/diffusion,0.01,H,ZI,-5.767747837004323e-12,0.6399887499876492,-1.260425916305301,2.71881533856287e-10,0.5757161028778748,False
motional_heating,Motional heating/diffusion,0.01,H,ZX,9.350741881815636e-11,0.7399962076629841,0.09834440980477199,5.04486007799835e-09,0.6810807847267687,False
motional_heating,Motional heating/diffusion,0.01,H,ZY,2.3333879979707964e-10,0.44219649998496585,-4.098942216901414,7.4458087327910355e-09,0.5646816879055071,False
motional_heating,Motional heating/diffusion,0.01,H,ZZ,-2.7240610567451162e-17,0.9998944690159061,-0.034257161976641415,7.698024046755899e-14,1.0070772994217732,False
motional_heating,Motional heating/diffusion,0.01,S,IX,2.438100088174584e-05,1.0838375829238843e-05,0.999999999652687,0.000975235350424572,1.0384746213212753e-05,True
motional_heating,Motional heating/diffusion,0.01,S,IY,3.75204973856393e-11,0.8591158743302894,0.2585690254829055,2.7290368233463813e-09,0.6765843274343845,False
motional_heating,Motional heating/diffusion,0.01,S,IZ,6.587066709365507e-11,0.3188494795062103,0.7881534167157637,2.9500870427621485e-09,0.2666064830235002,False
motional_heating,Motional heating/diffusion,0.01,S,XI,2.4381217977776548e-05,2.6126179728162176e-05,0.9999999979818204,0.0009752345567071909,2.0108736348053185e-05,True
motional_heating,Motional heating/diffusion,0.01,S,XX,1.508437692539904e-08,0.010090597883295067,0.9996958539904967,6.002981445899907e-07,0.008660062648048665,True
motional_heating,Motional heating/diffusion,0.01,S,XY,-2.6352243080130615e-11,0.9429064329684197,-0.4820761404390028,3.5201789236709844e-09,0.9625697391360871,False
motional_heating,Motional heating/diffusion,0.01,S,XZ,8.304111185686372e-11,0.5372181705214509,0.6163445351034673,3.4411967118208467e-09,0.6116743787543398,False
motional_heating,Motional heating/diffusion,0.01,S,YI,5.203156634267943e-11,0.76382682802602,-0.2444599489902557,2.5708492849607417e-09,0.7976094256203199,False
motional_heating,Motional heating/diffusion,0.01,S,YX,2.8749080613488686e-11,0.8716943143186136,-1.189097228454115,2.4072100599469275e-09,0.8805709518590059,False
motional_heating,Motional heating/diffusion,0.01,S,YY,3.466628720615468e-11,0.9401663495756644,0.07959219650810023,3.217669015183767e-09,1.1077372689439744,False
motional_heating,Motional heating/diffusion,0.01,S,YZ,1.1740000375535896e-10,0.4741739720782862,0.7097978231933979,5.514658185505096e-09,0.4598125467586926,False
motional_heating,Motional heating/diffusion,0.01,S,ZI,8.187135881298214e-11,0.631429686897195,-0.0576892409049361,3.748910475090861e-09,0.6608438374994144,False
motional_heating,Motional heating/diffusion,0.01,S,ZX,5.744526703801956e-11,0.7222427216725127,0.15686510272609178,2.9634463401747592e-09,0.8061538477709304,False
motional_heating,Motional heating/diffusion,0.01,S,ZY,7.705760592977582e-11,0.8747693020852668,0.23123198100640863,6.067975477487097e-09,0.6207098802674043,False
motional_heating,Motional heating/diffusion,0.01,S,ZZ,1.3711794165741842e-10,0.5471840295804109,0.623689038575348,7.0006800954945225e-09,0.5228437331092429,False
motional_heating,Motional heating/diffusion,0.01,C,"IX,IY",4.8835254582775195e-11,0.5032606689871956,-1.0750417805256447,1.8539822785655611e-09,0.47318531414917986,False
motional_heating,Motional heating/diffusion,0.01,C,"IX,IZ",2.2774744326229894e-10,0.48843430251440656,-15.237510549936868,6.844569467125673e-09,0.5651083356067891,False
motional_heating,Motional heating/diffusion,0.01,C,"IX,XI",2.4381105393094394e-05,1.7174051137481797e-05,0.9999999991279421,0.0009752351667843592,1.1107539693703114e-05,True
motional_heating,Motional heating/diffusion,0.01,C,"IX,XX",2.8768831495971274e-10,0.46682511884450145,-1.8118351662581342,8.793619857660405e-09,0.6502388756775453,False
motional_heating,Motional heating/diffusion,0.01,C,"IX,XY",-1.5912534044066666e-10,0.7909343695639114,0.2119339463357809,9.763717462131493e-09,0.675369504153407,False
motional_heating,Motional heating/diffusion,0.01,C,"IX,XZ",-1.038329419472516e-10,0.30651750217125795,0.6110936771939028,3.531866776128934e-09,0.34524667182240304,False
motional_heating,Motional heating/diffusion,0.01,C,"IX,YI",4.208721562291539e-11,0.540611634877534,-1.5024622016444344,1.49235989637776e-09,0.5808524165634957,False
motional_heating,Motional heating/diffusion,0.01,C,"IX,YX",-6.90920959774921e-11,0.9544682961227869,0.06430727661957025,6.654650572596787e-09,1.1329063319425496,False
motional_heating,Motional heating/diffusion,0.01,C,"IX,YY",-9.803756616255528e-11,0.1548920754336969,0.926560685007673,3.6988078097764953e-09,0.1557537982520546,False
motional_heating,Motional heating/diffusion,0.01,C,"IX,YZ",5.778404997011373e-12,0.7925491422896086,-1.0258544259857225,3.35563885602791e-10,0.9139000761862184,False
