noise_source,noise_title,nbar,rate_multiplier,rate_s^-1,response_frobenius_norm,full_generator_cosine_to_nominal,stochastic_shape_cosine_to_nominal,H_shape_cosine_to_nominal,S_shape_cosine_to_nominal,C_shape_cosine_to_nominal,A_shape_cosine_to_nominal,leading_stochastic_eigenvalue_per_gate,leading_axis_overlap_with_collective_X,collective_X_rayleigh_coefficient_per_gate,collective_X_fraction_of_positive_stochastic_trace,S_IX_per_gate,S_XI_per_gate,C_IX_XI_per_gate,C_IX_XI_over_local_X_mean,C_IZ_XY_over_IZ_XY_S_mean,C_IY_XZ_over_IY_XZ_S_mean,S_IX_over_S_XI,S_XX_per_gate,H_XX_rad_per_gate
motional_heating,Motional heating/diffusion,0.01,0.0,0.0,0.0,,,,,,,0.0,0.7071067811865475,0.0,,0.0,0.0,0.0,,,,,0.0,0.0
motional_heating,Motional heating/diffusion,0.01,0.5,5.0,0.0015424079832266075,0.9999999856656273,0.999999989670218,0.9999934608438014,0.9999999993020804,0.9999999865776967,0.3967980798992439,0.00024382660226102221,0.9999999978865681,0.00024382660123042674,0.9995992321173146,0.00012190847558260878,0.0001219182826446421,0.00012191322211680135,0.9999987122264575,0.547638283109882,0.2292009806189931,0.9999195603660043,7.338267205869074e-08,3.871217714531641e-06
motional_heating,Motional heating/diffusion,0.01,1.0,10.0,0.0030848172967324447,1.0,0.9999999999999999,0.9999999999999998,1.0,1.0,0.9999999999999999,0.0004876435614862609,0.9999999996592144,0.000487643561153936,0.9996372747466064,0.00024382013638907073,0.0002438235115462131,0.00024382173718629413,0.9999996440788343,2.432000118462852,1.098187013570571,0.9999861573762063,1.537738661627133e-07,7.740475843367532e-06
motional_heating,Motional heating/diffusion,0.01,2.0,20.0,0.006169546559878273,0.9999999984401189,0.999999999122299,0.9999986067218619,0.9999999998803452,0.999999998952454,0.7868684802517941,0.0009752666538434258,0.999999999743606,0.00097526665334335,0.9996538138301682,0.00048762345574616397,0.0004876439702901093,0.00048763294032521363,0.9999984154234985,-11.279707256002832,-1.98694658644916,0.9999579313080953,3.068861580476375e-07,1.5471533441575822e-05
motional_heating,Motional heating/diffusion,0.01,4.0,40.0,0.012338704366484236,0.9999999967368425,0.9999999983473767,0.9999972435433245,0.9999999998490334,0.9999999978787734,0.43761936685781205,0.0019504701206340346,0.9999999999272489,0.0019504701203502403,0.9996650063175146,0.000975235350424572,0.0009752345567071909,0.0009752351667843592,1.0000002186329324,-1.8657705366504769,1.0598614277321592,1.0000008138733145,6.002981445899907e-07,3.090303155123762e-05
motional_heating,Motional heating/diffusion,1.0,0.0,0.0,0.0,,,,,,,0.0,0.7071067811865475,0.0,,0.0,0.0,0.0,,,,,0.0,0.0
motional_heating,Motional heating/diffusion,1.0,0.5,5.0,0.0015129015299928457,0.9999999958743608,0.9999999978051554,0.9999986850714606,0.9999999997867903,0.999999997613154,0.5177296437233913,0.00023911735721406864,0.9999999996746967,0.00023911735705849606,0.9992132138865862,0.00011955809012808856,0.00011955970201651736,0.00011955846098619314,0.9999963609055946,-0.7201894610066124,1.0332769834588207,0.9999865181294231,1.7692522012480984e-07,3.991311184424646e-06
motional_heating,Motional heating/diffusion,1.0,1.0,10.0,0.00302575739839068,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,0.00047822792993758474,0.9999999999179807,0.00047822792985913914,0.9992516116262757,0.0002391109552364588,0.00023911633312330367,0.00023911428567925802,1.0000026828221324,-1.4831796536908737,0.5020519572901817,0.9999775093287244,3.477346294133235e-07,7.963541275391414e-06
motional_heating,Motional heating/diffusion,1.0,2.0,20.0,0.0060514386983218805,0.9999999990145151,0.9999999992714209,0.9999992284277801,0.9999999998664733,0.9999999991619721,0.505566546721669,0.0009564335652175283,0.9999999999395817,0.0009564335651019874,0.999255807739578,0.0004782185399607637,0.00047821506149153684,0.00047821676437583726,0.999999923987796,-1.5812112840806307,1.5634049881527508,1.0000072738596228,6.93800600186252e-07,1.5923266581480564e-05
motional_heating,Motional heating/diffusion,1.0,4.0,40.0,0.012102463841960249,0.9999999987645697,0.9999999991294803,0.999999090713656,0.9999999998076411,0.9999999991829446,0.22731683648317738,0.0019128047735237881,0.9999999999905168,0.0019128047734875094,0.9992721053768809,0.0009564083383267654,0.0009563980610488184,0.0009564015737997178,0.9999982999972452,-2.6059346708824433,35.763833023339245,1.0000107458163767,1.363656338733329e-06,3.1856394223791e-05
