fock_n,coherence_real,coherence_imag,coherence_abs,theta_xx_rad,theta_error_rad
0,0.027159581817846338,0.9995134091997944,0.9998823421056678,0.7718151038807113,0.013583059516736995
1,0.05789389086596753,0.9979750172105333,0.9996528585343838,0.7564249541990468,0.028973209198401517
2,0.08833249470749453,0.9955237018893919,0.9994348756396327,0.7411492063625664,0.04424895703488185
3,0.11844981201484134,0.9921826362327992,0.999228072868361,0.725987807262895,0.059410356134553255
4,0.14822117932386197,0.9879755542945476,0.999032138564008,0.7109408920452188,0.07445727135222946
5,0.17762356247004596,0.9829266057328956,0.998846756115342,0.696008421979035,0.08938974141841327
6,0.20663502990611665,0.9770603782638799,0.9986716268911708,0.6811904468182244,0.1042077165792239
7,0.23523498377512608,0.9704017838784448,0.9985064445190885,0.6664869804468805,0.1189111829505678
8,0.263404000462169,0.9629760541553907,0.9983509144264657,0.651898077525112,0.1335000858723363
9,0.29112397114609717,0.9548086593182611,0.9982047597988144,0.6374237552665268,0.14797440813092144
10,0.3183780207260296,0.945925227732726,0.9980676833474941,0.6230640205707173,0.16233414282673098
11,0.34515040383467743,0.9363515776086501,0.9979394160756698,0.6088189225081729,0.17657924088927535
12,0.37142664914977697,0.9261135715065344,0.9978196746041943,0.5946884592220494,0.1907097041753989
13,0.39719336799370764,0.915237155029288,0.9977081845531236,0.5806726719546146,0.2047254914428337
14,0.4224383386207686,0.90374829873916,0.9976046999741938,0.5667715936200254,0.2186265697774229
15,0.44715046496575733,0.8916729031427576,0.9975089495929981,0.5529852465980152,0.2324129167994331
16,0.47131975485644645,0.8790368088546386,0.997420684886416,0.5393136513912782,0.2460845120061701
17,0.4949372851697647,0.865865724496301,0.9973396458121583,0.5257568234579086,0.25964133993953964
18,0.5179951448147885,0.8521852425250284,0.9972655903164087,0.5123147987891322,0.27308336460831606
19,0.5404864445148564,0.8380207833685703,0.9971982902422083,0.4989876133357084,0.2864105500617399
20,0.5624053225352893,0.8233974798842877,0.9971374813413739,0.48577526636034657,0.2996228970371017
21,0.5837468200162513,0.8083403257950306,0.9970829615360508,0.47267780964438627,0.312720353753062
22,0.6045069675879233,0.7928739448987102,0.997034486044284,0.4596952436022526,0.32570291979519567
23,0.6246826322590612,0.7770227571131116,0.9969918535864629,0.44682762359148886,0.3385705398059594
24,0.6442716146933668,0.7608107331224153,0.9969548059635729,0.43407494235794525,0.35132322103950303
25,0.6632725171690536,0.7442616323172857,0.9969231712480973,0.42143725199950166,0.3639609113979466
26,0.6816847722937838,0.7273987534308064,0.996896722469243,0.4089145694047989,0.37648359399264936
27,0.6995085986979761,0.7102450169909799,0.9968752498747893,0.3965069140063982,0.3888912493910501
28,0.7167449532918367,0.6928229601626833,0.9968585567661544,0.38421431958599556,0.4011838438114527
29,0.733395538336375,0.6751546657315869,0.9968464467062278,0.37203680227000446,0.4133613611274438
30,0.7494627243997768,0.6572617964228828,0.9968387253220908,0.3599743947612793,0.425423768636169
31,0.7649495652598407,0.6391655493901971,0.9968352105129974,0.3480271196696314,0.4373710437278169
32,0.7798597398913466,0.6208866531505496,0.9968357186436938,0.3361950026933839,0.44920316070406435
33,0.7941975230630842,0.6024453433379799,0.9968400560516992,0.32447806708459215,0.46092009631285613
34,0.8079677728336339,0.5838613978519028,0.9968480595553771,0.3128763462824522,0.4725218171149961
35,0.8211758966662002,0.565154055035456,0.9968595483760774,0.3013898566344603,0.484008306762988
36,0.8338278120608029,0.5463420895001475,0.9968743646646214,0.2900186341291859,0.4953795292682624
37,0.8459299382982772,0.5274437150739177,0.996892337757846,0.27876269147219296,0.5066354719252553
38,0.8574891360771287,0.5084766742040798,0.9969133095209145,0.26762206633186947,0.5177760970655788
39,0.8685127140613473,0.4894581162444207,0.996937100344723,0.2565967619482695,0.5288014014491788
40,0.8790083833127179,0.4704047714684983,0.9969635835648001,0.24568682851633897,0.5397113348811093
41,0.8889842471597275,0.4513327742806651,0.9969926102223774,0.23489228381219965,0.5505058795852487
42,0.8984487581722616,0.4322577413213552,0.9970240348123602,0.22421315137826456,0.5611850120191837
43,0.9074106785509348,0.413194755744197,0.9970576942799122,0.21364945625821927,0.571748707139229
44,0.9158791045651611,0.3941583897202928,0.9970934611990871,0.20320122407651556,0.5821969393209327
45,0.9238634149097565,0.37516269182725887,0.9971312124027568,0.19286848123106926,0.592529682166379
46,0.931373230315025,0.35622118812062487,0.9971708123553928,0.18265125723648346,0.6027469061609648
47,0.9384184085133631,0.337346854803082,0.9972121188003508,0.17254956640624017,0.6128485969912081
48,0.9450090285332964,0.3185522049106254,0.997255018168806,0.16256344558701571,0.6228347178104325
49,0.95115536219572,0.2998492070130594,0.9972993883383424,0.15269291524803616,0.6327052481494121
50,0.9568678532969838,0.2812493356903507,0.9973451145413215,0.14293800061634662,0.6424601627811016
51,0.9621570924964341,0.26276357300626646,0.9973920823528785,0.13329873029792214,0.6520994330995261
